	Armii Krajowej - Piastowska Junction, 3 K-20 - 11

0	Piastowska Reymonta - 11012, 12011

1	Armii Krajowej - 11008, 8011

2	Piastowska Lea - 11010, 10011

3	Nawojki - 11016, 16011


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	76	1	1	0	0	0	0
0	55	2	0	80	12	0	0	0	0	0
0	55	3	1	8	0	0	0	0	0	0
0	56	1	0	80	10	1	0	2	1	0
0	56	2	1	70	7	1	0	0	0	0
0	56	3	5	6	0	0	0	0	0	0
0	57	1	1	87	10	4	1	0	0	0
0	57	2	0	80	13	0	0	1	1	0
0	57	3	1	4	0	0	0	0	0	0
0	58	1	0	91	5	1	0	0	0	0
0	58	2	2	90	10	0	0	1	0	0
0	58	3	1	5	0	0	0	0	0	0
0	59	1	0	82	13	1	0	0	1	0
0	59	2	0	80	7	0	0	0	0	0
0	59	3	1	3	0	0	0	0	0	0
0	60	1	0	89	12	1	1	1	0	0
0	60	2	1	85	12	0	0	0	0	0
0	60	3	1	2	0	0	0	0	0	0
0	61	1	1	77	11	0	0	0	0	0
0	61	2	1	80	5	3	0	1	0	0
0	61	3	1	5	0	0	0	0	0	0
0	62	1	0	101	8	0	0	0	0	0
0	62	2	1	100	3	0	0	1	0	0
0	62	3	1	5	0	0	0	1	0	0
0	63	1	1	87	6	0	0	0	0	0
0	63	2	0	80	8	1	0	0	0	0
0	63	3	1	9	0	0	0	0	0	0
0	64	1	1	92	13	0	0	2	0	0
0	64	2	1	90	9	1	0	0	1	0
0	64	3	1	5	0	0	0	0	0	0
0	65	1	1	83	16	0	0	1	0	0
0	65	2	0	80	5	2	0	0	1	0
0	65	3	1	5	0	0	0	0	0	0
0	66	1	0	100	7	1	0	0	0	0
0	66	2	1	70	6	1	0	0	0	0
0	66	3	1	6	0	0	0	0	0	0
1	55	1	0	15	0	1	0	0	0	0
1	55	2	3	25	5	4	1	0	0	0
1	55	3	0	46	2	0	0	0	0	0
1	56	1	0	23	0	0	0	0	0	0
1	56	2	5	79	13	6	2	0	0	0
1	56	3	0	83	8	1	0	0	0	0
1	57	1	0	11	0	0	0	0	0	0
1	57	2	8	72	7	4	1	0	0	0
1	57	3	0	71	10	3	0	2	1	0
1	58	1	0	19	5	0	0	0	0	0
1	58	2	3	57	9	7	0	0	0	0
1	58	3	0	61	11	7	0	0	0	0
1	59	1	0	19	2	0	0	0	0	0
1	59	2	11	64	11	5	3	1	1	0
1	59	3	0	77	12	0	1	2	0	0
1	60	1	0	21	3	0	0	0	0	0
1	60	2	8	74	8	4	3	2	0	0
1	60	3	1	46	10	0	1	0	0	0
1	61	1	0	24	2	0	0	0	0	0
1	61	2	7	70	6	5	0	0	1	0
1	61	3	0	77	5	4	0	0	0	0
1	62	1	0	25	3	0	0	0	1	0
1	62	2	8	63	11	4	2	0	0	0
1	62	3	1	53	9	4	0	1	0	0
1	63	1	0	21	3	0	0	1	0	0
1	63	2	8	78	8	3	0	1	0	0
1	63	3	0	49	3	1	0	1	0	0
1	64	1	0	19	1	0	0	1	0	0
1	64	2	4	63	6	1	3	2	0	0
1	64	3	0	41	3	2	0	0	0	0
1	65	1	0	21	2	1	0	1	0	0
1	65	2	6	65	5	3	1	1	0	0
1	65	3	1	62	5	4	0	0	0	0
1	66	1	0	17	2	1	0	0	0	0
1	66	2	7	61	3	3	0	1	0	0
1	66	3	0	71	8	3	0	1	0	0
2	55	1	0	8	0	0	0	0	0	0
2	55	2	0	101	6	0	0	1	0	0
2	55	3	0	8	0	0	0	0	0	0
2	56	1	0	13	3	0	0	0	0	0
2	56	2	1	104	7	0	0	1	0	0
2	56	3	0	13	3	0	0	0	0	0
2	57	1	0	15	0	0	0	0	0	0
2	57	2	1	97	7	0	0	1	0	0
2	57	3	0	19	8	0	0	0	0	0
2	58	1	0	13	2	0	0	0	0	0
2	58	2	0	135	9	0	0	1	0	0
2	58	3	0	21	4	0	0	0	0	0
2	59	1	0	16	5	0	0	0	0	0
2	59	2	1	109	19	0	0	1	0	0
2	59	3	0	23	6	0	0	0	0	0
2	60	1	0	12	1	0	0	0	0	0
2	60	2	0	120	12	0	0	0	1	0
2	60	3	0	16	5	0	0	0	0	0
2	61	1	0	12	3	0	0	0	0	0
2	61	2	1	122	8	0	0	0	1	0
2	61	3	1	14	5	0	0	0	0	0
2	62	1	1	10	2	0	0	0	0	0
2	62	2	0	140	9	0	0	0	0	0
2	62	3	0	11	2	0	0	0	0	0
2	63	1	0	18	0	0	0	0	0	0
2	63	2	1	126	6	0	0	2	0	0
2	63	3	0	20	2	0	0	0	0	0
