	Bronowicka - Glowackiego Junction, 4 K-29 - 10									

0	Piastowska - 10011, 11010									

1	Bronowicka - 10006, 6010									

2	Glowackiego - 10009, 9010									

3	Podchorazych - 10014, 14010									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	10	4	0	0	0	0	0
0	55	2	0	52	9	0	0	0	0	0
0	55	3	0	16	2	1	0	0	0	0
0	56	1	0	20	2	1	0	0	0	0
0	56	2	0	47	3	0	0	1	0	0
0	56	3	0	7	1	0	0	0	0	0
0	57	1	0	9	2	0	0	1	0	0
0	57	2	0	42	5	2	0	1	0	0
0	57	3	0	10	3	0	0	0	0	0
0	58	1	0	9	2	0	0	0	1	0
0	58	2	1	53	6	1	0	0	2	0
0	58	3	1	17	2	1	0	0	0	0
0	59	1	0	21	0	0	0	0	0	0
0	59	2	0	61	6	0	0	1	0	0
0	59	3	0	21	4	0	0	0	0	0
0	60	1	0	11	1	1	0	0	0	0
0	60	2	1	53	4	2	0	0	0	0
0	60	3	0	12	2	0	0	0	0	0
0	61	1	0	13	2	0	0	1	1	0
0	61	2	0	53	6	0	0	0	1	0
0	61	3	0	7	1	0	0	0	0	0
0	62	1	0	13	1	0	0	0	0	0
0	62	2	0	42	6	0	0	0	0	0
0	62	3	1	12	1	0	0	0	0	0
0	63	1	0	14	1	0	0	0	0	0
0	63	2	0	53	6	2	1	1	2	0
0	63	3	0	13	2	0	0	0	0	0
0	64	1	0	9	1	3	1	0	0	0
0	64	2	0	51	2	0	0	0	0	0
0	64	3	0	5	0	0	0	0	0	0
0	65	1	2	12	2	0	1	0	0	0
0	65	2	0	45	0	0	0	0	0	0
0	65	3	1	11	3	1	0	0	1	0
0	66	1	1	16	5	0	0	0	0	0
0	66	2	0	50	0	0	0	0	0	0
0	66	3	1	6	3	0	0	0	0	0
1	55	1	0	7	1	0	0	0	0	0
1	55	2	0	89	13	0	1	2	1	0
1	55	3	0	14	0	0	0	0	0	0
1	56	1	0	2	3	0	0	0	0	0
1	56	2	0	74	2	0	0	1	0	0
1	56	3	0	13	4	0	0	0	0	0
1	57	1	0	7	2	0	0	0	0	0
1	57	2	0	92	6	0	0	0	4	0
1	57	3	0	14	3	1	0	0	0	0
1	58	1	0	6	2	0	0	0	0	0
