	Czarnowiejska - Kijowska Junction, 49 K-19 - 16

1	Nawojki - 16011, 11016

2	Kijowska - 16014, 14016

3	Czarnowiejska - 16038, 38016


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	12	0	0	0	0	0	0
1	55	2	8	102	8	2	1	0	0	0
1	56	1	0	17	1	0	0	0	0	0
1	56	2	8	65	12	9	1	1	3	0
1	57	1	0	15	3	0	0	0	0	0
1	57	2	8	91	23	5	2	1	3	0
1	58	1	0	16	3	0	0	0	0	0
1	58	2	6	93	17	2	0	0	2	0
1	59	1	0	17	2	0	0	0	0	0
1	59	2	9	100	18	1	0	0	1	0
1	60	1	0	6	0	0	0	1	1	0
1	60	2	12	87	11	0	0	0	3	0
1	61	1	0	23	1	1	1	0	1	0
1	61	2	7	114	9	4	2	2	3	0
1	62	1	0	23	2	1	0	0	0	0
1	62	2	7	102	10	3	0	0	0	0
1	63	1	0	29	1	1	0	0	0	0
1	63	2	7	98	11	2	0	0	0	0
1	64	1	0	24	3	0	0	0	2	0
1	64	2	7	82	11	2	0	0	2	0
1	65	1	0	19	1	0	0	0	0	0
1	65	2	5	97	11	1	1	0	2	0
1	66	1	0	25	1	0	0	0	0	0
1	66	2	7	90	8	0	1	0	2	0
2	55	1	0	40	4	0	0	0	1	0
2	55	3	0	9	0	0	0	0	0	0
2	56	1	2	62	4	1	0	0	0	0
2	56	3	0	12	1	0	0	0	0	0
2	57	1	2	68	5	0	0	0	0	0
2	57	3	0	11	6	0	0	0	0	0
2	58	1	2	70	19	1	0	0	1	0
2	58	3	0	10	3	0	0	0	0	0
2	59	1	1	77	2	0	0	0	3	0
2	59	3	0	17	5	0	0	0	0	0
2	60	1	2	55	7	0	0	0	0	0
2	60	3	0	10	0	1	0	0	0	0
2	61	1	2	69	6	0	0	0	1	0
2	61	3	0	19	3	0	0	0	0	0
2	62	1	3	81	4	1	0	0	0	0
2	62	3	0	35	5	0	0	0	0	0
2	63	1	1	85	6	0	0	0	0	0
2	63	3	0	18	5	0	0	0	3	0
2	64	1	1	88	8	0	0	0	2	0
2	64	3	0	19	4	0	0	0	1	0
2	65	1	2	75	9	0	0	0	0	0
2	65	3	0	14	3	0	0	0	0	0
2	66	1	2	64	10	0	0	1	1	0
2	66	3	0	11	3	0	0	0	0	0
3	55	2	6	80	8	3	1	0	0	0
3	55	3	2	65	2	0	0	0	0	0
3	56	2	7	90	10	6	0	1	0	0
3	56	3	1	72	9	2	0	0	0	0
3	57	2	5	110	12	4	1	0	1	0
3	57	3	4	80	13	1	0	1	1	0
3	58	2	6	80	11	5	0	1	1	0
3	58	3	0	81	6	1	0	1	0	0
3	59	2	6	54	15	4	1	0	0	0
3	59	3	6	78	6	0	2	0	0	0
3	60	2	2	83	1	2	1	0	0	0
3	60	3	0	69	3	1	1	0	0	0
3	61	2	5	123	7	1	2	1	0	0
3	61	3	3	73	5	1	1	0	0	0
3	62	2	10	101	7	4	2	0	0	0
3	62	3	2	76	5	0	0	0	0	0
3	63	2	6	117	12	4	1	0	0	0
3	63	3	3	70	9	0	2	1	1	0
3	64	2	7	95	16	3	0	0	0	0
3	64	3	1	72	6	0	0	1	0	0
3	65	2	8	115	10	2	2	1	0	0
3	65	3	5	75	4	1	0	0	0	0
3	66	2	9	97	13	2	0	4	0	0
3	66	3	1	68	3	0	0	2	1	0
