	Dietla - Starowislna Junction, 61 S-33 - 109

0	Starowislna Miodowa - 109106, 106109

1	Dietla Krakowska - 109107, 107109

2	Starowislna Gertrudy - 109110, 110109

3	Dietla Wielopole - 109115, 115109


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	3	1	72	28	0	0	0	2	0
0	56	3	1	89	34	0	0	0	2	0
0	57	3	0	69	25	1	0	0	1	0
0	58	3	0	72	23	0	0	0	2	0
0	59	3	2	76	18	0	0	1	4	0
0	60	3	0	91	23	2	0	0	4	0
0	61	3	1	111	26	1	0	0	2	0
0	62	3	1	73	23	0	0	0	4	0
0	63	3	2	97	23	1	0	0	9	0
0	64	3	2	70	22	1	0	0	2	0
0	65	3	3	103	24	0	0	1	1	0
0	66	3	1	69	20	0	0	0	4	0
1	55	2	3	144	14	3	0	0	1	0
1	55	3	1	15	2	1	0	0	0	0
1	56	2	3	174	21	3	0	0	1	0
1	56	3	0	11	5	0	0	0	0	0
1	57	2	2	156	12	0	0	0	0	0
1	57	3	0	23	5	0	0	0	0	0
1	58	2	5	142	12	2	0	0	0	0
1	58	3	0	22	0	2	0	0	0	0
1	59	2	5	180	24	2	0	0	0	0
1	59	3	0	21	0	0	0	0	0	0
1	60	2	5	178	19	3	1	0	1	0
1	60	3	0	16	3	3	0	0	0	0
1	61	2	2	191	17	0	0	0	0	0
1	61	3	0	17	1	0	0	0	0	0
1	62	2	5	173	11	0	0	0	0	0
1	62	3	0	19	9	0	0	0	0	0
1	63	2	3	202	25	1	1	0	0	0
1	63	3	0	14	1	0	0	0	0	0
1	64	2	2	187	16	1	1	0	0	0
1	64	3	0	18	3	0	0	0	0	0
1	65	2	2	243	10	1	0	0	0	0
1	65	3	0	15	4	0	0	0	0	0
1	66	2	2	152	6	0	0	1	0	0
1	66	3	0	15	5	0	0	0	0	0
2	55	1	0	32	7	0	0	0	0	0
2	55	2	1	52	15	0	0	1	2	0
2	55	3	1	14	3	0	0	0	0	0
2	56	1	0	30	4	0	0	0	0	0
2	56	2	2	39	18	0	0	0	0	0
2	56	3	1	8	7	0	0	0	2	0
2	57	1	0	28	5	0	0	0	0	0
2	57	2	3	36	19	0	0	0	2	0
2	57	3	2	8	2	0	0	0	4	0
2	58	1	0	38	4	0	0	1	0	0
2	58	2	3	70	19	0	0	0	2	0
2	58	3	2	21	4	0	0	0	3	0
2	59	1	0	12	1	0	0	0	0	0
2	59	2	3	42	9	1	0	1	2	0
2	59	3	3	8	3	0	0	0	3	0
2	60	1	0	18	0	0	0	0	1	0
2	60	2	0	50	14	0	0	0	1	0
2	60	3	0	26	0	0	0	0	0	0
2	61	1	0	34	3	0	0	0	0	0
2	61	2	5	54	12	0	0	0	1	0
2	61	3	1	19	3	0	0	0	3	0
2	62	1	0	26	5	0	0	0	0	0
2	62	2	4	47	10	0	0	0	1	0
2	62	3	2	10	5	0	0	0	0	0
2	63	1	1	38	2	0	0	0	1	0
2	63	2	2	48	17	0	0	0	1	0
2	63	3	1	9	4	0	0	0	0	0
2	64	1	0	37	5	0	0	0	0	0
2	64	2	3	42	16	0	0	0	3	0
2	64	3	0	10	1	0	0	0	2	0
2	65	1	0	34	2	0	0	1	1	0
2	65	2	4	44	9	0	0	0	1	0
2	65	3	2	17	3	0	0	1	1	0
2	66	1	0	36	1	0	0	0	1	0
2	66	2	2	46	19	0	0	0	4	0
2	66	3	3	9	2	0	0	0	0	0
3	55	1	2	41	6	1	0	0	0	0
3	55	2	4	181	18	2	0	0	0	0
3	56	1	0	42	4	0	0	0	2	0
3	56	2	3	139	26	1	0	0	0	0
3	57	1	1	55	10	1	0	0	0	0
3	57	2	3	155	21	1	0	0	0	0
3	58	1	0	31	3	1	0	1	0	0
3	58	2	3	202	22	3	0	3	1	0
3	59	1	1	37	5	1	0	0	0	0
3	59	2	3	191	23	2	0	0	0	0
3	60	1	2	40	3	2	1	0	0	0
3	60	2	3	199	20	1	0	0	1	0
3	61	1	1	51	6	4	0	0	0	0
3	61	2	4	213	24	2	0	0	0	0
3	62	1	0	44	12	0	1	0	1	0
3	62	2	3	208	28	0	0	0	1	0
3	63	1	3	36	9	2	0	0	0	0
3	63	2	6	218	26	2	0	0	0	0
3	64	1	0	45	3	2	2	0	2	0
3	64	2	3	201	22	2	0	0	0	0
3	65	1	0	49	12	2	0	1	0	0
3	65	2	4	214	25	1	0	1	0	0
3	66	1	0	41	7	0	3	2	1	0
3	66	2	2	173	25	1	0	0	1	0
