	Skrzyzowanie Grota Roweckiego - Kobierzynska, P55-04.INT - 59									

0	Kobierzynska - 59064, 64059									

1	Grota Roweckiego - 59060, 60059									

2	Kobierzynska Kapelanka - 59063, 63059									

3	Grota Roweckiego Brozka - 59058, 58059									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	2	0	0	0	0	0	0
0	55	2	0	57	15	0	0	2	0	0
0	55	3	2	22	6	3	0	2	0	0
0	56	1	0	1	0	0	0	0	0	0
0	56	2	0	59	14	1	0	0	0	0
0	56	3	1	19	2	1	0	0	0	0
0	57	1	0	0	1	0	0	0	0	0
0	57	2	0	73	15	2	0	0	0	0
0	57	3	1	22	3	0	0	0	0	0
0	58	1	0	1	0	0	0	0	0	0
0	58	2	0	86	15	1	0	0	0	0
0	58	3	2	22	5	1	1	0	0	0
0	59	1	0	1	0	0	0	0	0	0
0	59	2	0	87	11	1	0	0	0	0
0	59	3	2	32	6	0	0	1	0	0
0	60	1	0	1	0	0	0	0	0	0
0	60	2	0	93	7	1	0	0	0	0
0	60	3	2	55	2	2	0	0	0	0
0	61	1	0	1	0	0	0	0	0	0
0	61	2	0	100	13	0	0	0	0	0
0	61	3	2	32	5	3	0	0	0	0
0	62	1	0	1	0	0	0	0	0	0
0	62	2	0	117	12	1	1	0	0	0
0	62	3	2	32	2	2	0	0	0	0
0	63	1	0	1	0	0	0	0	0	0
0	63	2	1	119	9	2	0	0	0	0
0	63	3	3	35	7	1	0	0	0	0
0	64	1	0	1	0	0	0	0	0	0
0	64	2	0	104	3	1	0	1	0	0
0	64	3	2	23	3	3	0	0	0	0
0	65	1	0	2	0	0	0	0	0	0
0	65	2	0	107	10	1	0	0	1	0
0	65	3	2	38	2	0	0	0	0	0
0	66	1	0	1	0	0	0	0	0	0
0	66	2	0	108	12	1	0	1	0	0
0	66	3	3	48	3	1	0	0	0	0
1	55	1	0	56	6	1	0	0	0	0
1	55	2	4	32	7	2	0	0	0	0
1	55	3	0	2	1	0	0	0	0	0
1	56	1	0	43	2	1	0	0	0	0
1	56	2	3	32	11	3	0	0	0	0
1	56	3	0	1	0	0	0	0	0	0
1	57	1	0	54	4	2	0	0	0	0
1	57	2	5	24	9	6	1	0	0	0
1	57	3	0	2	0	0	0	0	0	0
1	58	1	0	55	7	1	0	0	0	0
1	58	2	4	31	6	1	0	0	0	0
1	58	3	0	2	1	0	0	0	0	0
1	59	1	0	65	5	0	0	0	0	0
1	59	2	4	29	4	4	0	0	0	0
1	59	3	0	1	0	0	0	0	0	0
1	60	1	0	62	7	3	0	0	0	0
1	60	2	4	25	11	4	0	0	0	0
1	60	3	0	1	1	0	0	0	0	0
1	61	1	1	57	7	0	0	0	0	0
1	61	2	4	43	10	1	0	0	0	0
1	61	3	0	1	1	0	0	0	0	0
1	62	1	1	60	10	0	0	0	0	0
1	62	2	4	38	11	1	0	3	0	0
1	62	3	0	3	2	0	0	0	0	0
1	63	1	0	65	3	2	0	0	0	0
1	63	2	5	30	2	1	0	0	0	0
1	63	3	0	2	1	0	0	0	0	0
1	64	1	1	50	5	1	0	0	0	0
1	64	2	5	33	3	2	0	0	0	0
1	64	3	0	2	1	0	0	0	0	0
1	65	1	0	57	6	0	0	0	0	0
1	65	2	4	32	6	1	0	0	0	0
1	65	3	0	1	0	0	0	0	0	0
1	66	1	0	47	10	0	0	0	0	0
1	66	2	4	37	7	2	0	0	0	0
1	66	3	0	1	0	1	0	0	0	0
2	55	1	0	1	0	0	0	0	0	0
2	55	2	0	134	18	1	0	0	1	0
2	55	3	0	85	11	1	0	0	1	0
2	56	1	0	0	0	0	0	0	0	0
2	56	2	0	95	28	2	0	0	2	0
2	56	3	0	62	12	0	0	0	1	0
2	57	1	0	0	1	0	0	0	0	0
2	57	2	0	80	20	1	0	0	0	0
2	57	3	0	71	9	2	0	0	0	0
2	58	1	0	1	0	0	0	0	0	0
2	58	2	0	98	11	2	0	0	1	0
2	58	3	0	79	13	2	0	0	1	0
2	59	1	0	1	0	0	0	0	0	0
2	59	2	0	122	16	0	0	0	1	0
2	59	3	0	85	10	0	0	0	1	0
2	60	1	0	0	0	0	0	0	0	0
2	60	2	0	117	14	1	0	0	0	0
2	60	3	0	89	8	0	0	0	0	0
2	61	1	0	0	1	0	0	0	0	0
2	61	2	0	146	14	0	0	0	0	0
2	61	3	0	89	10	2	0	0	0	0
2	62	1	0	1	0	0	0	0	0	0
2	62	2	0	135	18	0	0	0	0	0
2	62	3	0	85	13	0	0	1	2	0
2	63	1	0	1	0	0	0	0	0	0
2	63	2	0	181	20	1	0	0	1	0
2	63	3	0	98	14	4	0	1	1	0
2	64	1	0	1	0	0	0	0	0	0
2	64	2	0	170	18	0	0	1	0	0
2	64	3	0	87	3	2	0	1	0	0
2	65	1	0	1	0	0	0	0	0	0
2	65	2	0	166	20	2	0	0	1	0
2	65	3	0	100	15	1	0	1	0	0
2	66	1	0	1	0	0	0	0	0	0
2	66	2	0	159	16	0	0	0	2	0
2	66	3	0	90	12	1	0	0	0	0
3	55	1	3	31	7	1	0	0	0	0
3	55	2	5	37	7	2	0	0	0	0
3	55	3	0	9	2	1	0	0	0	0
3	56	1	2	16	2	0	0	0	0	0
3	56	2	3	13	6	5	0	0	0	0
3	56	3	0	6	0	0	0	0	0	0
3	57	1	2	23	10	4	0	0	0	0
3	57	2	4	32	11	2	1	0	0	0
3	57	3	0	3	3	1	0	0	0	0
3	58	1	5	23	4	0	0	0	0	0
3	58	2	4	30	4	3	0	0	0	0
3	58	3	0	8	1	0	0	0	0	0
3	59	1	3	43	5	0	0	0	0	0
3	59	2	7	29	4	2	0	0	0	0
3	59	3	0	14	5	1	0	0	0	0
3	60	1	3	32	7	1	0	0	0	0
3	60	2	5	38	2	1	0	0	0	0
3	60	3	0	8	1	0	0	0	0	0
3	61	1	2	29	3	3	0	0	0	0
3	61	2	5	38	9	0	0	0	0	0
3	61	3	0	12	2	1	0	0	0	0
3	62	1	3	33	3	2	0	0	0	0
3	62	2	6	39	9	4	0	0	0	0
3	62	3	0	7	2	0	0	0	2	0
3	63	1	3	41	7	1	0	0	0	0
3	63	2	6	48	8	2	0	0	0	0
3	63	3	0	8	2	0	0	0	0	0
3	64	1	2	40	16	3	0	0	0	0
3	64	2	8	52	9	3	0	0	2	0
3	64	3	0	11	2	1	0	1	0	0
3	65	1	3	32	6	0	0	0	0	0
3	65	2	6	39	8	3	0	0	0	0
3	65	3	0	9	3	0	0	0	0	0
3	66	1	2	26	11	0	0	0	0	0
3	66	2	4	44	6	0	0	1	0	0
3	66	3	0	12	6	2	0	0	0	0
