	Grunwaldzkie Roundabout, 21 P-39, 21 P-39a - 81

0	Konopnickiej - 81080, 80081

1	Monte Cassino - 81054, 54081

2	Konopnickiej Debnicki Most - 81041, 41081

3	Grunwaldzki Most - 81107, 107081


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	2	27	2	0	1	0	0	0
0	55	2	13	254	42	12	0	0	0	0
0	55	3	2	26	4	0	0	0	0	0
0	56	1	2	30	5	2	0	1	0	0
0	56	2	10	259	25	6	1	1	0	0
0	56	3	2	45	7	2	0	0	0	0
0	57	1	2	33	3	1	0	0	0	0
0	57	2	9	266	34	0	4	1	0	0
0	57	3	3	47	5	1	0	0	0	0
0	58	1	2	30	5	0	0	0	0	0
0	58	2	12	271	39	6	3	0	0	0
0	58	3	3	33	4	0	0	2	0	0
0	59	1	2	43	6	2	0	0	0	0
0	59	2	11	268	32	8	1	2	0	0
0	59	3	2	34	5	1	0	0	0	0
0	60	1	0	50	7	2	0	0	0	0
0	60	2	18	224	20	5	0	1	1	0
0	60	3	3	34	5	0	0	0	0	0
0	61	1	2	40	3	1	1	0	0	0
0	61	2	14	289	32	10	0	1	0	0
0	61	3	2	38	6	0	0	0	0	0
0	62	1	0	40	5	0	0	0	0	0
0	62	2	10	295	25	4	3	0	0	0
0	62	3	3	29	6	0	0	0	0	0
0	63	1	3	35	2	0	0	0	0	0
0	63	2	12	252	14	3	0	2	0	0
0	63	3	3	40	5	0	0	0	0	0
0	64	1	0	36	1	0	0	0	0	0
0	64	2	12	257	19	4	2	1	0	0
0	64	3	2	36	7	0	0	0	1	0
0	65	1	0	34	8	0	0	0	0	0
0	65	2	13	251	24	4	0	0	0	0
0	65	3	1	33	10	0	0	0	0	0
0	66	1	0	47	4	1	0	0	0	0
0	66	2	13	267	28	4	3	0	0	0
0	66	3	3	31	4	0	0	0	0	0
1	55	1	4	67	9	2	0	0	0	0
1	55	2	3	164	14	3	0	1	0	0
1	55	3	0	9	1	1	1	0	0	0
1	56	1	0	66	2	2	0	0	0	0
1	56	2	2	139	16	1	0	0	0	0
1	56	3	1	19	1	0	1	0	0	0
1	57	1	0	76	6	3	0	0	1	0
1	57	2	3	159	16	6	0	0	0	0
1	57	3	0	20	1	4	2	0	0	0
1	58	1	3	51	6	4	0	2	1	0
1	58	2	1	144	10	0	0	2	0	0
1	58	3	0	19	0	1	0	0	0	0
1	59	1	1	71	9	1	0	1	0	0
1	59	2	3	116	8	5	0	1	0	0
1	59	3	0	13	7	2	0	1	0	0
1	60	1	2	76	3	1	0	0	0	0
1	60	2	1	135	11	1	0	1	0	0
1	60	3	1	14	2	2	0	0	0	0
1	61	1	0	71	5	0	0	0	0	0
1	61	2	0	155	19	3	0	0	0	0
1	61	3	1	13	1	0	0	0	0	0
1	62	1	2	67	4	1	0	1	1	0
1	62	2	1	155	19	1	0	0	0	0
1	62	3	0	9	3	0	0	0	0	0
1	63	1	1	58	4	1	0	0	0	0
1	63	2	2	129	14	1	0	0	0	0
1	63	3	0	17	5	0	0	0	0	0
1	64	1	1	64	4	1	0	0	0	0
