	Grzegorzeckie Roundabout, 59 S-80 - 114

0	Kotlarska - 114113, 113114

1	Grzegorzecka - 114115, 115114

2	Powstania Warszawskiego - 114116, 116114

3	Pokoju - 114125, 125114


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	10	6	0	0	0	1	0
0	55	2	3	184	14	4	0	0	0	0
0	55	3	0	88	12	1	0	0	0	0
0	56	1	1	17	2	0	0	0	0	0
0	56	2	3	180	18	3	0	0	1	0
0	56	3	0	72	8	3	1	0	1	0
0	57	1	1	13	3	1	0	0	0	0
0	57	2	1	179	18	2	1	0	0	0
0	57	3	0	91	12	0	1	0	1	0
0	58	1	1	12	4	1	0	0	0	0
0	58	2	2	165	17	2	1	0	1	0
0	58	3	0	91	12	3	1	0	1	0
0	59	1	0	13	3	2	0	0	0	0
0	59	2	1	157	16	6	0	0	0	0
0	59	3	0	67	13	1	0	0	2	0
0	60	1	1	10	4	0	0	0	0	0
0	60	2	2	188	21	4	0	0	0	0
0	60	3	0	93	6	7	2	0	1	0
0	61	1	0	9	0	0	0	0	0	0
0	61	2	3	174	13	6	0	0	0	0
0	61	3	0	113	12	1	0	0	0	0
0	62	1	0	11	0	0	0	0	0	0
0	62	2	2	210	16	5	0	3	1	0
0	62	3	0	103	9	1	0	0	0	0
0	63	1	0	11	3	0	0	0	0	0
0	63	2	1	192	17	2	0	1	1	0
0	63	3	0	94	9	4	2	0	1	0
0	64	1	1	11	4	0	0	0	0	0
0	64	2	1	197	21	5	0	0	0	0
0	64	3	0	86	15	8	2	0	4	0
0	65	1	0	11	2	0	0	0	0	0
0	65	2	2	168	13	4	0	2	1	0
0	65	3	0	83	10	5	1	0	1	0
0	66	1	0	9	3	1	0	0	0	0
0	66	2	2	173	9	2	1	0	0	0
0	66	3	1	78	9	5	3	1	2	0
1	55	1	2	71	11	1	0	0	0	0
1	55	2	1	154	15	2	0	1	0	0
1	55	3	2	22	5	1	0	0	0	0
1	56	1	3	84	21	1	0	1	0	0
1	56	2	0	156	28	4	0	2	2	0
1	56	3	1	24	8	0	0	0	0	0
1	57	1	2	56	10	0	0	0	0	0
1	57	2	3	131	39	1	1	3	0	0
1	57	3	1	27	3	0	0	0	0	0
1	58	1	3	90	5	0	0	0	0	0
1	58	2	0	203	30	2	0	1	0	0
1	58	3	1	31	9	1	0	0	0	0
1	59	1	5	60	11	1	1	1	0	0
1	59	2	3	158	38	0	0	1	0	0
1	59	3	2	44	13	0	0	0	0	0
1	60	1	2	67	2	0	1	1	0	0
1	60	2	0	206	41	1	0	2	2	0
1	60	3	0	39	17	1	0	0	0	0
1	61	1	2	65	7	0	0	0	0	0
1	61	2	4	192	32	5	0	0	1	0
1	61	3	0	32	4	0	0	1	0	0
1	62	1	2	82	8	0	0	1	1	0
1	62	2	0	207	35	1	0	0	0	0
1	62	3	1	26	14	1	0	0	0	0
1	63	1	6	45	8	3	0	0	1	0
1	63	2	3	189	40	2	0	2	0	0
1	63	3	2	37	5	0	0	0	0	0
1	64	1	1	64	7	1	0	0	0	0
1	64	2	1	190	31	3	0	2	1	0
1	64	3	1	30	11	1	0	0	0	0
1	65	1	5	75	3	0	0	0	0	0
1	65	2	2	196	36	1	0	1	2	0
1	65	3	3	35	11	0	0	0	0	0
1	66	1	2	59	2	1	0	0	0	0
1	66	2	1	228	36	2	0	1	0	0
1	66	3	2	34	7	1	0	0	0	0
2	55	1	3	26	7	1	0	1	0	0
2	55	2	3	138	17	5	0	1	0	0
2	55	3	2	99	5	1	0	0	0	0
2	56	1	2	30	4	1	1	0	0	0
2	56	2	2	130	13	1	0	0	1	0
2	56	3	1	82	10	0	0	0	0	0
2	57	1	1	26	8	1	1	0	0	0
2	57	2	2	149	17	5	2	0	0	0
2	57	3	1	77	16	1	0	0	0	0
