	Jana Pawla - Mogilska Junction, 31 S-73 - 144

1	Mogilska - 144124, 124144

2	Meissnera - 144143, 143144

3	Jana Pawla II - 144150, 150144


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	95	39	2	0	0	0	0
1	55	2	1	133	19	0	0	2	0	0
1	56	1	0	97	22	0	0	0	0	0
1	56	2	0	97	23	6	0	0	2	0
1	57	1	0	100	18	2	0	1	0	0
1	57	2	2	130	19	6	0	0	0	0
1	58	1	0	104	19	0	0	0	0	0
1	58	2	0	125	25	3	0	0	5	0
1	59	1	0	113	11	1	0	0	0	0
1	59	2	2	141	40	6	0	0	2	0
1	60	1	0	97	15	6	0	0	0	0
1	60	2	1	91	28	3	0	0	3	0
1	61	1	0	123	19	0	0	0	0	0
1	61	2	2	197	35	1	0	1	2	0
1	62	1	0	112	8	4	0	0	0	0
1	62	2	1	138	21	0	0	0	2	0
1	63	1	0	129	13	1	0	0	0	0
1	63	2	1	166	50	4	1	1	2	0
1	64	1	0	107	14	3	0	0	0	0
1	64	2	4	128	27	2	0	1	1	0
1	65	1	0	119	12	0	0	0	1	0
1	65	2	3	158	21	5	0	0	2	0
1	66	1	0	120	13	0	0	0	0	0
1	66	2	0	171	28	7	0	0	1	0
2	55	1	0	55	8	8	0	0	0	0
2	55	3	0	104	15	3	0	0	0	0
2	56	1	0	52	10	5	0	0	0	0
2	56	3	0	90	12	2	0	0	0	0
2	57	1	0	59	9	2	1	0	0	0
2	57	3	0	79	17	1	0	0	0	0
2	58	1	1	55	14	2	1	0	0	0
2	58	3	0	80	17	1	2	0	0	0
2	59	1	0	66	2	4	1	0	0	0
2	59	3	0	73	16	0	0	0	0	0
2	60	1	0	78	13	3	4	0	0	0
2	60	3	0	92	16	2	0	0	0	0
2	61	1	0	78	7	3	2	0	0	0
2	61	3	0	100	18	0	1	0	0	0
2	62	1	1	71	8	4	3	0	0	0
2	62	3	0	91	20	0	0	1	1	0
2	63	1	1	86	15	5	0	0	0	0
2	63	3	0	99	15	1	0	0	1	0
2	64	1	0	58	8	4	0	0	0	0
2	64	3	0	76	19	0	0	0	3	0
2	65	1	0	81	5	1	0	0	0	0
2	65	3	0	113	15	0	0	0	0	0
2	66	1	0	95	5	1	3	0	0	0
2	66	3	0	89	12	0	0	1	0	0
3	55	2	1	155	11	1	1	1	0	0
3	55	3	1	33	12	5	1	0	0	0
3	56	2	2	137	17	0	1	0	0	0
3	56	3	1	51	8	4	5	0	0	0
3	57	2	1	139	14	1	0	0	0	0
3	57	3	1	47	4	2	2	0	0	0
3	58	2	1	143	22	0	0	0	0	0
3	58	3	1	55	2	3	0	0	0	0
3	59	2	1	107	15	0	0	0	0	0
3	59	3	1	61	10	1	2	0	0	0
3	60	2	2	135	17	0	0	0	0	0
3	60	3	1	47	6	6	0	0	0	0
3	61	2	4	166	18	2	0	0	1	0
3	61	3	0	53	9	4	3	0	0	0
3	62	2	0	124	15	0	0	1	1	0
3	62	3	1	77	14	0	3	0	0	0
3	63	2	2	121	9	0	0	0	1	0
3	63	3	1	60	5	1	5	0	0	0
3	64	2	2	111	9	0	0	0	0	0
3	64	3	2	59	10	1	1	0	0	0
3	65	2	0	117	12	3	0	0	2	0
3	65	3	1	59	5	1	1	0	0	0
3	66	2	0	138	20	0	0	0	1	0
3	66	3	1	65	5	4	3	0	0	0
