	Kamienskiego - Malborska Junction, P25-04.INT - 97									

0	Malborska Wielicka - 97098, 98097									

1	Kamienskiego Slawka - 97100, 100097									

2	Malborska - 97183, 183097									

3	Kamienskiego Wielicka - 97096, 96097									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	3	0	0	0	0	0	0
0	55	2	1	22	11	1	0	1	0	0
0	55	3	0	21	3	1	1	1	0	0
0	56	1	0	5	1	0	0	0	0	0
0	56	2	0	25	6	0	0	1	0	0
0	56	3	0	16	2	1	1	0	0	0
0	57	1	0	2	0	0	0	0	0	0
0	57	2	0	25	5	3	0	0	1	0
0	57	3	0	19	4	2	0	1	0	0
0	58	1	0	2	2	0	0	0	0	0
0	58	2	1	28	3	3	0	0	0	0
0	58	3	0	24	2	0	0	0	0	0
0	59	1	3	0	0	0	0	0	0	0
0	59	2	1	31	5	2	1	0	0	0
0	59	3	0	26	3	0	0	1	0	0
0	60	1	0	5	0	0	0	0	0	0
0	60	2	1	29	5	0	0	0	1	0
0	60	3	0	14	2	0	0	0	0	0
0	61	1	0	3	0	0	0	0	0	0
0	61	2	0	34	5	2	0	0	0	0
0	61	3	0	19	4	1	0	0	0	0
0	62	1	0	2	1	0	0	0	0	0
0	62	2	0	33	3	1	0	0	0	0
0	62	3	0	13	2	2	1	0	0	0
0	63	1	0	3	0	0	0	0	0	0
0	63	2	2	69	9	2	0	1	0	0
0	63	3	0	17	3	0	1	0	0	0
0	64	1	0	2	0	0	0	0	0	0
0	64	2	0	32	7	0	0	0	0	0
0	64	3	0	10	3	1	0	0	1	0
0	65	1	0	3	1	0	0	0	0	0
0	65	2	1	41	6	0	0	1	0	0
0	65	3	0	16	1	2	0	0	0	0
0	66	1	0	1	0	0	0	0	0	0
0	66	2	0	32	4	1	1	0	0	0
0	66	3	0	19	4	0	1	0	1	0
1	55	1	0	12	1	0	0	0	0	0
1	55	2	2	134	18	3	1	2	2	0
1	55	3	0	5	0	0	0	0	0	0
1	56	1	0	9	1	0	0	2	0	0
1	56	2	10	153	13	5	1	0	1	0
1	56	3	1	6	2	0	0	0	0	0
1	57	1	0	10	2	0	0	0	0	0
1	57	2	6	150	20	4	2	1	1	0
1	57	3	1	4	0	1	0	0	0	0
1	58	1	0	5	2	0	0	0	0	0
1	58	2	3	181	20	2	2	0	0	0
1	58	3	1	4	0	0	0	0	0	0
1	59	1	0	9	1	0	0	0	0	0
1	59	2	10	130	25	8	1	1	1	0
1	59	3	2	5	1	0	0	0	0	0
1	60	1	0	11	0	0	0	0	0	0
1	60	2	4	189	15	3	1	2	0	0
1	60	3	0	3	0	0	0	0	0	0
1	61	1	0	8	0	0	0	0	0	0
1	61	2	8	198	17	3	8	0	0	0
1	61	3	2	8	0	0	0	0	0	0
1	62	1	0	9	1	0	0	0	0	0
1	62	2	5	268	13	3	1	0	1	0
1	62	3	1	4	1	0	0	0	0	0
1	63	1	1	5	1	0	0	0	0	0
1	63	2	15	226	12	3	2	1	0	0
1	63	3	1	0	0	0	0	1	0	0
1	64	1	0	8	1	0	0	1	0	0
1	64	2	7	205	7	1	5	0	0	0
1	64	3	1	3	0	0	0	0	0	0
1	65	1	0	7	1	0	0	0	0	0
1	65	2	5	153	15	2	0	1	0	0
1	65	3	0	0	2	0	0	0	0	0
1	66	1	0	6	2	0	0	0	0	0
1	66	2	6	139	13	2	1	1	2	0
1	66	3	1	5	1	0	0	0	0	0
2	55	1	1	12	1	0	0	0	0	0
2	55	2	0	32	7	0	0	0	0	0
2	55	3	0	17	4	2	0	0	0	0
2	56	1	1	7	0	0	0	0	0	0
2	56	2	0	16	3	1	0	1	0	0
2	56	3	0	11	3	0	0	0	0	0
2	57	1	1	6	1	0	0	0	1	0
2	57	2	1	18	6	2	0	0	0	0
2	57	3	0	12	3	0	0	2	0	0
2	58	1	1	17	2	0	0	0	0	0
2	58	2	1	13	8	1	0	2	0	0
2	58	3	0	25	2	0	0	0	0	0
2	59	1	1	13	0	0	0	0	0	0
2	59	2	0	32	3	1	0	0	0	0
2	59	3	0	23	2	0	0	0	1	0
2	60	1	1	15	1	0	0	0	0	0
2	60	2	0	29	4	0	0	0	0	0
2	60	3	0	20	2	0	0	0	0	0
2	61	1	6	13	3	0	0	0	0	0
2	61	2	1	15	4	2	0	0	0	0
2	61	3	0	19	2	1	0	0	0	0
2	62	1	1	5	2	0	0	0	0	0
2	62	2	0	24	3	1	0	0	0	0
2	62	3	0	23	3	0	0	0	0	0
2	63	1	1	6	3	1	0	0	0	0
2	63	2	1	23	10	0	0	0	0	0
2	63	3	0	10	0	1	0	0	0	0
2	64	1	2	12	4	0	0	0	1	0
2	64	2	0	20	3	0	0	0	0	0
2	64	3	0	9	2	0	0	1	0	0
2	65	1	0	17	0	0	0	0	0	0
2	65	2	1	18	7	3	0	0	0	0
2	65	3	0	13	5	2	0	0	0	0
2	66	1	0	13	0	0	0	0	0	0
2	66	2	0	17	9	2	0	0	0	0
2	66	3	0	11	5	1	0	0	0	0
3	55	1	0	7	1	0	0	0	0	0
3	55	2	8	144	19	2	0	0	0	0
3	55	3	0	1	0	0	0	1	0	0
3	56	1	0	10	1	0	0	0	0	0
3	56	2	8	133	24	1	1	1	0	0
3	56	3	0	2	0	0	0	1	0	0
3	57	1	0	9	2	0	0	0	0	0
3	57	2	7	159	16	3	2	0	0	0
3	57	3	0	1	0	0	0	0	0	0
3	58	1	0	7	2	0	0	0	0	0
3	58	2	10	169	20	1	0	2	0	0
3	58	3	0	3	1	0	0	0	0	0
3	59	1	0	10	1	0	0	0	0	0
3	59	2	9	162	17	2	3	0	1	0
3	59	3	0	1	2	0	0	0	0	0
