	Kocmyrzowska - Obroncow Krzyza Junction, H22-04.INT - 172

0	Kocmyrzowska Bienczycka - 172168, 168172

1	Obroncow Krzyza Broniewskiego - 172174, 174172

2	Kocmyrzowska - 172175, 175172

3	Obroncow Krzyza - 172173, 173172


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	23	2	0	0	0	0	0
0	55	2	0	115	15	6	2	1	0	0
0	55	3	0	30	1	0	0	0	0	0
0	56	1	0	36	4	0	0	0	0	0
0	56	2	0	89	12	5	0	0	0	0
0	56	3	0	27	2	0	0	0	0	0
0	57	1	1	27	3	1	0	0	0	0
0	57	2	0	107	25	2	3	0	0	0
0	57	3	0	28	1	0	0	0	0	0
0	58	1	0	30	1	0	0	0	0	0
0	58	2	0	100	19	4	0	0	0	0
0	58	3	0	20	2	0	0	0	0	0
0	59	1	0	30	2	1	0	0	0	0
0	59	2	0	94	20	9	0	0	0	0
0	59	3	1	21	0	1	0	0	1	0
0	60	1	0	42	3	0	0	0	0	0
0	60	2	3	114	19	1	2	0	0	0
0	60	3	0	50	4	0	0	0	0	0
0	61	1	0	27	0	0	0	0	0	0
0	61	2	0	72	14	5	2	1	0	0
0	61	3	0	35	5	0	0	0	0	0
0	62	1	0	34	5	0	0	0	0	0
0	62	2	3	97	18	2	1	0	0	0
0	62	3	0	32	5	0	0	0	0	0
0	63	1	1	43	4	0	0	0	0	0
0	63	2	0	123	19	1	2	0	0	0
0	63	3	0	43	1	0	0	0	0	0
0	64	1	0	50	4	0	0	0	1	0
0	64	2	2	118	22	1	1	0	0	0
0	64	3	0	45	2	0	0	0	0	0
0	65	1	0	43	4	0	1	0	0	0
0	65	2	0	139	14	3	3	0	0	0
0	65	3	0	59	5	0	0	0	0	0
0	66	1	1	62	0	0	0	0	0	0
0	66	2	1	121	9	2	0	0	0	0
0	66	3	0	47	1	1	1	0	1	0
1	55	1	0	28	2	0	0	0	0	0
1	55	2	3	89	5	1	0	0	3	0
1	55	3	0	22	0	0	0	0	0	0
1	56	1	0	26	2	0	0	0	0	0
1	56	2	3	86	5	0	0	0	0	0
1	56	3	0	21	1	0	0	0	0	0
1	57	1	0	25	1	1	0	0	1	0
1	57	2	4	89	10	0	0	0	0	0
1	57	3	0	10	2	0	0	0	0	0
1	58	1	0	27	1	0	0	0	0	0
1	58	2	4	97	10	0	0	0	1	0
1	58	3	0	18	1	0	0	0	0	0
1	59	1	0	34	3	0	0	0	0	0
1	59	2	4	97	14	0	0	1	0	0
1	59	3	0	20	1	0	0	0	0	0
1	60	1	4	38	1	1	0	0	0	0
1	60	2	2	82	2	0	0	0	1	0
1	60	3	0	13	1	2	0	0	0	0
1	61	1	0	38	5	1	0	0	0	0
1	61	2	4	102	6	3	0	0	1	0
1	61	3	0	20	0	0	0	0	0	0
1	62	1	0	33	0	0	0	0	0	0
1	62	2	4	103	7	2	0	0	0	0
1	62	3	0	11	0	0	0	0	1	0
1	63	1	0	30	0	1	0	0	0	0
1	63	2	6	99	4	0	0	0	1	0
1	63	3	0	11	0	0	0	0	0	0
1	64	1	0	24	3	0	0	0	0	0
1	64	2	4	87	4	1	0	0	1	0
1	64	3	0	11	2	0	0	0	0	0
1	65	1	0	17	0	0	0	0	0	0
1	65	2	3	97	3	0	0	0	0	0
1	65	3	0	16	0	0	0	0	0	0
1	66	1	0	22	0	1	0	0	0	0
1	66	2	4	118	4	0	0	0	0	0
1	66	3	0	23	0	0	0	0	0	0
2	55	1	0	20	4	0	0	0	0	0
2	55	2	1	116	23	8	2	0	0	0
2	55	3	1	37	6	0	0	0	0	0
2	56	1	0	23	4	0	0	0	0	0
2	56	2	1	95	17	6	2	0	0	0
2	56	3	2	37	6	0	0	0	0	0
2	57	1	0	42	5	0	0	0	0	0
2	57	2	1	107	16	8	0	0	0	0
2	57	3	1	40	4	1	0	0	0	0
2	58	1	0	41	7	0	0	0	0	0
2	58	2	2	100	24	5	0	0	0	0
2	58	3	2	49	1	0	0	0	0	0
2	59	1	0	34	3	0	0	0	0	0
2	59	2	2	90	20	9	0	0	0	0
2	59	3	1	34	4	0	0	0	0	0
2	60	1	0	23	3	1	0	1	0	0
2	60	2	0	116	12	4	2	0	0	0
2	60	3	2	34	7	0	0	0	0	0
2	61	1	0	46	3	0	0	0	0	0
2	61	2	0	121	16	0	1	0	0	0
2	61	3	0	49	4	0	0	0	0	0
2	62	1	0	33	3	1	0	0	1	0
2	62	2	0	127	18	6	0	0	0	0
2	62	3	2	39	3	0	0	1	0	0
2	63	1	0	81	5	1	0	0	0	0
2	63	2	0	115	23	4	2	0	0	0
2	63	3	2	41	4	2	0	0	0	0
2	64	1	0	37	4	0	0	0	0	0
2	64	2	1	99	28	6	0	0	0	0
2	64	3	2	28	2	0	0	0	0	0
2	65	1	0	32	6	1	0	0	0	0
2	65	2	0	112	12	6	1	1	0	0
2	65	3	3	38	4	0	0	0	0	0
2	66	1	0	31	3	0	0	0	0	0
2	66	2	0	120	24	0	0	1	0	0
2	66	3	1	34	6	0	0	0	0	0
3	55	1	0	25	1	0	0	0	0	0
3	55	2	4	76	3	0	0	0	0	0
3	55	3	1	19	1	0	0	0	0	0
3	56	1	0	30	3	0	0	0	1	0
3	56	2	5	59	9	0	0	0	0	0
3	56	3	3	32	1	0	0	0	0	0
3	57	1	0	22	2	0	0	0	0	0
3	57	2	3	46	4	0	0	0	0	0
3	57	3	3	18	2	1	0	0	0	0
3	58	1	1	23	6	0	0	0	0	0
3	58	2	0	52	7	0	0	0	1	0
3	58	3	3	17	3	0	0	0	0	0
3	59	1	0	31	3	1	0	0	0	0
3	59	2	4	108	8	1	0	0	0	0
3	59	3	2	21	3	0	0	0	0	0
3	60	1	0	35	3	0	0	0	0	0
3	60	2	6	109	5	1	0	0	1	0
3	60	3	3	15	2	0	0	0	0	0
3	61	1	0	26	2	0	0	0	0	0
3	61	2	4	83	6	1	0	0	0	0
3	61	3	1	19	1	0	0	0	0	0
3	62	1	0	29	2	0	0	0	0	0
3	62	2	4	114	3	1	0	0	0	0
3	62	3	2	11	1	0	0	0	0	0
3	63	1	0	19	0	1	0	1	0	0
3	63	2	3	106	3	0	0	0	1	0
3	63	3	2	11	0	0	0	0	0	0
3	64	1	1	26	1	0	0	1	0	0
3	64	2	5	100	5	1	0	1	0	0
3	64	3	1	16	4	0	0	0	0	0
3	65	1	0	28	2	0	0	0	0	0
3	65	2	4	110	4	2	0	0	1	0
3	65	3	2	14	2	1	0	0	0	0
3	66	1	0	33	3	0	0	0	1	0
3	66	2	3	113	3	2	0	0	1	0
3	66	3	3	19	2	1	0	0	0	0
