	"Kocmyrzowska - Wankowicza Junction, H37-04.INT - 176"									

0	"Wankowicza - 176177, 177176"									

1	"Kocmyrzowska Bienczycka - 176175, 175176"									

2	"Wankowicza Makuszynskiego - 176178, 178176"									

3	"Kocmyrzowska - 176181, 181176"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	6	1	0	0	0	1	0
0	55	2	0	3	0	0	0	0	0	0
0	55	3	0	1	0	0	0	0	0	0
0	56	1	0	2	1	0	0	0	0	0
0	56	2	0	1	0	0	0	0	0	0
0	56	3	0	1	0	0	0	0	0	0
0	57	1	0	3	1	0	0	0	0	0
0	57	2	0	2	0	0	0	0	0	0
0	57	3	0	1	0	0	0	0	0	0
0	58	1	1	7	0	0	0	0	4	0
0	58	2	0	2	1	0	0	0	0	0
0	58	3	0	1	0	0	0	0	0	0
0	59	1	0	2	1	1	0	0	0	0
0	59	2	0	1	4	0	0	0	1	0
0	59	3	0	0	0	0	0	0	1	0
0	60	1	1	5	0	0	0	0	0	0
0	60	2	0	2	0	0	0	0	1	0
0	60	3	0	1	0	0	0	0	0	0
0	61	1	0	3	2	0	0	0	0	0
0	61	2	0	4	1	0	0	0	1	0
0	61	3	0	2	0	0	0	0	0	0
0	62	1	0	2	0	0	0	0	0	0
0	62	2	0	0	2	0	0	0	0	0
0	62	3	0	1	0	0	0	0	0	0
0	63	1	0	2	1	0	0	0	0	0
0	63	2	0	1	1	0	0	0	0	0
0	63	3	0	1	0	0	0	0	0	0
0	64	1	0	1	0	0	0	0	0	0
0	64	2	0	2	0	0	0	0	0	0
0	64	3	1	1	0	0	0	0	0	0
0	65	1	0	1	0	0	0	0	0	0
0	65	2	0	1	1	0	0	0	0	0
0	65	3	0	2	0	0	0	0	0	0
0	66	1	0	4	0	0	0	0	0	0
0	66	2	0	1	0	0	0	0	1	0
0	66	3	0	1	0	0	0	0	0	0
1	55	1	1	7	2	0	1	0	0	0
1	55	2	1	107	16	3	1	0	1	0
1	55	3	0	6	1	0	0	0	0	0
1	56	1	1	6	1	0	0	0	0	0
