	Komorowskiego - Okulickiego Junction, 48 H-16 - 159									

0	Stella Sawickiego - 159156, 156159									

1	Bora Komorowskiego - 159138, 138159									

2	Wislicka - 159161, 161159									

3	Okulickiego - 159160, 160159									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	4	116	11	5	5	0	0	0
0	55	2	0	50	5	2	0	0	0	0
0	55	3	0	21	4	0	0	0	0	0
0	56	1	3	67	11	6	8	0	0	0
0	56	2	1	54	6	2	0	0	0	0
0	56	3	0	24	2	1	2	0	0	0
0	57	1	3	116	13	7	10	0	0	0
0	57	2	0	90	7	0	0	0	0	0
0	57	3	0	18	10	1	0	0	0	0
0	58	1	2	108	12	7	7	0	0	0
0	58	2	1	75	6	3	0	0	0	0
0	58	3	0	29	4	1	0	0	0	0
0	59	1	3	133	12	7	5	0	0	0
0	59	2	0	82	5	2	0	0	0	0
0	59	3	0	37	4	0	0	0	0	0
0	60	1	3	124	15	4	5	1	0	0
0	60	2	0	75	3	1	0	0	0	0
0	60	3	1	33	2	1	0	0	0	0
0	61	1	3	104	14	4	6	1	0	0
0	61	2	1	75	6	0	0	0	0	0
0	61	3	0	33	3	2	0	0	0	0
0	62	1	2	138	7	5	3	0	0	0
0	62	2	0	75	4	1	1	0	0	0
0	62	3	0	35	1	1	1	0	0	0
0	63	1	4	126	8	7	5	0	1	0
0	63	2	1	75	4	1	0	1	0	0
0	63	3	0	31	1	1	2	0	0	0
0	64	1	4	78	16	5	7	0	0	0
0	64	2	1	63	8	1	0	0	0	0
0	64	3	0	26	4	0	0	0	0	0
0	65	1	3	95	14	4	8	0	1	0
0	65	2	1	81	2	0	2	0	0	0
0	65	3	1	29	1	1	1	0	0	0
0	66	1	3	107	13	7	8	0	0	0
0	66	2	1	73	3	2	0	0	0	0
0	66	3	0	33	3	1	1	0	0	0
1	55	1	3	67	4	1	0	0	0	0
1	55	2	9	162	11	7	6	0	0	0
1	55	3	3	99	10	15	6	0	0	0
1	56	1	3	47	3	0	0	1	0	0
1	56	2	4	228	18	10	9	0	0	0
