	Krolewska - Kijowska Junction, 5 K-26 - 14

0	Kijowska Lea - 14016, 16014

1	Krolewska Podchorazych - 14010, 10014

2	Kijowska - 14015, 15014

3	Krolewska - 14037, 37014


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	10	1	0	0	0	1	0
0	55	2	3	62	7	2	0	0	1	0
0	55	3	0	12	1	0	0	0	0	0
0	56	1	0	6	0	0	0	0	1	0
0	56	2	2	63	7	3	0	0	1	0
0	56	3	0	5	2	0	0	0	0	0
0	57	1	0	6	2	0	0	0	1	0
0	57	2	2	108	9	2	0	0	1	0
0	57	3	0	4	0	0	0	0	1	0
0	58	1	0	14	1	0	0	0	0	0
0	58	2	3	72	10	0	0	1	1	0
0	58	3	0	5	1	0	0	0	0	0
0	59	1	0	13	2	0	0	0	0	0
0	59	2	3	90	4	0	1	0	0	0
0	59	3	0	10	1	0	0	0	0	0
0	60	1	0	10	1	0	0	0	0	0
0	60	2	3	101	8	0	0	1	2	0
0	60	3	0	9	0	0	0	0	0	0
0	61	1	0	9	2	0	0	0	0	0
0	61	2	3	111	4	0	0	0	1	0
0	61	3	0	4	3	0	0	0	0	0
0	62	1	0	10	1	0	0	0	0	0
0	62	2	1	98	7	0	0	1	1	0
0	62	3	0	7	1	0	0	0	1	0
0	63	1	0	12	1	0	0	0	0	0
0	63	2	3	108	7	1	0	1	0	0
0	63	3	0	7	0	0	0	0	0	0
0	64	1	1	7	0	0	0	1	0	0
0	64	2	2	105	5	0	0	1	1	0
0	64	3	0	7	1	0	0	0	0	0
0	65	1	0	8	1	0	0	0	0	0
0	65	2	1	105	4	0	0	0	0	0
0	65	3	0	9	2	0	0	0	0	0
0	66	1	0	12	2	0	0	0	1	0
0	66	2	2	95	3	0	1	0	1	0
0	66	3	0	8	3	0	0	0	0	0
1	55	1	0	13	0	0	0	0	0	0
1	55	2	0	80	7	0	0	2	4	0
1	55	3	0	8	0	0	0	0	0	0
1	56	1	1	11	0	0	0	0	0	0
1	56	2	1	62	5	0	0	0	3	0
1	56	3	0	9	1	0	0	0	0	0
1	57	1	0	10	2	0	0	0	0	0
1	57	2	0	59	7	0	0	1	3	0
1	57	3	0	5	0	0	0	0	0	0
1	58	1	1	14	0	0	0	0	0	0
1	58	2	0	54	3	0	0	2	1	0
1	58	3	0	8	0	0	0	0	0	0
1	59	1	0	4	0	0	0	0	0	0
1	59	2	1	55	5	0	0	0	2	0
1	59	3	0	6	0	0	0	0	0	0
1	60	1	0	8	1	0	0	0	0	0
1	60	2	0	41	6	0	0	2	3	0
1	60	3	1	11	0	0	0	1	0	0
1	61	1	1	7	0	0	0	0	0	0
1	61	2	1	47	7	0	0	0	1	0
1	61	3	0	3	1	0	0	0	0	0
1	62	1	1	10	1	0	0	0	0	0
1	62	2	0	58	7	0	0	0	3	0
1	62	3	0	1	1	0	0	0	0	0
1	63	1	0	13	0	0	0	0	0	0
1	63	2	0	59	3	0	0	2	4	0
1	63	3	0	7	0	0	0	0	0	0
1	64	1	0	1	0	0	0	0	0	0
1	64	2	0	56	4	1	0	0	3	0
1	64	3	0	5	0	0	0	0	0	0
1	65	1	1	8	0	0	0	0	0	0
1	65	2	0	37	8	1	0	1	2	0
1	65	3	0	9	0	0	0	0	0	0
1	66	1	0	11	2	0	0	0	0	0
1	66	2	0	47	7	1	0	1	1	0
1	66	3	0	7	1	0	0	0	0	0
2	55	1	0	16	0	0	0	0	0	0
2	55	2	2	67	10	0	0	0	0	0
2	55	3	0	15	2	0	0	0	0	0
2	56	1	0	12	2	0	0	0	0	0
2	56	2	1	72	15	5	0	1	3	0
2	56	3	0	20	2	2	0	0	0	0
2	57	1	2	27	4	0	0	0	1	0
2	57	2	2	70	5	1	1	1	3	0
2	57	3	1	25	0	0	0	0	0	0
2	58	1	0	17	2	0	0	0	0	0
2	58	2	0	113	5	0	0	0	1	0
2	58	3	1	26	1	0	0	0	0	0
2	59	1	1	25	1	0	0	0	0	0
2	59	2	5	116	6	0	0	0	0	0
2	59	3	0	25	2	0	0	0	0	0
2	60	1	0	4	0	0	0	0	0	0
2	60	2	2	69	9	0	0	0	0	0
2	60	3	0	7	2	0	0	0	0	0
2	61	1	0	5	0	0	0	0	0	0
2	61	2	3	54	6	0	0	0	0	0
2	61	3	1	7	2	0	0	0	0	0
2	62	1	0	15	3	0	0	0	0	0
2	62	2	3	98	9	0	0	0	1	0
2	62	3	0	24	1	0	0	0	0	0
2	63	1	0	17	1	0	0	0	1	0
2	63	2	2	87	8	0	0	0	2	0
2	63	3	1	17	4	0	0	0	1	0
2	64	1	0	8	2	0	0	0	0	0
2	64	2	3	90	10	0	0	0	1	0
2	64	3	0	28	2	0	0	0	0	0
2	65	1	0	10	4	0	0	0	0	0
2	65	2	2	75	12	0	0	0	0	0
2	65	3	1	16	1	0	0	0	0	0
2	66	1	0	18	2	0	0	0	0	0
2	66	2	3	58	3	0	0	0	2	0
2	66	3	0	16	1	0	0	0	0	0
3	55	1	0	23	4	0	0	0	0	0
3	55	2	0	102	0	0	0	0	0	0
3	55	3	0	17	5	0	0	0	0	0
3	56	1	0	16	4	0	0	0	1	0
3	56	2	0	63	11	0	0	0	4	0
3	56	3	0	13	6	0	0	0	1	0
3	57	1	0	10	1	0	0	0	0	0
3	57	2	1	81	12	1	0	0	2	0
3	57	3	0	22	0	0	0	0	0	0
3	58	1	0	11	0	0	0	0	0	0
3	58	2	1	61	8	1	0	0	0	0
3	58	3	0	15	0	0	0	0	0	0
3	59	1	0	10	1	0	0	1	0	0
3	59	2	0	73	8	0	0	1	3	0
3	59	3	0	13	0	0	0	0	0	0
3	60	1	0	16	0	0	0	0	0	0
3	60	2	1	78	9	0	0	0	2	0
3	60	3	0	23	1	0	0	0	0	0
3	61	1	0	16	0	0	0	0	0	0
3	61	2	0	71	5	0	0	0	0	0
3	61	3	0	18	4	0	0	0	0	0
3	62	1	0	26	1	0	0	0	0	0
3	62	2	1	59	4	0	0	1	6	0
3	62	3	0	10	4	0	0	0	0	0
3	63	1	0	27	1	1	0	0	0	0
3	63	2	1	60	11	0	0	2	2	0
