	Matecznego Roundabout, 20 P-1 - 80

0	Wadowicka - 80079, 79080

1	Konopnickiej - 80081, 81080

2	Kalwaryjska - 80101, 101080

3	Kamienskiego - 80100, 100080


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	6	140	31	2	2	0	0	0
0	55	2	2	114	11	2	0	0	0	0
0	55	3	0	58	4	5	0	0	0	0
0	56	1	4	117	19	2	1	1	0	0
0	56	2	2	106	13	0	0	1	0	0
0	56	3	0	42	4	5	0	0	0	0
0	57	1	5	144	15	1	0	0	0	0
0	57	2	0	102	10	2	0	0	0	0
0	57	3	0	64	3	5	0	0	0	0
0	58	1	4	146	15	1	1	1	0	0
0	58	2	0	115	6	0	0	1	0	0
0	58	3	0	64	4	8	0	0	0	0
0	59	1	5	145	22	1	0	0	0	0
0	59	2	2	113	7	4	0	0	0	0
0	59	3	0	77	3	6	1	0	0	0
0	60	1	7	124	24	4	1	2	0	0
0	60	2	1	106	8	1	0	0	0	0
0	60	3	0	63	9	2	1	1	0	0
0	61	1	5	132	19	2	2	0	1	0
0	61	2	0	109	4	0	0	1	1	0
0	61	3	0	66	7	1	0	1	0	0
0	62	1	8	143	23	3	1	0	0	0
0	62	2	1	110	8	2	0	0	0	0
0	62	3	0	74	8	0	0	0	0	0
0	63	1	3	171	23	3	0	0	1	0
0	63	2	1	113	11	2	0	0	1	0
0	63	3	0	61	6	1	0	0	0	0
0	64	1	6	141	18	2	1	0	0	0
0	64	2	1	95	7	3	0	0	0	0
0	64	3	0	55	4	3	0	0	0	0
0	65	1	4	152	21	3	0	1	0	0
0	65	2	1	102	8	3	0	0	1	0
0	65	3	0	41	6	3	0	0	0	0
0	66	1	4	158	18	0	0	1	1	0
0	66	2	0	67	7	2	0	0	0	0
0	66	3	0	41	6	1	0	1	0	0
1	55	1	0	26	2	0	0	0	0	0
1	55	2	6	156	16	7	0	0	0	0
1	55	3	4	72	12	3	0	0	0	0
1	56	1	0	28	2	0	1	0	0	0
1	56	2	8	173	5	10	1	1	0	0
1	56	3	7	94	8	2	3	1	0	0
1	57	1	16	2	1	0	1	0	0	0
1	57	2	9	156	19	2	1	2	0	0
1	57	3	3	90	18	6	0	0	0	0
1	58	1	0	14	3	0	0	0	0	0
1	58	2	8	166	24	8	3	0	0	0
1	58	3	5	99	15	1	0	0	0	0
1	59	1	0	20	2	0	0	0	0	0
1	59	2	10	190	12	6	1	0	0	0
1	59	3	15	118	10	1	3	1	0	0
1	60	1	0	17	1	0	0	0	0	0
1	60	2	9	190	12	5	0	0	0	0
1	60	3	7	103	15	3	0	1	0	0
1	61	1	23	1	0	0	0	0	0	0
1	61	2	12	218	12	1	1	0	0	0
1	61	3	7	106	9	1	0	0	0	0
1	62	1	0	15	1	1	0	0	0	0
1	62	2	9	217	13	3	1	1	0	0
1	62	3	9	104	10	1	0	0	0	0
1	63	1	1	16	3	0	0	0	0	0
1	63	2	8	227	12	5	1	0	0	0
1	63	3	12	112	15	5	0	0	0	0
1	64	1	0	13	0	0	0	0	0	0
1	64	2	14	225	18	2	0	0	0	0
1	64	3	6	103	20	0	0	1	0	0
1	65	1	0	12	1	0	0	0	0	0
1	65	2	12	250	12	2	0	0	0	0
1	65	3	9	127	13	4	0	0	0	0
1	66	1	0	6	2	0	0	0	0	0
1	66	2	12	249	12	1	0	1	0	0
1	66	3	7	112	19	4	2	0	0	0
2	55	1	0	45	4	0	0	1	0	0
2	55	2	0	104	6	2	0	0	0	0
2	55	3	0	19	2	1	0	0	0	0
2	56	1	0	33	4	0	0	0	0	0
2	56	2	0	119	4	2	0	1	0	0
2	56	3	0	13	3	0	0	1	0	0
2	57	1	0	35	4	1	0	0	0	0
2	57	2	1	125	6	1	0	0	0	0
2	57	3	0	19	0	0	0	0	0	0
2	58	1	0	33	2	0	0	0	0	0
2	58	2	1	97	9	0	0	0	0	0
2	58	3	0	13	3	0	0	0	0	0
2	59	1	0	40	4	1	0	0	0	0
2	59	2	1	135	6	0	0	0	0	0
2	59	3	0	11	0	0	0	0	0	0
2	60	1	0	35	6	0	0	0	0	0
2	60	2	0	158	7	0	0	2	0	0
2	60	3	0	15	0	1	0	1	0	0
2	61	1	0	25	2	0	0	0	0	0
2	61	2	0	66	4	1	0	3	0	0
2	61	3	0	15	0	0	0	0	0	0
2	62	1	0	34	0	0	0	0	0	0
2	62	2	0	93	6	3	0	0	0	0
2	62	3	0	14	1	0	0	0	0	0
2	63	1	0	57	2	0	0	1	0	0
2	63	2	2	100	7	0	0	0	0	0
2	63	3	0	9	2	1	0	0	1	0
2	64	1	0	53	4	0	0	0	0	0
2	64	2	0	117	6	0	0	1	0	0
2	64	3	1	16	1	0	0	0	0	0
2	65	1	0	44	2	0	0	0	0	0
2	65	2	0	83	4	1	0	2	0	0
2	65	3	0	11	0	0	0	0	0	0
2	66	1	0	64	3	0	0	1	0	0
