	Mickiewicza - Czarnowiejska Junction, 9 K-5 - 38									

0	Mickiewicza Reymonta - 38039, 39038									

1	Czarnowiejska - 38016, 16038									

2	Mickiewicza Karmelicka - 38037, 37038									

3	Czarnowiejska Dolnych Mlynow - 38044, 44038									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	9	126	12	4	0	0	0	0
0	55	2	15	312	37	6	0	2	0	0
0	55	3	0	8	0	0	0	0	0	0
0	56	1	3	117	8	4	2	0	0	0
0	56	2	12	255	45	4	1	1	2	0
0	56	3	0	3	1	0	0	0	0	0
0	57	1	8	106	12	11	0	0	0	0
0	57	2	10	256	42	1	0	0	1	0
0	57	3	0	9	1	0	0	0	0	0
0	58	1	6	134	14	5	0	0	0	0
0	58	2	9	297	16	7	1	1	0	0
0	58	3	0	3	1	0	0	0	0	0
0	59	1	4	123	6	5	0	0	0	0
0	59	2	12	312	20	1	1	0	0	0
0	59	3	0	5	0	0	0	0	0	0
0	60	1	5	161	9	7	0	0	0	0
0	60	2	12	280	19	1	0	0	0	0
0	60	3	2	4	3	0	0	0	0	0
0	61	1	3	105	10	2	0	0	0	0
0	61	2	11	287	24	2	1	1	0	0
0	61	3	0	3	0	0	0	0	0	0
0	62	1	7	146	8	6	0	0	0	0
0	62	2	9	317	19	6	0	2	0	0
0	62	3	0	5	0	0	0	0	0	0
0	63	1	5	141	10	5	0	0	0	0
0	63	2	7	345	19	6	0	0	0	0
0	63	3	0	14	1	0	0	0	0	0
0	64	1	5	154	16	3	0	0	0	0
0	64	2	14	311	19	3	0	0	0	0
0	64	3	0	2	2	0	0	0	0	0
0	65	1	5	147	12	1	0	0	0	0
0	65	2	16	257	22	1	1	0	2	0
0	65	3	0	9	0	0	0	0	0	0
0	66	1	6	148	11	1	0	0	0	0
0	66	2	12	294	26	3	0	1	0	0
0	66	3	0	6	1	0	0	0	0	0
1	55	1	3	29	6	0	0	0	0	0
1	55	2	1	28	1	0	0	0	0	0
1	55	3	5	60	16	5	1	0	0	0
1	56	1	4	23	7	0	0	0	0	0
1	56	2	0	33	3	0	0	0	0	0
1	56	3	4	88	9	5	1	0	0	0
1	57	1	4	28	1	0	0	0	0	0
1	57	2	0	22	6	0	0	0	1	0
1	57	3	5	91	13	9	2	0	0	0
1	58	1	3	18	2	0	0	0	0	0
1	58	2	0	25	2	0	0	0	0	0
1	58	3	4	77	7	3	2	0	0	0
1	59	1	4	22	3	0	0	0	1	0
1	59	2	0	36	2	0	0	0	0	0
1	59	3	6	70	6	1	2	0	0	0
1	60	1	6	27	2	0	0	0	0	0
1	60	2	0	36	2	0	0	0	0	0
1	60	3	6	81	8	4	1	0	0	0
1	61	1	3	23	2	0	0	0	0	0
1	61	2	0	30	2	0	0	0	0	0
1	61	3	5	94	15	3	2	0	0	0
1	62	1	4	17	3	0	0	0	0	0
1	62	2	0	32	4	0	0	1	0	0
1	62	3	5	108	11	2	0	0	0	0
1	63	1	4	29	2	0	0	0	0	0
1	63	2	0	30	0	0	0	0	1	0
1	63	3	7	89	15	4	0	0	1	0
1	64	1	4	23	4	0	0	0	0	0
1	64	2	0	28	1	0	0	0	0	0
1	64	3	4	74	6	6	1	0	0	0
1	65	1	4	25	3	0	0	0	0	0
1	65	2	0	29	3	0	0	0	0	0
1	65	3	6	83	7	3	1	0	0	0
1	66	1	4	23	2	0	0	1	0	0
1	66	2	0	29	3	0	0	0	0	0
1	66	3	5	78	6	4	2	0	0	0
2	55	2	7	271	23	8	0	1	0	0
2	55	3	4	37	3	0	0	0	0	0
2	56	2	6	271	22	5	0	0	0	0
2	56	3	4	27	4	0	1	0	0	0
2	57	2	9	293	30	2	0	0	0	0
2	57	3	4	22	1	2	0	1	0	0
2	58	2	17	290	19	6	1	1	1	0
2	58	3	5	28	2	0	0	0	0	0
2	59	2	11	273	26	3	3	1	0	0
2	59	3	4	24	4	0	0	0	0	0
2	60	2	11	325	27	4	0	0	1	0
2	60	3	3	27	1	0	0	0	0	0
2	61	2	9	305	21	5	1	0	0	0
2	61	3	5	21	1	1	0	0	0	0
2	62	2	11	296	20	1	2	0	1	0
2	62	3	5	29	1	0	0	0	0	0
2	63	2	8	293	25	5	1	0	0	0
2	63	3	4	12	1	0	0	0	0	0
2	64	2	7	320	17	3	0	1	1	0
2	64	3	6	23	0	0	0	0	0	0
2	65	2	10	271	15	3	2	1	1	0
2	65	3	4	24	2	0	0	0	0	0
2	66	2	10	292	22	4	1	0	0	0
2	66	3	4	25	2	0	0	0	0	0
3	55	1	0	32	4	0	0	0	0	0
3	55	2	0	31	4	0	0	0	1	0
3	55	3	0	30	1	0	0	0	1	0
3	56	1	0	52	2	0	0	0	0	0
3	56	2	0	36	1	0	0	0	0	0
3	56	3	0	34	1	0	0	0	0	0
3	57	1	0	24	1	0	0	0	0	0
3	57	2	0	24	3	0	0	0	0	0
3	57	3	0	27	0	0	0	0	0	0
3	58	1	0	36	2	0	0	0	0	0
3	58	2	0	40	3	0	0	0	1	0
3	58	3	0	46	6	0	0	0	0	0
3	59	1	0	32	0	0	0	0	0	0
3	59	2	0	32	4	0	0	0	0	0
3	59	3	0	28	3	0	0	0	0	0
3	60	1	0	21	1	0	0	0	0	0
3	60	2	0	44	3	0	0	0	0	0
3	60	3	0	42	1	0	0	1	0	0
3	61	1	0	30	2	0	0	0	0	0
3	61	2	0	33	4	0	0	0	0	0
3	61	3	0	28	2	0	0	0	0	0
3	62	1	0	27	0	0	0	0	0	0
3	62	2	0	44	1	0	0	0	0	0
3	62	3	0	35	3	0	0	0	0	0
3	63	1	0	26	1	0	0	0	0	0
3	63	2	0	48	4	0	0	0	0	0
3	63	3	0	33	1	0	0	0	0	0
3	64	1	0	25	2	0	0	0	0	0
3	64	2	0	34	0	0	0	0	0	0
3	64	3	0	37	0	0	0	1	0	0
3	65	1	0	36	0	0	0	0	0	0
3	65	2	0	43	2	0	0	0	0	0
3	65	3	0	40	0	0	0	0	0	0
3	66	1	0	31	1	0	0	0	0	0
3	66	2	0	37	3	0	0	0	0	0
