	Rondo Mlynskie, 27 S-64 - 143

0	Meissnera - 143144, 144143

1	Pilotow Olszyny - 143120, 120143

2	Mlynska - 143138, 138143

3	Pilotow - 143187, 187143


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	58	4	0	0	0	0	0
0	55	2	0	97	14	4	2	0	0	0
0	55	3	0	4	1	0	0	0	0	0
0	56	1	0	57	7	1	1	0	0	0
0	56	2	0	89	7	4	0	0	0	0
0	56	3	0	8	2	1	0	0	0	0
0	57	1	0	59	7	1	0	0	0	0
0	57	2	0	104	7	2	0	0	0	0
0	57	3	0	11	2	1	0	0	1	0
0	58	1	0	47	6	0	0	0	0	0
0	58	2	1	116	11	5	0	0	0	0
0	58	3	0	10	2	0	0	0	0	0
0	59	1	0	69	5	0	0	0	0	0
0	59	2	0	115	8	3	3	0	0	0
0	59	3	0	7	0	0	0	0	0	0
0	60	1	0	51	7	0	0	0	0	0
0	60	2	0	101	8	1	0	0	0	0
0	60	3	0	8	2	0	0	0	0	0
0	61	1	0	69	7	0	0	0	0	0
0	61	2	0	142	9	0	1	1	0	0
0	61	3	0	5	0	0	0	0	0	0
0	62	1	0	42	6	0	0	0	0	0
0	62	2	0	173	11	2	1	0	0	0
0	62	3	0	9	2	0	0	0	2	0
0	63	1	0	65	2	1	0	1	0	0
0	63	2	0	125	11	1	0	0	0	0
0	63	3	0	3	0	0	0	0	0	0
0	64	1	0	69	5	2	0	0	0	0
0	64	2	0	127	11	1	1	1	0	0
0	64	3	0	2	0	0	0	0	0	0
0	65	1	0	65	3	0	0	0	0	0
0	65	2	0	120	10	3	0	0	0	0
0	65	3	0	5	0	0	0	0	0	0
0	66	1	2	60	6	2	0	0	0	0
0	66	2	0	115	7	2	1	0	0	0
0	66	3	0	8	0	1	0	0	0	0
1	55	1	7	115	7	2	0	1	0	0
1	55	2	1	22	0	0	0	0	0	0
1	55	3	0	37	4	1	0	1	0	0
1	56	1	5	114	6	3	1	1	2	0
1	56	2	1	21	0	1	0	0	0	0
1	56	3	0	49	4	1	0	0	0	0
1	57	1	6	139	9	1	0	0	0	0
1	57	2	1	18	2	0	0	0	2	0
1	57	3	0	41	6	0	0	0	1	0
1	58	1	7	161	9	0	0	0	0	0
1	58	2	1	29	0	0	0	0	1	0
1	58	3	0	51	4	0	0	0	0	0
1	59	1	7	147	6	0	0	2	1	0
1	59	2	1	18	0	0	0	0	0	0
1	59	3	0	60	4	0	0	0	0	0
1	60	1	9	147	14	0	0	1	1	0
1	60	2	1	27	1	0	0	0	0	0
1	60	3	0	55	4	0	0	0	0	0
1	61	1	6	160	16	0	0	2	3	0
1	61	2	1	18	1	0	0	0	0	0
1	61	3	0	49	6	0	0	0	0	0
1	62	1	10	173	9	3	0	0	2	0
1	62	2	1	26	1	1	0	0	0	0
1	62	3	1	38	2	0	0	0	0	0
1	63	1	6	174	7	0	0	0	0	0
1	63	2	1	17	0	0	0	0	0	0
1	63	3	58	2	0	0	0	0	0	0
1	64	1	7	155	7	2	0	0	0	0
1	64	2	1	10	1	0	0	0	1	0
1	64	3	60	4	0	0	0	0	0	0
1	65	1	6	148	9	0	7	0	1	0
1	65	2	1	27	2	0	0	0	0	0
1	65	3	0	64	2	3	0	0	1	0
1	66	1	8	162	7	4	0	1	0	0
1	66	2	1	24	1	0	0	1	0	0
1	66	3	0	60	1	2	0	0	1	0
2	55	1	1	16	0	1	0	0	0	0
2	55	2	0	129	12	5	0	0	0	0
2	55	3	3	93	12	1	0	0	0	0
2	56	1	4	19	1	1	0	0	0	0
2	56	2	0	141	12	6	0	0	0	0
2	56	3	8	108	8	3	1	1	2	0
2	57	1	3	21	3	0	0	0	0	0
2	57	2	1	107	11	5	1	0	1	0
2	57	3	11	92	3	1	0	0	1	0
2	58	1	2	28	1	2	0	0	0	0
2	58	2	0	109	11	2	0	0	0	0
2	58	3	5	91	12	2	0	1	1	0
2	59	1	3	24	3	0	0	0	0	0
2	59	2	0	126	10	9	0	0	0	0
2	59	3	11	98	8	0	0	1	0	0
2	60	1	2	22	2	0	0	0	0	0
2	60	2	0	128	10	3	5	0	0	0
2	60	3	5	91	15	2	0	0	1	0
2	61	1	3	22	2	0	0	0	0	0
2	61	2	0	99	9	1	4	0	0	0
