	Nowohucka - Stoczniowcow Junction, 66 P-12 - 126

0	Saska - 126129, 129126

1	Nowohucka - 126127, 127126

2	Stoczniowcow - 126125, 125126

3	Nowohucka Pokoju - 126145, 145126


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	2	31	6	14	2	0	0	0
0	55	2	0	81	13	8	1	0	0	0
0	55	3	1	68	17	8	4	0	0	0
0	56	1	3	30	18	6	1	0	0	0
0	56	2	0	67	14	11	2	0	0	0
0	56	3	1	45	26	6	2	0	0	0
0	57	1	2	29	10	5	3	0	0	0
0	57	2	0	104	15	4	2	0	0	0
0	57	3	1	55	20	10	4	0	0	0
0	58	1	3	35	17	10	1	0	0	0
0	58	2	2	98	16	7	1	3	0	0
0	58	3	1	53	14	4	5	0	0	0
0	59	1	2	31	7	10	3	2	0	0
0	59	2	0	138	8	5	1	0	0	0
0	59	3	0	63	13	3	1	0	0	0
0	60	1	2	38	19	10	3	0	0	0
0	60	2	0	101	16	5	1	0	0	0
0	60	3	0	74	13	2	2	0	0	0
0	61	1	1	38	9	10	3	0	0	0
0	61	2	3	127	14	5	1	0	0	0
0	61	3	1	68	9	3	4	0	0	0
0	62	1	2	43	17	11	4	0	0	0
0	62	2	0	114	15	10	3	0	0	0
0	62	3	1	52	13	6	4	0	0	0
0	63	1	2	49	11	7	3	0	0	0
0	63	2	2	163	11	5	1	0	0	0
0	63	3	1	42	13	2	3	0	0	0
0	64	1	0	35	23	6	6	0	0	0
0	64	2	1	124	21	8	1	0	0	0
0	64	3	0	50	15	2	2	0	0	0
0	65	1	2	42	12	7	6	0	0	0
0	65	2	0	126	10	7	2	0	0	0
0	65	3	0	53	13	3	2	1	0	0
0	66	1	2	36	10	2	0	2	0	0
0	66	2	0	134	17	7	2	1	0	0
0	66	3	0	48	12	4	4	0	1	0
1	55	1	0	27	11	1	0	0	0	0
1	55	2	4	148	18	10	0	0	0	0
1	55	3	2	23	4	7	5	0	0	0
1	56	1	1	25	10	2	0	0	0	0
1	56	2	2	149	21	15	0	0	0	0
1	56	3	1	11	6	3	2	0	0	0
1	57	1	1	37	10	0	0	0	0	0
1	57	2	4	156	35	35	0	0	0	0
1	57	3	0	12	4	9	5	0	0	0
1	58	1	0	27	12	0	0	0	0	0
1	58	2	2	189	28	20	0	0	0	0
1	58	3	1	13	7	5	3	0	0	0
1	59	1	1	24	5	0	0	0	0	0
1	59	2	2	167	38	23	0	0	0	0
1	59	3	1	12	4	7	3	0	0	0
1	60	1	1	18	2	0	0	0	0	0
1	60	2	2	185	34	15	0	0	0	0
1	60	3	1	9	6	5	2	0	0	0
1	61	1	1	26	0	0	0	0	0	0
