	Ofiar Katynia Roundabout, 1 K-45 - 5

0	Armii Krajowej - 5006, 6005

1	Radzikowskiego - 5003, 3005

2	Jasnogorska - 5004, 4005

3	Conrada - 5021, 21005


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	2	57	9	1	1	0	0	0
0	55	2	0	80	13	2	0	0	0	0
0	55	3	5	81	13	3	1	0	0	0
0	56	1	3	45	7	1	0	0	0	0
0	56	2	2	70	11	4	0	0	0	0
0	56	3	2	107	10	0	1	0	0	0
0	57	1	2	53	11	1	0	0	0	0
0	57	2	2	85	14	3	1	0	0	0
0	57	3	2	95	7	5	1	0	0	0
0	58	1	5	70	17	5	0	0	1	0
0	58	2	3	61	8	4	1	0	0	0
0	58	3	4	95	8	1	2	1	0	0
0	59	1	3	76	8	0	0	0	0	0
0	59	2	2	69	13	3	4	0	0	0
0	59	3	2	113	11	1	0	0	0	0
0	60	1	4	51	6	1	0	0	0	0
0	60	2	2	85	42	4	0	0	0	0
0	60	3	4	108	3	1	0	0	0	0
0	61	1	2	65	5	3	1	1	0	0
0	61	2	0	88	9	0	1	0	1	0
0	61	3	2	119	12	1	1	0	0	0
0	62	1	4	68	6	2	1	0	0	0
0	62	2	0	75	10	4	1	0	1	0
0	62	3	4	109	11	2	2	1	1	0
0	63	1	2	64	7	0	0	0	0	0
0	63	2	1	93	14	4	4	2	0	0
0	63	3	3	103	13	2	0	0	0	0
0	64	1	3	62	9	1	0	0	0	0
0	64	2	2	98	18	0	0	0	0	0
0	64	3	4	121	11	1	1	0	0	0
0	65	1	3	60	12	0	0	2	0	0
0	65	2	2	67	11	4	0	0	0	0
0	65	3	2	124	6	1	1	0	0	0
0	66	1	1	37	2	0	0	0	0	0
0	66	2	1	52	14	1	2	0	0	0
0	66	3	1	112	6	2	0	1	0	0
1	55	1	0	27	2	7	5	0	0	0
1	55	2	1	141	19	29	11	0	2	0
1	55	3	1	68	5	2	0	0	0	0
1	56	1	0	16	1	5	5	0	0	0
1	56	2	2	158	21	11	15	0	0	0
1	56	3	1	67	11	2	2	0	0	0
1	57	1	0	23	4	3	13	0	0	0
1	57	2	1	134	29	14	17	0	0	0
1	57	3	1	60	3	0	1	0	0	0
1	58	1	0	14	2	5	6	0	0	0
1	58	2	0	157	24	12	11	0	1	0
1	58	3	3	67	11	1	1	0	0	0
1	59	1	0	16	2	2	0	0	0	0
1	59	2	0	132	26	9	5	2	0	0
1	59	3	1	69	8	1	0	0	1	0
1	60	1	0	20	5	0	6	0	0	0
1	60	2	5	143	28	7	8	0	0	0
1	60	3	6	72	10	2	0	0	0	0
1	61	1	0	20	4	1	6	0	0	0
1	61	2	1	171	21	9	11	1	0	0
1	61	3	2	87	7	2	0	1	0	0
1	62	1	0	22	2	1	3	0	0	0
1	62	2	3	143	19	6	10	0	0	0
1	62	3	4	61	8	1	0	0	0	0
1	63	1	0	10	3	1	4	0	0	0
1	63	2	1	202	15	9	12	0	1	0
