	Olszyny - Brodowicza Junction, 28 S-71 - 120									

0	Brodowicza - 120119, 119120									

1	Grochowska - 120121, 121120									

2	Olszyny - 120143, 143120									

3	Wilka Wyrwinskiego - 120123, 123120									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	2	2	64	5	0	0	0	0	0
0	55	3	0	2	0	0	0	0	0	0
0	56	2	4	77	19	1	0	0	7	0
0	56	3	0	2	0	0	0	0	0	0
0	57	2	8	104	8	0	1	2	2	0
0	57	3	0	2	0	0	0	0	0	0
0	58	2	5	71	4	0	0	1	1	0
0	58	3	0	2	0	0	0	0	0	0
0	59	2	7	135	10	0	0	1	2	0
0	59	3	0	1	0	2	0	0	0	0
0	60	2	5	165	8	1	0	0	2	0
0	60	3	0	2	0	0	0	0	0	0
0	61	2	6	119	4	3	2	0	1	0
0	61	3	0	1	1	0	0	0	0	0
0	62	2	8	139	15	2	0	1	3	0
0	62	3	0	1	0	0	0	0	0	0
0	63	2	10	103	14	1	0	0	5	0
0	63	3	0	0	2	0	1	0	0	0
0	64	2	10	127	13	3	0	0	3	0
0	64	3	0	1	0	0	0	0	0	0
0	65	2	8	152	15	1	0	0	7	0
0	65	3	0	2	1	0	0	0	0	0
0	66	2	8	152	10	3	0	1	3	0
0	66	3	0	2	1	0	0	0	0	0
1	55	1	2	32	4	1	0	0	0	0
1	55	2	0	3	1	0	0	0	0	0
1	55	3	0	4	1	0	0	0	0	0
1	56	1	1	45	6	0	0	1	0	0
1	56	2	0	15	3	0	0	0	0	0
1	56	3	0	4	0	0	0	0	0	0
1	57	1	2	50	7	1	0	1	0	0
1	57	2	0	14	0	1	0	0	0	0
1	57	3	0	3	0	0	0	0	0	0
1	58	1	2	62	3	0	0	0	0	0
1	58	2	0	23	1	0	0	0	0	0
1	58	3	0	5	0	0	0	0	0	0
1	59	1	3	74	6	0	0	0	0	0
1	59	2	0	14	1	0	0	0	1	0
1	59	3	0	4	0	0	0	0	0	0
1	60	1	1	59	3	0	0	0	0	0
1	60	2	0	17	0	0	0	0	0	0
1	60	3	0	13	0	0	0	0	0	0
1	61	1	3	66	2	0	0	0	0	0
1	61	2	0	11	0	0	0	0	0	0
1	61	3	0	6	0	0	0	0	0	0
1	62	1	2	79	3	0	0	0	3	0
1	62	2	0	8	1	0	0	0	0	0
1	62	3	0	1	0	0	0	0	0	0
1	63	1	1	54	7	0	0	0	0	0
1	63	2	0	17	1	0	0	0	0	0
1	63	3	0	4	0	0	0	0	0	0
1	64	1	3	65	6	0	0	0	1	0
1	64	2	0	8	1	0	0	0	0	0
1	64	3	0	9	0	0	0	0	0	0
1	65	1	2	80	2	2	0	0	0	0
1	65	2	0	25	0	0	0	0	0	0
1	65	3	0	4	0	0	0	0	0	0
1	66	1	0	45	0	0	0	0	0	0
1	66	2	0	9	0	0	0	0	0	0
1	66	3	0	3	0	0	0	0	0	0
2	55	1	0	18	5	0	0	0	0	0
2	55	2	2	67	14	0	0	0	0	0
2	56	1	0	3	1	0	0	0	0	0
2	56	2	7	97	9	0	0	1	0	0
2	57	1	0	18	3	0	0	0	0	0
2	57	2	7	114	10	0	0	0	0	0
2	58	1	0	25	3	0	0	0	0	0
2	58	2	5	112	9	0	0	0	4	0
2	59	1	0	22	0	1	0	0	0	0
2	59	2	6	134	12	1	0	0	5	0
2	60	1	0	19	1	0	0	0	0	0
2	60	2	6	104	9	0	0	0	1	0
2	61	1	0	21	3	0	0	0	0	0
2	61	2	9	131	11	1	0	0	3	0
2	62	1	0	20	1	0	0	0	0	0
2	62	2	6	95	12	0	1	0	2	0
2	63	1	0	26	2	1	0	0	0	0
2	63	2	6	134	6	0	0	0	2	0
2	64	1	0	22	1	0	0	0	0	0
2	64	2	7	109	12	0	0	0	4	0
2	65	1	0	12	0	0	0	0	0	0
2	65	2	6	96	7	1	0	1	2	0
2	66	1	0	8	1	0	0	0	0	0
2	66	2	5	55	3	0	0	0	0	0
3	55	1	0	1	2	1	0	0	0	0
3	55	3	0	10	1	0	0	1	0	0
3	56	1	0	1	0	0	0	0	0	0
3	56	3	0	22	1	0	0	0	0	0
3	57	1	0	3	0	0	0	0	0	0
3	57	3	0	25	3	0	0	1	0	0
3	58	1	0	5	0	0	0	0	0	0
3	58	3	0	28	3	0	0	0	0	0
3	59	1	0	3	0	0	0	0	0	0
3	59	3	0	32	1	0	0	0	1	0
3	60	1	0	5	0	0	0	0	0	0
3	60	3	0	39	1	0	0	0	0	0
3	61	1	0	5	0	0	0	0	0	0
3	61	3	0	28	0	0	0	0	0	0
3	62	1	0	6	0	0	0	0	0	0
3	62	3	0	35	0	0	0	0	0	0
3	63	1	0	4	0	0	0	0	0	0
3	63	3	0	33	2	0	0	0	0	0
3	64	1	0	1	0	1	0	0	0	0
3	64	3	0	34	5	0	0	0	1	0
3	65	1	0	4	0	0	0	0	0	0
3	65	3	0	37	0	0	1	0	0	0
3	66	1	0	3	0	0	0	0	0	0
3	66	3	0	32	3	1	0	0	0	0
