	Opolska - Grazyny Junction, K65-04.INT - 27

1	Opolska Mackiewicza - 27025, 25027

2	Grazyny - 27028, 28027

3	Opolska 29 Listopada - 27136, 136027


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	17	5	0	0	0	0	0
1	55	2	8	333	60	19	13	5	1	0
1	56	1	0	33	2	0	0	0	0	0
1	56	2	8	357	64	33	21	2	0	0
1	57	1	0	18	1	0	0	0	0	0
1	57	2	9	367	47	20	18	0	0	0
1	58	1	0	28	3	1	0	0	0	0
1	58	2	7	361	49	18	24	1	0	0
1	59	1	0	17	3	1	0	0	0	0
1	59	2	7	369	43	15	14	2	0	0
1	60	1	0	34	4	2	0	0	0	0
1	60	2	11	380	57	30	22	3	0	0
1	61	1	0	28	2	5	0	0	0	0
1	61	2	5	378	68	37	33	2	0	0
1	62	1	0	32	3	1	0	2	0	0
1	62	2	4	385	64	42	34	3	0	0
1	63	1	0	27	2	0	0	0	0	0
1	63	2	13	359	48	23	18	0	0	0
1	64	1	0	29	1	0	0	0	0	0
1	64	2	7	345	33	17	19	0	0	0
1	65	1	0	28	0	0	0	0	0	0
1	65	2	9	351	30	16	22	0	0	0
1	66	1	0	27	0	0	1	0	0	0
1	66	2	7	358	30	22	12	0	0	0
2	55	1	0	27	5	0	0	0	1	0
2	55	3	0	26	5	0	0	0	1	0
2	56	1	0	28	4	0	0	0	2	0
2	56	3	0	32	4	0	0	0	2	0
2	57	1	0	21	1	0	0	0	1	0
2	57	3	0	24	1	0	0	0	0	0
2	58	1	0	23	2	2	0	0	1	0
2	58	3	0	26	1	0	0	0	0	0
2	59	1	0	31	3	1	0	1	3	0
2	59	3	0	26	4	0	0	0	0	0
2	60	1	0	27	3	0	3	0	1	0
2	60	3	0	32	4	0	0	0	1	0
2	61	1	0	20	1	1	0	0	1	0
2	61	3	0	15	3	0	0	0	0	0
2	62	1	0	22	1	0	0	0	0	0
2	62	3	0	13	3	0	0	1	1	0
2	63	1	0	18	2	0	0	0	1	0
2	63	3	0	10	3	3	0	0	0	0
2	64	1	0	12	0	0	0	0	1	0
2	64	3	0	15	2	1	0	0	1	0
2	65	1	0	18	1	0	0	0	0	0
2	65	3	0	13	2	1	0	0	0	0
2	66	1	0	11	3	0	0	0	0	0
2	66	3	0	12	1	0	0	0	1	0
3	55	2	13	310	77	43	0	0	0	0
3	55	3	0	26	7	0	0	0	0	0
3	56	2	15	316	80	45	0	0	0	0
3	56	3	0	22	9	0	0	0	0	0
3	57	2	11	309	35	29	0	1	0	0
3	57	3	0	19	7	0	0	0	0	0
3	58	2	15	296	40	29	0	0	0	0
3	58	3	0	25	17	0	0	0	0	0
3	59	2	13	287	59	50	0	0	0	0
3	59	3	0	30	8	0	0	0	0	0
3	60	2	12	390	68	58	0	0	0	0
3	60	3	0	20	6	0	0	0	0	0
3	61	2	13	245	81	59	0	2	0	0
3	61	3	0	35	9	1	0	0	0	0
3	62	2	8	324	144	50	0	0	0	0
3	62	3	0	28	13	1	0	0	0	0
3	63	2	10	334	139	101	0	0	0	0
3	63	3	0	20	5	0	0	0	0	0
3	64	2	10	347	134	55	0	0	0	0
3	64	3	0	33	2	0	0	0	0	0
3	65	2	13	322	67	66	2	0	0	0
3	65	3	0	27	9	0	0	0	0	0
3	66	2	13	363	130	74	0	1	0	0
3	66	3	0	28	3	1	0	1	0	0
