	Opolska - Lublanska Junction, 22 S-59, 22 S-59a - 136

0	29 Listopada Wilenska - 136135, 135136

1	Opolska - 136027, 27136

2	29 Listopada Dobrego Pasterza - 136137, 137136

3	Lublanska - 136138, 138136


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	75	16	2	2	0	0	0
0	55	2	3	113	24	2	3	0	1	0
0	55	3	0	82	10	1	0	0	0	0
0	56	1	1	73	14	1	1	0	0	0
0	56	2	5	120	22	7	1	0	0	0
0	56	3	3	123	10	1	0	0	0	0
0	57	1	2	91	7	3	1	1	0	0
0	57	2	3	138	20	5	2	0	0	0
0	57	3	2	127	4	0	0	0	0	0
0	58	1	4	101	7	2	1	0	0	0
0	58	2	2	131	10	5	1	0	1	0
0	58	3	2	120	13	3	0	0	0	0
0	59	1	3	91	12	5	0	0	0	0
0	59	2	4	107	16	5	2	1	0	0
0	59	3	2	134	8	3	0	0	1	0
0	60	1	3	94	11	1	2	1	0	0
0	60	2	3	122	12	2	2	0	0	0
0	60	3	2	115	9	1	2	1	0	0
0	61	1	1	98	12	1	2	2	0	0
0	61	2	3	130	20	2	2	0	0	0
0	61	3	5	136	4	1	1	0	1	0
0	62	1	2	88	10	1	2	0	0	0
0	62	2	3	124	14	3	0	0	0	0
0	62	3	1	150	8	0	0	0	0	0
0	63	1	2	94	13	2	1	0	0	0
0	63	2	2	118	17	3	1	0	0	0
0	63	3	3	135	8	1	2	0	0	0
0	64	1	3	97	16	3	2	0	0	0
0	64	2	4	129	16	5	2	0	0	0
0	64	3	2	130	4	2	1	0	0	0
0	65	1	2	84	12	2	0	1	0	0
0	65	2	3	137	22	2	5	0	1	0
0	65	3	0	115	8	0	0	0	0	0
0	66	1	1	104	16	1	1	0	0	0
0	66	2	4	134	18	6	3	0	0	0
0	66	3	4	126	7	1	0	0	0	0
1	55	1	2	64	9	2	4	0	0	0
1	55	2	6	229	38	5	18	0	0	0
1	55	3	3	45	12	0	0	0	0	0
1	56	1	0	60	9	6	0	0	0	0
1	56	2	2	248	38	13	11	0	0	0
1	56	3	5	38	10	5	0	0	0	0
1	57	1	0	61	16	7	2	1	1	0
1	57	2	5	249	35	4	24	0	0	0
1	57	3	2	48	16	0	2	0	0	0
1	58	1	2	50	12	5	0	0	0	0
1	58	2	3	245	45	10	15	0	0	0
1	58	3	3	51	6	2	0	0	0	0
1	59	1	2	70	8	2	5	0	0	0
1	59	2	3	282	30	8	24	1	0	0
1	59	3	1	43	15	0	1	0	0	0
1	60	1	2	57	10	2	2	0	0	0
