	Opolska - Pradnicka Junction, 23 K-48 - 24

0	Pradnicka - 24031, 31024

1	Opolska - 24022, 22024

3	Opolska Mackiewicza - 24025, 25024


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	4	22	2	0	0	0	0	0
0	55	3	6	82	6	3	0	0	0	0
0	56	1	1	37	2	0	0	0	0	0
0	56	3	9	86	12	3	0	0	1	0
0	57	1	0	28	1	1	0	0	0	0
0	57	3	6	75	5	3	0	0	0	0
0	58	1	0	23	5	0	0	0	0	0
0	58	3	6	87	5	3	0	1	0	0
0	59	1	2	35	6	2	0	0	0	0
0	59	3	9	86	13	3	0	0	0	0
0	60	1	1	40	6	1	0	0	0	0
0	60	3	3	89	10	1	0	0	1	0
0	61	1	0	50	5	0	0	0	0	0
0	61	3	5	90	10	0	0	0	0	0
0	62	1	0	37	2	1	0	0	0	0
0	62	3	5	83	6	3	0	1	0	0
0	63	1	0	40	1	1	0	0	0	0
0	63	3	5	85	8	2	0	0	1	0
0	64	1	4	30	4	0	0	0	1	0
0	64	3	7	87	6	3	0	0	0	0
0	65	1	2	25	6	1	0	1	0	0
0	65	3	6	80	8	3	0	1	0	0
0	66	1	0	35	5	0	0	0	0	0
0	66	3	6	82	5	1	0	0	0	0
1	55	2	8	255	40	17	15	0	0	0
1	55	3	5	14	7	0	1	0	0	0
1	56	2	5	287	43	12	30	0	0	0
1	56	3	4	18	4	0	1	0	1	0
1	57	2	3	268	10	18	0	1	0	0
1	57	3	4	15	5	0	0	1	0	0
1	58	2	4	250	10	18	0	0	0	0
1	58	3	2	22	7	1	0	0	0	0
1	59	2	8	280	92	9	13	1	0	0
1	59	3	3	20	3	1	0	1	0	0
1	60	2	4	262	50	13	13	0	1	0
1	60	3	2	22	12	2	1	1	0	0
1	61	2	8	268	45	9	14	0	0	0
1	61	3	4	17	5	0	0	0	0	0
1	62	2	5	335	57	7	13	1	3	0
1	62	3	4	25	6	1	1	0	0	0
1	63	2	3	287	53	7	4	0	0	0
1	63	3	2	23	5	0	0	0	0	0
1	64	2	6	298	44	2	18	2	0	0
1	64	3	3	19	4	0	0	1	0	0
1	65	2	5	314	43	5	14	0	0	0
1	65	3	3	30	5	1	0	0	0	0
1	66	2	4	291	43	8	11	0	0	0
1	66	3	4	21	3	0	1	0	0	0
3	55	1	6	73	8	5	1	1	0	0
3	55	2	5	356	62	27	17	1	1	0
3	56	1	5	49	5	2	0	0	0	0
3	56	2	6	264	52	12	24	0	3	0
3	57	1	4	56	10	1	0	0	0	0
3	57	2	3	428	58	10	34	0	1	0
3	58	1	4	66	4	1	0	0	0	0
3	58	2	4	376	58	15	23	1	1	0
3	59	1	6	82	13	0	0	0	0	0
3	59	2	4	377	45	17	20	0	4	0
3	60	1	5	98	12	0	1	0	0	0
3	60	2	6	341	41	13	19	0	1	0
3	61	1	8	90	8	0	0	0	0	0
3	61	2	3	389	43	12	19	0	0	0
3	62	1	6	82	4	1	0	0	0	0
3	62	2	4	392	32	14	11	1	5	0
3	63	1	5	77	4	0	0	0	1	0
3	63	2	7	393	42	19	28	3	4	0
3	64	1	5	74	7	1	0	0	0	0
3	64	2	4	369	29	18	18	0	1	0
3	65	1	5	81	8	0	0	0	0	0
3	65	2	2	339	23	343	16	0	1	0
3	66	1	6	77	7	0	0	0	0	0
3	66	2	3	0	28	16	19	0	0	0
