	Podbipiety - Klasztorna Junction, H56-04.INT - 132									

0	Most Wandy - 132131, 131132									

1	Longina Podbipiety - 132133, 133132									

2	Klasztorna - 132170, 170132									

3	Longina Podbipiety - 132134, 134132									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	9	4	0	0	0	0	0
0	55	2	2	49	13	5	0	0	0	0
0	55	3	0	12	3	8	1	0	0	0
0	56	1	1	8	3	1	2	0	0	0
0	56	2	0	27	7	3	0	0	0	0
0	56	3	0	10	13	2	4	0	1	0
0	57	1	0	4	6	2	1	0	0	0
0	57	2	1	39	13	8	1	0	0	0
0	57	3	0	16	6	4	5	0	0	0
0	58	1	0	8	3	1	0	0	0	0
0	58	2	2	54	9	1	0	0	2	0
0	58	3	1	11	14	5	2	0	0	0
0	59	1	0	6	5	1	0	0	1	0
0	59	2	2	43	12	3	0	0	1	0
0	59	3	2	8	7	0	2	0	0	0
0	60	1	1	5	3	0	0	0	0	0
0	60	2	1	33	5	2	0	0	0	0
0	60	3	0	8	6	3	1	0	0	0
0	61	1	1	8	3	2	0	0	0	0
0	61	2	1	52	7	2	0	1	1	0
0	61	3	0	9	4	2	3	1	0	0
0	62	1	1	7	6	2	1	0	0	0
0	62	2	1	44	18	4	0	0	0	0
0	62	3	0	12	5	3	1	0	0	0
0	63	1	1	3	1	0	0	0	0	0
0	63	2	0	44	11	1	0	0	1	0
0	63	3	0	7	4	2	1	0	0	0
0	64	1	0	8	2	1	0	0	0	0
0	64	2	1	35	17	3	0	1	0	0
0	64	3	0	12	8	4	2	0	0	0
0	65	1	1	9	3	2	0	0	1	0
0	65	2	1	33	12	4	1	0	2	0
0	65	3	0	11	5	3	3	0	1	0
0	66	1	1	13	3	1	0	0	0	0
0	66	2	1	27	16	6	0	0	1	0
0	66	3	0	17	8	1	2	0	0	0
1	55	1	1	8	2	0	0	0	0	0
1	55	2	0	1	2	1	0	0	0	0
1	55	3	2	12	0	3	0	0	0	0
1	56	1	1	7	1	0	0	0	0	0
1	56	2	0	5	0	7	0	0	0	0
1	56	3	0	9	0	0	1	0	0	0
1	57	1	0	9	1	0	0	0	0	0
1	57	2	0	5	0	6	1	0	0	0
1	57	3	1	15	1	1	0	0	0	0
1	58	1	3	10	2	0	0	0	0	0
1	58	2	0	4	1	6	1	0	0	0
1	58	3	1	12	2	1	0	0	0	0
1	59	1	1	12	4	0	0	0	1	0
1	59	2	0	1	1	1	0	0	0	0
1	59	3	1	10	0	0	0	0	0	0
1	60	1	2	14	0	0	0	0	0	0
1	60	2	0	4	2	2	0	0	0	0
1	60	3	1	9	1	0	0	0	0	0
1	61	1	1	21	1	0	0	0	0	0
1	61	2	0	9	0	3	0	0	0	0
1	61	3	1	15	6	1	0	0	0	0
1	62	1	2	23	1	0	0	0	0	0
1	62	2	0	2	0	2	0	0	0	0
1	62	3	2	8	4	1	0	0	0	0
1	63	1	2	12	2	0	0	0	0	0
1	63	2	0	3	0	0	0	0	0	0
1	63	3	0	7	3	1	0	0	0	0
1	64	1	0	15	2	0	0	0	0	0
1	64	2	0	9	1	7	0	0	0	0
1	64	3	2	9	3	0	0	0	0	0
1	65	1	1	12	1	0	0	0	1	0
1	65	2	0	5	4	2	0	0	0	0
1	65	3	1	11	3	1	0	0	0	0
1	66	1	1	8	3	0	0	0	0	0
1	66	2	0	6	1	3	0	0	0	0
1	66	3	1	10	4	1	0	0	0	0
2	55	1	0	1	0	0	0	0	0	0
2	55	2	0	48	10	0	0	0	0	0
2	55	3	2	6	3	0	0	0	0	0
2	56	1	0	1	0	0	0	0	0	0
2	56	2	0	44	11	1	0	0	0	0
2	56	3	2	6	2	0	0	0	0	0
2	57	1	0	1	0	0	0	0	0	0
2	57	2	0	35	13	0	0	0	0	0
2	57	3	1	9	0	0	0	0	0	0
2	58	1	0	1	0	0	0	0	0	0
2	58	2	0	56	11	1	0	0	1	0
2	58	3	1	10	1	1	0	0	1	0
2	59	1	0	1	0	0	0	0	0	0
2	59	2	0	47	10	1	0	0	1	0
2	59	3	2	12	1	0	0	0	0	0
2	60	1	0	1	0	0	0	0	0	0
2	60	2	2	46	15	0	0	0	0	0
