	Pokoju - Centralna Junction, 34 H-4 - 147

0	Centralna - 147148, 148147

1	Pokoju Nowohucka - 147146, 146147

2	Galczynskiego - 147149, 149147

3	Pokoju Bienczycka - 147153, 153147


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	3	2	38	6	1	0	0	0	0
0	56	3	1	35	5	2	0	0	0	0
0	57	3	1	65	7	1	0	0	0	0
0	58	3	2	67	8	3	0	0	0	0
0	59	3	1	75	9	3	0	0	0	0
0	60	3	1	78	11	2	0	0	0	0
0	61	3	2	75	12	4	1	0	0	0
0	62	3	0	83	10	5	1	0	0	0
0	63	3	1	73	12	3	1	0	0	0
0	64	3	1	76	5	2	1	0	0	0
0	65	3	0	40	6	1	0	0	0	0
0	66	3	0	33	0	0	0	0	0	0
1	55	2	1	241	10	0	0	2	0	0
1	55	3	0	4	2	0	0	0	2	0
1	56	2	2	253	16	14	1	0	0	0
1	56	3	1	17	6	0	0	0	0	0
1	57	2	2	256	35	11	4	0	0	0
1	57	3	0	27	12	4	0	0	0	0
1	58	2	2	249	35	15	5	0	0	0
1	58	3	1	32	8	7	1	0	1	0
1	59	2	4	257	28	10	3	0	0	0
1	59	3	1	50	9	4	1	0	0	0
1	60	2	3	256	27	8	3	0	0	0
1	60	3	0	59	3	3	1	0	1	0
1	61	2	3	245	32	5	1	0	0	0
1	61	3	1	25	3	0	0	0	0	0
1	62	2	4	302	30	7	4	0	1	0
1	62	3	1	35	18	2	1	0	0	0
1	63	2	3	291	25	3	2	0	0	0
1	63	3	0	37	8	1	0	0	0	0
1	64	2	5	302	28	8	3	0	0	0
1	64	3	2	35	2	4	2	0	0	0
1	65	2	3	245	23	6	3	0	1	0
1	65	3	0	15	7	2	1	0	0	0
1	66	2	2	227	26	5	2	0	0	0
1	66	3	3	24	6	0	0	0	0	0
2	55	3	0	5	1	0	0	0	0	0
2	56	3	0	7	2	0	0	0	0	0
2	57	3	0	7	1	0	0	0	1	0
2	58	3	0	11	3	0	0	0	0	0
2	59	3	0	8	0	0	0	0	0	0
2	60	3	0	5	0	0	0	0	0	0
2	61	3	0	4	1	0	0	0	0	0
2	62	3	0	7	0	0	0	0	0	0
2	63	3	0	7	2	0	0	0	0	0
2	64	3	0	10	1	0	0	0	0	0
2	65	3	0	5	1	0	0	0	0	0
2	66	3	0	8	3	0	0	0	0	0
3	55	2	2	252	31	16	0	0	0	0
3	55	3	0	3	1	0	0	0	1	0
3	56	2	6	276	28	3	1	0	0	0
3	56	3	0	3	3	0	0	0	0	0
3	57	2	3	239	27	18	0	0	0	0
3	57	3	0	1	2	0	0	0	0	0
3	58	2	2	301	34	11	0	0	0	0
3	58	3	0	7	3	0	0	0	0	0
3	59	2	4	251	33	13	1	0	0	0
3	59	3	0	3	6	0	0	0	0	0
3	60	2	3	296	27	22	0	0	0	0
3	60	3	0	6	2	0	0	0	0	0
3	61	2	2	258	33	22	0	0	0	0
3	61	3	0	7	2	0	0	0	0	0
3	62	2	3	316	41	24	0	0	0	0
3	62	3	0	3	6	0	0	0	0	0
3	63	2	3	262	34	22	2	0	0	0
3	63	3	0	7	3	0	0	0	0	0
3	64	2	2	265	43	27	0	0	1	0
3	64	3	0	7	1	0	0	0	0	0
3	65	2	2	234	31	17	2	0	0	0
3	65	3	0	6	1	0	0	0	0	0
3	66	2	3	245	36	21	1	0	0	0
3	66	3	0	3	4	0	0	0	0	0
