	Pradnicka - Zdrowa Junction, K68.INT - 31

0	Pradnicka Pielegniarek - 31032, 32031

1	Fieldorfa Nila - 31030, 30031

2	Pradnicka Opolska - 31024, 24031

3	Zdrowa - 31029, 29031


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	14	2	0	0	0	0	0
0	55	2	6	68	14	0	0	1	0	0
0	55	3	0	19	1	0	0	0	0	0
0	56	1	0	11	1	0	0	0	0	0
0	56	2	6	89	14	1	1	0	2	0
0	56	3	0	24	3	0	0	0	0	0
0	57	1	0	11	0	0	0	0	0	0
0	57	2	4	100	16	3	0	0	2	0
0	57	3	0	30	3	0	0	0	0	0
0	58	1	0	8	0	0	0	0	0	0
0	58	2	7	110	12	1	0	1	2	0
0	58	3	1	23	6	0	0	0	0	0
0	59	1	0	11	0	0	0	0	0	0
0	59	2	8	125	11	0	0	0	2	0
0	59	3	0	26	0	0	0	0	0	0
0	60	1	0	7	6	0	0	0	0	0
0	60	2	5	125	11	0	0	0	0	0
0	60	3	0	30	4	0	0	0	0	0
0	61	1	0	6	3	0	0	0	0	0
0	61	2	9	135	15	2	0	0	3	0
0	61	3	0	26	1	0	0	0	0	0
0	62	1	0	7	0	0	0	0	0	0
0	62	2	3	135	10	1	0	0	2	0
0	62	3	0	9	18	0	0	0	0	0
0	63	1	0	13	1	0	0	0	0	0
0	63	2	6	155	15	1	0	1	2	0
0	63	3	0	27	4	0	0	0	0	0
0	64	1	0	6	1	0	0	0	0	0
0	64	2	9	150	15	1	0	1	2	0
0	64	3	0	21	5	0	0	0	0	0
0	65	1	0	2	0	2	0	0	0	0
0	65	2	9	115	5	1	0	0	2	0
0	65	3	0	14	3	0	0	0	3	0
0	66	1	0	5	0	0	0	0	0	0
0	66	2	4	105	10	0	0	0	0	0
0	66	3	0	18	2	0	0	0	0	0
1	55	1	1	25	0	2	0	0	0	0
1	55	2	0	17	6	0	0	0	0	0
1	55	3	0	11	2	1	0	0	0	0
1	56	1	1	37	2	3	0	0	0	0
1	56	2	0	20	0	0	0	0	0	0
1	56	3	0	8	0	0	0	0	0	0
1	57	1	1	30	4	1	0	0	0	0
1	57	2	0	24	1	1	0	0	0	0
1	57	3	0	16	1	0	0	0	0	0
1	58	1	1	44	3	3	1	0	0	0
1	58	2	0	27	3	0	0	0	0	0
1	58	3	0	16	1	0	0	0	0	0
1	59	1	1	29	3	2	0	0	0	0
1	59	2	0	19	1	0	0	0	3	0
1	59	3	0	7	1	0	0	0	0	0
1	60	1	1	35	3	2	0	0	0	0
1	60	2	0	20	4	0	0	0	1	0
1	60	3	0	8	1	0	0	0	0	0
1	61	1	1	41	3	3	0	0	0	0
1	61	2	0	33	2	0	0	0	0	0
1	61	3	0	18	2	0	0	0	0	0
