	Prazmowskiego - Brodowicza Junction - Brodowicza, S70-04.INT - 119									

0	Beliny Prazmowskiego - 119116, 116119									

2	Beliny Prazmowskiego Grochowska - 119121, 121119									

3	Brodowicza - 119120, 120119									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	2	2	140	22	8	0	1	1	0
0	55	3	6	99	16	0	0	1	3	0
0	56	2	2	97	22	4	0	0	2	0
0	56	3	6	103	9	0	0	0	5	0
0	57	2	2	125	21	7	0	1	1	0
0	57	3	6	107	10	0	0	1	3	0
0	58	2	4	141	18	2	0	0	2	0
0	58	3	4	113	18	0	0	0	3	0
0	59	2	2	129	12	6	0	0	1	0
0	59	3	6	115	7	0	0	0	3	0
0	60	2	2	119	15	5	0	0	1	0
0	60	3	8	115	7	3	0	0	3	0
0	61	2	5	118	21	3	0	0	0	0
0	61	3	6	102	14	1	0	0	3	0
0	62	2	2	97	15	5	0	0	0	0
0	62	3	6	131	16	1	0	0	1	0
0	63	2	2	104	15	6	0	0	0	0
0	63	3	8	103	17	3	0	0	7	0
0	64	2	2	101	16	6	1	0	1	0
0	64	3	9	140	5	0	1	5	0	0
0	65	2	2	105	19	4	0	0	1	0
0	65	3	6	164	2	0	1	3	0	0
0	66	2	3	112	15	3	0	1	1	0
0	66	3	7	155	15	1	0	0	2	0
2	55	1	1	18	4	0	0	0	0	0
2	56	1	1	21	3	0	0	0	0	0
2	57	1	1	19	3	1	0	0	0	0
2	58	1	0	19	3	1	0	0	0	0
2	59	1	1	20	2	1	0	0	0	0
2	60	1	1	23	4	1	0	0	0	0
2	61	1	0	23	5	0	0	0	0	0
2	62	1	1	20	3	0	0	0	0	0
2	63	1	1	10	1	0	0	0	0	0
2	64	1	1	18	2	0	0	0	0	0
2	65	1	0	23	4	0	0	0	1	0
2	66	1	1	24	4	0	0	0	0	0
2	55	2	2	70	14	1	1	0	0	0
2	56	2	3	84	13	0	1	0	1	0
2	57	2	2	76	14	3	1	1	0	0
2	58	2	2	77	13	3	1	1	0	0
2	59	2	3	82	9	3	1	2	1	0
2	60	2	2	92	15	2	1	0	0	0
2	61	2	2	94	22	1	0	0	0	0
2	62	2	2	82	14	0	0	0	0	0
2	63	2	2	41	6	0	0	0	1	0
2	64	2	3	74	7	2	0	0	0	0
2	65	2	2	93	15	0	1	0	2	0
2	66	2	3	98	16	0	2	1	2	0
3	55	1	7	84	10	2	0	0	2	0
3	55	3	0	9	1	0	0	0	0	0
3	56	1	6	73	8	0	0	0	3	0
3	56	3	0	5	1	0	0	0	0	0
3	57	1	8	81	11	0	0	0	0	0
3	57	3	0	8	3	0	0	0	1	0
3	58	1	5	79	9	0	0	0	0	0
3	58	3	0	4	0	0	0	0	0	0
3	59	1	6	82	14	0	0	0	2	0
3	59	3	0	7	0	0	0	0	0	0
3	60	1	8	96	16	2	0	0	0	0
3	60	3	0	6	1	0	0	0	0	0
3	61	1	7	87	11	1	0	1	0	0
3	61	3	0	4	1	0	0	0	1	0
3	62	1	6	85	7	1	0	2	0	0
3	62	3	0	9	3	0	0	0	0	0
3	63	1	5	67	8	0	0	0	2	0
3	63	3	0	6	2	0	0	0	0	0
3	64	1	9	54	8	1	0	0	0	0
3	64	3	0	8	3	0	0	0	0	0
3	65	1	7	56	5	0	0	0	2	0
3	65	3	0	7	1	0	0	0	0	0
3	66	1	5	60	8	1	0	2	0	0
3	66	3	0	8	3	0	0	1	3	0
