	Rayskiego Junction, 32 H-53, 32 H-53a - 150

0	Nowohucka - 150146, 146150

1	Jana Pawla II Mogilska - 150144, 144150

2	Stella Sawickiego - 150151, 151150

3	Jana Pawla II Pokoju - 150152, 152150


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	29	1	1	0	0	0	0
0	55	2	2	141	23	13	2	0	1	0
0	55	3	0	21	0	0	0	0	0	0
0	56	1	0	39	1	1	1	0	0	0
0	56	2	1	142	22	6	0	0	0	0
0	56	3	0	19	1	0	0	0	0	0
0	57	1	0	38	8	0	4	0	1	0
0	57	2	0	168	18	13	2	0	1	0
0	57	3	0	18	0	0	0	0	1	0
0	58	1	0	37	3	1	1	0	0	0
0	58	2	3	180	19	8	2	0	1	0
0	58	3	0	15	0	0	0	0	1	0
0	59	1	0	39	1	0	1	0	0	0
0	59	2	1	171	28	11	1	0	1	0
0	59	3	0	9	1	0	0	0	0	0
0	60	1	0	34	3	1	2	0	0	0
0	60	2	1	183	28	12	0	0	1	0
0	60	3	0	8	0	0	0	0	0	0
0	61	1	0	53	3	1	0	0	0	0
0	61	2	0	194	17	6	1	0	0	0
0	61	3	0	9	0	1	0	0	0	0
0	62	1	0	38	3	1	0	0	0	0
0	62	2	0	210	19	12	0	0	0	0
0	62	3	0	11	0	0	0	0	0	0
0	63	1	4	44	3	1	1	0	0	0
0	63	2	0	180	19	14	0	0	2	0
0	63	3	0	12	0	0	0	0	0	0
0	64	1	0	40	2	0	0	0	0	0
0	64	2	0	199	22	10	1	0	1	0
0	64	3	0	17	2	0	0	0	0	0
0	65	1	1	35	1	1	0	0	1	0
0	65	2	1	203	17	9	0	0	1	0
0	65	3	0	13	0	0	0	0	0	0
0	66	1	0	23	1	0	0	0	0	0
0	66	2	0	180	8	6	1	1	0	0
0	66	3	0	13	1	0	0	0	0	0
1	55	1	2	72	9	2	0	0	0	0
1	55	2	0	123	16	1	1	0	2	0
1	55	3	0	44	9	1	0	0	0	0
1	56	1	3	70	7	3	0	0	1	0
1	56	2	7	115	15	2	0	0	3	0
1	56	3	1	40	6	0	0	0	0	0
1	57	1	5	60	2	2	0	1	0	0
1	57	2	1	125	13	4	0	0	1	0
1	57	3	0	61	10	4	0	0	0	0
1	58	1	3	74	13	0	0	0	0	0
1	58	2	0	125	18	3	1	0	0	0
1	58	3	6	41	3	3	0	0	0	0
1	59	1	2	70	15	6	0	0	0	0
1	59	2	1	87	8	3	2	0	3	0
1	59	3	0	40	10	1	0	0	0	0
1	60	1	7	125	26	0	1	1	0	0
1	60	2	0	116	19	5	1	0	1	0
1	60	3	0	51	4	2	0	0	0	0
1	61	1	2	115	17	3	0	2	2	0
1	61	2	0	144	18	2	0	0	2	0
1	61	3	0	37	4	2	0	0	0	0
1	62	1	6	120	65	6	0	0	0	0
1	62	2	1	130	5	0	0	0	1	0
1	62	3	2	56	6	1	0	0	0	0
1	63	1	5	128	30	4	0	0	0	0
1	63	2	2	136	25	1	1	0	1	0
1	63	3	0	46	3	1	0	0	0	0
1	64	1	3	110	37	5	0	0	0	0
1	64	2	0	130	21	2	0	0	0	0
1	64	3	0	58	5	2	0	0	0	0
1	65	1	6	120	20	2	0	0	0	0
1	65	2	1	141	25	2	6	0	0	0
1	65	3	0	29	3	1	0	0	0	0
1	66	1	5	121	33	7	0	0	0	0
1	66	2	0	115	48	5	10	0	0	0
1	66	3	1	40	4	3	0	0	0	0
2	55	1	2	33	1	3	0	0	0	0
2	55	2	1	142	15	6	3	0	0	0
2	55	3	2	27	7	0	0	0	0	0
2	56	1	3	15	1	3	0	0	1	0
2	56	2	0	194	23	18	2	0	2	0
2	56	3	0	33	3	3	1	0	0	0
2	57	1	5	19	5	4	0	0	0	0
2	57	2	2	172	12	7	4	1	0	0
2	57	3	1	40	6	0	0	1	0	0
2	58	1	3	20	9	0	1	0	0	0
2	58	2	0	192	13	4	2	0	3	0
2	58	3	0	39	1	0	0	0	1	0
2	59	1	2	21	0	1	1	0	0	0
2	59	2	2	214	17	14	4	1	2	0
2	59	3	0	37	2	2	1	0	0	0
2	60	1	5	30	5	2	1	0	1	0
2	60	2	0	193	17	15	7	0	0	0
2	60	3	1	25	1	0	1	0	1	0
2	61	1	2	22	4	2	0	0	0	0
2	61	2	1	187	15	7	3	0	0	0
2	61	3	0	34	5	0	0	0	0	0
2	62	1	5	27	5	1	0	0	0	0
2	62	2	1	190	17	5	2	0	2	0
2	62	3	0	23	2	0	0	0	1	0
2	63	1	3	28	6	3	1	0	1	0
2	63	2	0	180	22	9	3	1	4	0
2	63	3	0	37	3	0	0	0	2	0
2	64	1	2	30	3	4	1	0	0	0
2	64	2	1	195	10	12	3	2	3	0
2	64	3	0	37	4	0	0	0	2	0
2	65	1	3	40	5	2	2	0	0	0
2	65	2	1	195	15	5	2	0	1	0
2	65	3	0	43	1	1	0	0	3	0
2	66	1	3	26	1	1	0	0	0	0
2	66	2	0	185	10	7	2	0	0	0
2	66	3	0	22	0	0	0	0	0	0
3	55	1	0	38	2	0	0	0	0	0
3	55	2	8	117	16	3	1	0	1	0
3	55	3	0	18	2	0	0	0	0	0
3	56	1	0	27	3	0	0	0	0	0
3	56	2	6	127	14	3	0	0	0	0
3	56	3	1	25	3	2	2	1	0	0
3	57	1	0	37	7	1	0	0	0	0
3	57	2	7	136	13	5	2	1	0	0
3	57	3	2	26	1	3	0	1	0	0
3	58	1	0	44	4	1	0	0	0	0
3	58	2	5	127	9	6	1	0	0	0
3	58	3	1	36	4	0	1	0	0	0
3	59	1	0	50	2	0	0	0	0	0
3	59	2	3	125	14	1	0	0	3	0
3	59	3	0	24	3	1	0	0	0	0
3	60	1	0	41	2	0	0	0	0	0
3	60	2	11	127	14	0	1	0	1	0
3	60	3	0	28	6	0	0	0	0	0
3	61	1	0	47	0	0	0	0	0	0
3	61	2	4	165	6	0	0	0	0	0
3	61	3	0	41	6	5	2	0	0	0
3	62	1	0	49	1	0	0	0	0	0
3	62	2	3	138	16	3	1	1	0	0
3	62	3	1	26	5	1	3	0	0	0
3	63	1	0	31	3	0	0	0	0	0
3	63	2	3	134	11	2	0	0	4	0
3	63	3	0	27	4	0	1	0	0	0
3	64	1	0	39	3	0	0	0	0	0
3	64	2	2	110	17	3	0	0	2	0
3	64	3	0	21	2	3	1	0	0	0
3	65	1	0	32	1	0	1	0	0	0
3	65	2	4	146	9	0	1	0	0	0
3	65	3	1	33	5	0	2	0	0	0
3	66	1	0	32	2	0	1	0	0	0
3	66	2	1	109	10	2	1	0	1	0
3	66	3	0	24	3	1	0	0	0	0
