	Sawickiego - Florera Junction, H48-04.INT - 156									

0	Stella Sawickiego Nowohucka - 156151, 151156									

1	Florera - 156158, 158156									

2	Stella Sawickiego Bora Komorowskiego - 156159, 159156									

3	Florera - 156157, 157156									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	2	0	0	0	0	0	0
0	55	2	3	162	16	5	5	0	0	0
0	55	3	0	6	2	0	0	0	0	0
0	56	1	0	1	1	0	0	0	0	0
0	56	2	4	164	23	9	10	0	0	0
0	56	3	0	12	0	0	0	0	0	0
0	57	1	0	3	0	0	0	0	0	0
0	57	2	3	199	20	6	10	0	0	0
0	57	3	0	8	1	0	0	0	0	0
0	58	1	0	1	2	0	0	0	0	0
0	58	2	2	195	18	12	6	0	0	0
0	58	3	0	15	3	0	0	0	0	0
0	59	1	0	2	0	1	0	0	0	0
0	59	2	2	194	16	7	5	1	0	0
0	59	3	0	11	2	0	0	0	0	0
0	60	1	0	5	0	0	0	0	0	0
0	60	2	5	205	22	6	6	0	0	0
0	60	3	0	17	1	1	0	0	0	0
0	61	1	0	0	1	0	0	0	0	0
0	61	2	3	209	19	6	6	0	0	0
0	61	3	0	17	1	1	0	0	0	0
0	62	1	0	2	0	2	0	0	0	0
0	62	2	4	239	13	6	6	0	0	0
0	62	3	0	22	1	0	0	0	0	0
0	63	1	0	2	0	0	0	0	0	0
0	63	2	5	197	16	12	8	0	1	0
0	63	3	0	25	3	0	0	0	0	0
0	64	1	0	0	0	3	0	0	0	0
0	64	2	3	185	21	3	9	0	0	0
0	64	3	0	28	2	0	0	0	0	0
0	65	1	0	1	0	2	0	0	0	0
0	65	2	5	209	15	4	8	0	0	0
0	65	3	0	21	0	0	0	0	0	0
0	66	1	0	1	0	1	0	0	0	0
0	66	2	4	193	17	9	6	0	0	0
0	66	3	0	31	0	0	0	0	0	0
1	55	1	0	5	1	0	0	0	0	0
1	55	2	0	3	0	0	0	0	1	0
