	Skotnicka - Babinskiego Junction, P49-04.INT - 68									

0	Skotnicka - 68070, 70068									

1	Kozienicka - 68071, 71068									

2	Skotnicka Winnicka - 68069, 69068									

3	Babinskiego - 68067, 67068									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	0	1	0	0	0	0	0
0	55	2	0	1	2	0	0	0	0	0
0	55	3	0	30	8	1	0	0	0	0
0	56	1	0	1	0	0	0	0	0	0
0	56	2	0	2	3	1	0	0	0	0
0	56	3	2	50	17	4	0	0	0	0
0	57	1	0	1	0	0	0	0	0	0
0	57	2	0	5	3	0	0	0	0	0
0	57	3	5	68	18	10	0	1	0	0
0	58	1	0	1	0	0	0	0	0	0
0	58	2	0	5	1	0	0	0	0	0
0	58	3	3	98	14	8	1	1	0	0
0	59	1	0	4	0	0	0	0	0	0
0	59	2	0	9	0	0	0	0	0	0
0	59	3	3	59	27	10	0	0	0	0
0	60	1	0	0	1	0	0	0	0	0
0	60	2	0	5	2	0	0	0	0	0
0	60	3	2	85	22	6	0	0	0	0
0	61	1	0	1	0	0	0	0	0	0
0	61	2	0	1	0	0	0	0	0	0
0	61	3	7	65	15	5	0	0	0	0
0	62	1	0	1	0	0	0	0	0	0
0	62	2	0	3	0	0	0	0	0	0
0	62	3	2	63	15	10	1	0	0	0
0	63	1	0	1	0	0	0	0	0	0
0	63	2	0	0	1	0	0	0	0	0
0	63	3	5	65	18	6	0	0	0	0
0	64	1	0	1	0	0	0	0	0	0
0	64	2	0	3	0	1	0	0	0	0
0	64	3	3	63	17	6	1	1	0	0
0	65	1	0	1	0	0	0	0	0	0
0	65	2	0	1	0	0	0	0	0	0
0	65	3	1	55	16	7	0	1	1	0
0	66	1	0	1	0	0	0	0	0	0
0	66	2	0	2	1	0	0	0	0	0
0	66	3	2	55	15	7	1	1	0	0
1	55	1	0	1	0	0	0	0	1	0
1	55	2	1	3	1	0	0	0	0	0
1	55	3	0	2	1	0	0	0	0	0
1	56	1	0	0	0	0	0	0	1	0
1	56	2	0	4	0	0	0	0	0	0
1	56	3	0	2	0	0	0	0	0	0
1	57	1	0	2	0	0	0	0	0	0
1	57	2	0	6	0	0	0	0	0	0
1	57	3	0	1	0	0	0	0	0	0
1	58	1	0	0	1	0	0	0	0	0
1	58	2	0	3	1	0	0	0	0	0
1	58	3	0	2	0	0	0	0	0	0
1	59	1	0	2	0	0	0	0	0	0
1	59	2	0	1	1	0	0	0	0	0
1	59	3	0	0	2	0	0	0	0	0
1	60	1	0	5	0	0	0	0	2	0
1	60	2	0	5	1	0	0	0	1	0
1	60	3	0	2	1	0	0	0	0	0
1	61	1	1	1	0	0	0	0	0	0
1	61	2	9	0	0	0	0	1	0	0
1	61	3	0	1	0	1	0	0	0	0
1	62	1	0	1	0	0	0	0	0	0
1	62	2	0	2	0	0	0	0	0	0
1	62	3	0	2	0	0	0	0	0	0
1	63	1	0	1	2	0	0	0	0	0
1	63	2	0	2	0	0	0	0	0	0
1	63	3	0	8	2	0	0	0	0	0
1	64	1	0	1	0	0	0	0	0	0
1	64	2	0	3	0	0	0	0	0	0
1	64	3	0	1	0	0	0	0	0	0
1	65	1	0	1	0	0	0	0	2	0
1	65	2	0	5	3	0	0	0	0	0
1	65	3	0	3	1	0	0	0	1	0
1	66	1	0	1	0	0	0	0	0	0
1	66	2	0	2	0	0	0	0	0	0
1	66	3	0	2	1	1	0	0	0	0
2	55	1	0	4	0	0	0	0	0	0
2	55	2	0	1	0	0	0	0	0	0
2	55	3	0	1	2	0	0	0	0	0
2	56	1	1	6	1	0	1	0	0	0
2	56	2	0	4	2	0	0	0	0	0
2	56	3	0	3	2	0	0	0	0	0
