	Skrzyzowanie 29 Listopada - Zmujdzka, S90-04.INT

0	29 Listopada Wilenska									

1	Zmujdzka									

2	29 Listopada Opolska									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	2	0	46	7	0	0	0	0	0
0	56	2	0	56	2	0	0	1	1	0
0	57	2	0	65	4	0	0	0	0	0
0	58	2	0	39	1	0	0	0	0	0
0	59	2	0	50	1	0	0	1	0	0
0	60	2	0	68	5	0	0	0	0	0
0	61	2	0	49	6	0	0	0	0	0
0	62	2	0	47	0	0	0	0	0	0
0	63	2	0	66	5	0	0	0	0	0
0	64	2	0	59	1	0	0	0	0	0
0	65	2	0	60	3	0	0	0	0	0
0	66	2	0	62	4	0	0	0	0	0
1	55	1	0	27	3	0	0	0	2	0
1	55	3	0	46	3	1	0	0	0	0
1	56	1	1	21	5	1	0	0	0	0
1	56	3	0	30	6	0	0	0	0	0
1	57	1	0	33	4	0	0	0	0	0
1	57	3	0	46	2	1	0	0	0	0
1	58	1	0	35	2	2	0	0	0	0
1	58	3	0	50	6	1	0	0	0	0
1	59	1	0	37	3	0	0	1	0	0
1	59	3	0	33	2	0	0	0	0	0
1	60	1	0	42	1	1	0	0	0	0
1	60	3	0	45	2	0	0	1	0	0
1	61	1	0	32	2	0	0	2	0	0
1	61	3	0	31	1	0	0	0	0	0
1	62	1	0	39	2	0	0	0	0	0
1	62	3	0	40	4	1	0	0	0	0
1	63	1	0	39	2	0	0	0	0	0
1	63	3	0	37	1	0	0	0	0	0
1	64	1	0	46	4	0	0	0	0	0
1	64	3	0	56	6	0	0	0	0	0
1	65	1	0	38	3	0	0	0	0	0
1	65	3	0	52	3	0	0	1	0	0
1	66	1	0	42	4	0	0	0	1	0
1	66	3	0	48	5	0	0	0	0	0
2	55	2	0	30	3	1	0	0	1	0
2	56	2	0	47	4	0	0	0	0	0
2	57	2	0	49	4	0	0	0	0	0
2	58	2	0	54	5	0	0	0	0	0
2	59	2	0	37	6	1	0	0	0	0
2	60	2	0	32	7	1	0	0	1	0
2	61	2	0	34	1	0	0	0	0	0
2	62	2	0	45	3	0	0	0	0	0
2	63	2	0	39	4	0	0	0	0	0
2	64	2	0	57	8	0	0	0	0	0
2	65	2	0	47	5	0	0	0	0	0
2	66	2	0	52	3	2	0	0	0	0
