	Skrzyzowanie Basztowa - Matejki, S12-04.INT									

1	Basztowa Dluga									

3	Matejki									

2	Basztowa Pawia									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	2	3	77	10	0	0	0	0	0
1	56	2	4	81	9	0	0	0	0	0
1	57	2	5	85	10	0	0	0	0	0
1	58	2	4	55	4	1	0	0	0	0
1	59	2	4	81	6	0	0	0	0	0
1	60	2	5	77	7	1	0	0	0	0
1	61	2	4	89	3	1	0	0	0	0
1	62	2	4	71	7	0	0	0	0	0
1	63	2	5	69	6	0	0	1	0	0
1	64	2	3	67	9	2	0	0	0	0
1	65	2	4	80	4	1	0	0	1	0
1	66	2	3	52	2	1	0	0	0	0
2	55	1	2	44	4	0	0	0	0	0
2	55	2	0	13	3	0	0	0	0	0
2	56	1	6	52	3	0	0	0	0	0
2	56	2	0	10	6	0	0	0	1	0
2	57	1	5	72	2	0	0	0	0	0
2	57	2	1	20	3	0	0	0	1	0
2	58	1	3	58	3	0	0	0	0	0
2	58	2	0	17	2	0	0	0	2	0
2	59	1	6	67	9	0	0	0	0	0
2	59	2	0	18	2	0	0	0	0	0
2	60	1	3	64	4	0	0	0	0	0
2	60	2	0	15	1	0	0	0	0	0
2	61	1	7	69	8	2	0	0	0	0
2	61	2	0	17	2	0	0	0	0	0
2	62	1	2	70	3	1	0	1	0	0
2	62	2	0	10	0	0	0	0	0	0
2	63	1	3	59	6	2	0	0	0	0
2	63	2	0	12	1	0	0	0	0	0
2	64	1	4	65	11	1	1	1	0	0
2	64	2	0	8	1	0	0	0	0	0
2	65	1	4	57	5	1	0	0	0	0
2	65	2	0	14	0	0	0	0	1	0
2	66	1	3	60	3	0	0	1	0	0
2	66	2	0	12	0	0	0	0	0	0
3	55	1	3	84	10	0	0	0	0	0
3	55	2	0	58	8	0	0	0	0	0
3	56	1	3	78	12	0	0	0	0	0
3	56	2	1	84	14	0	0	0	0	0
3	57	1	6	57	8	1	0	0	0	0
3	57	2	0	90	13	0	0	0	1	0
3	58	1	4	82	8	1	0	0	0	0
3	58	2	1	81	10	1	0	0	0	0
3	59	1	3	68	10	0	0	0	0	0
3	59	2	1	82	7	0	0	0	0	0
3	60	1	4	51	5	0	0	0	0	0
3	60	2	0	63	7	0	0	0	0	0
3	61	1	2	58	8	0	0	0	0	0
3	61	2	3	95	9	0	0	1	0	0
3	62	1	3	54	12	1	0	0	0	0
3	62	2	1	83	13	0	0	0	0	0
3	63	1	3	64	6	1	0	0	0	0
3	63	2	0	90	9	0	0	0	0	0
3	64	1	3	83	6	0	0	0	1	0
3	64	2	3	102	12	0	0	0	0	0
3	65	1	3	63	9	0	0	0	2	0
3	65	2	0	68	12	0	0	0	1	0
3	66	1	3	67	11	0	0	0	0	0
3	66	2	1	72	11	0	0	0	0	0
