	Skrzyzowanie Kocmyrzowska - Architektow, H46-04.INT									

0	Kocmyrzowska Darwina									

1	Architektow									

2	Kocmyrzowska									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	10	0	1	0	1	0	0
0	55	2	0	65	16	6	0	1	0	0
0	56	1	0	5	1	1	0	0	0	0
0	56	2	2	75	11	4	2	0	0	0
0	57	1	0	2	0	0	0	0	0	0
0	57	2	2	115	22	6	4	1	0	0
0	58	1	0	4	0	0	0	0	0	0
0	58	2	2	82	12	8	1	1	0	0
0	59	1	0	8	1	0	0	0	0	0
0	59	2	2	97	18	7	2	0	0	0
0	60	1	0	9	0	0	0	0	0	0
0	60	2	5	95	14	8	0	0	0	0
0	61	1	0	5	1	0	0	0	0	0
0	61	2	2	128	14	11	1	0	0	0
0	62	1	0	5	0	0	0	0	0	0
0	62	2	4	108	12	3	1	1	0	0
0	63	1	0	5	0	0	0	0	0	0
0	63	2	2	103	17	3	5	0	0	0
0	64	1	0	6	1	0	0	0	0	0
0	64	2	1	111	14	4	0	0	0	0
0	65	1	0	5	0	0	0	0	0	0
0	65	2	1	113	18	4	1	0	0	0
0	66	1	0	5	0	0	0	0	0	0
0	66	2	2	100	9	2	2	0	0	0
1	55	1	0	17	1	1	0	1	0	0
1	55	3	0	18	0	0	0	0	1	0
1	56	1	0	6	3	1	0	0	1	0
1	56	3	0	7	1	0	0	0	0	0
1	57	1	0	9	1	0	0	0	0	0
1	57	3	0	6	4	0	0	0	0	0
1	58	1	0	13	0	0	0	0	0	0
1	58	3	0	12	1	0	0	0	0	0
1	59	1	0	14	0	0	0	0	0	0
1	59	3	0	9	0	0	0	0	0	0
1	60	1	0	11	5	0	0	0	0	0
1	60	3	0	4	0	0	0	0	0	0
1	61	1	0	10	0	0	0	0	0	0
1	61	3	0	7	3	0	0	0	0	0
1	62	1	0	14	0	0	0	0	0	0
1	62	3	0	8	0	0	0	0	0	0
1	63	1	0	28	1	0	0	0	0	0
1	63	3	0	5	1	0	0	0	0	0
1	64	1	0	13	0	0	0	0	2	0
1	64	3	0	8	1	0	0	0	0	0
1	65	1	0	15	0	0	0	0	0	0
1	65	3	0	10	2	0	0	0	0	0
1	66	1	0	17	0	0	0	0	0	0
1	66	3	0	6	0	0	0	0	0	0
2	55	2	2	93	12	6	1	0	2	0
2	55	3	0	3	1	0	0	0	0	0
2	56	2	1	76	10	5	0	0	0	0
2	56	3	0	11	0	0	0	0	1	0
2	57	2	0	72	15	9	0	1	0	0
2	57	3	0	9	2	0	0	0	0	0
2	58	2	3	69	12	5	0	0	0	0
2	58	3	0	16	1	0	0	0	0	0
2	59	2	2	70	10	5	0	1	0	0
2	59	3	0	8	4	0	0	0	0	0
2	60	2	1	75	9	4	1	0	0	0
2	60	3	0	14	0	0	0	0	0	0
2	61	2	1	60	17	4	3	0	0	0
2	61	3	0	15	0	1	0	0	1	0
2	62	2	1	68	15	2	0	0	0	0
2	62	3	0	9	1	0	0	0	0	0
2	63	2	2	69	9	6	0	0	0	0
2	63	3	0	13	0	0	0	0	1	0
2	64	2	2	82	10	2	3	0	0	0
2	64	3	0	12	0	0	0	0	0	0
2	65	2	1	85	12	2	1	0	1	0
2	65	3	0	19	0	0	0	0	1	0
2	66	2	0	75	13	0	0	0	1	0
2	66	3	0	10	1	0	0	0	0	0
