	"Skrzyzowanie Kocmyrzowska - Darwina, H36-04.INT"									

0	Kocmyrzowska Bienczycka									

1	Poleglych w Krzeslawicach									

2	Kocmyrzowska									

3	Darwina Karola									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	3	9	4	0	0	0	1	0
0	55	2	6	104	20	4	3	0	3	0
0	55	3	1	6	1	1	0	0	0	0
0	56	1	6	26	4	0	0	0	1	0
0	56	2	3	93	9	4	2	0	1	0
0	56	3	0	10	4	1	0	0	0	0
0	57	1	2	30	1	0	0	0	0	0
0	57	2	4	137	15	7	4	1	1	0
0	57	3	0	11	1	0	0	0	0	0
0	58	1	6	23	0	1	0	0	0	0
0	58	2	4	106	13	9	1	1	0	0
0	58	3	0	16	0	0	0	0	0	0
0	59	1	4	31	6	0	0	0	0	0
0	59	2	6	129	14	5	2	0	0	0
0	59	3	0	11	5	1	0	0	0	0
0	60	1	3	41	3	0	0	0	0	0
0	60	2	9	123	16	3	0	0	0	0
0	60	3	0	13	3	1	0	0	0	0
0	61	1	5	40	3	0	0	0	0	0
0	61	2	3	140	13	4	1	0	0	0
0	61	3	1	22	3	1	0	1	0	0
0	62	1	6	38	0	2	0	0	0	0
0	62	2	6	131	9	1	1	1	0	0
0	62	3	0	18	3	2	0	0	1	0
0	63	1	1	34	2	0	0	0	0	0
0	63	2	8	124	10	5	3	0	0	0
0	63	3	0	16	2	0	0	0	0	0
0	64	1	4	48	0	0	0	0	0	0
0	64	2	3	114	13	2	0	0	0	0
0	64	3	0	18	3	0	1	0	0	0
0	65	1	2	31	1	0	0	0	0	0
0	65	2	1	137	21	6	0	0	0	0
0	65	3	0	13	1	0	0	0	0	0
0	66	1	3	31	4	0	0	0	0	0
0	66	2	3	115	6	1	1	0	0	0
0	66	3	0	10	2	0	0	0	0	0
1	55	1	1	7	1	0	0	0	0	0
1	55	2	0	1	0	0	0	0	0	0
1	55	3	4	31	2	0	0	0	0	0
1	56	1	0	3	0	0	0	0	0	0
1	56	2	0	4	0	0	0	0	0	0
1	56	3	2	23	1	0	0	0	0	0
1	57	1	1	3	0	0	0	0	0	0
1	57	2	0	2	0	0	0	0	0	0
1	57	3	4	22	3	2	0	0	0	0
1	58	1	0	4	0	0	0	0	0	0
1	58	2	0	2	0	0	0	0	0	0
1	58	3	4	24	4	1	0	0	0	0
1	59	1	1	3	1	0	0	0	0	0
1	59	2	0	1	1	0	0	0	0	0
1	59	3	3	25	0	0	0	0	0	0
1	60	1	1	8	0	1	0	0	0	0
1	60	2	0	8	0	0	0	1	0	0
1	60	3	3	35	2	0	0	0	4	0
1	61	1	0	6	0	0	0	0	0	0
1	61	2	0	3	0	0	0	0	0	0
1	61	3	3	30	1	0	0	0	0	0
1	62	1	1	2	0	0	0	0	0	0
1	62	2	0	3	0	0	0	0	0	0
1	62	3	2	27	2	0	0	0	4	0
1	63	1	0	3	0	0	0	0	0	0
1	63	2	0	4	0	0	0	0	0	0
1	63	3	4	34	0	0	0	0	0	0
1	64	1	1	4	0	0	0	0	0	0
1	64	2	0	5	0	0	0	0	2	0
1	64	3	3	29	1	0	0	0	2	0
1	65	1	1	5	0	0	0	0	0	0
1	65	2	0	3	0	0	0	0	0	0
1	65	3	4	22	2	0	0	0	1	0
1	66	1	0	5	0	0	0	0	0	0
1	66	2	0	1	0	0	0	0	0	0
1	66	3	2	32	0	0	0	0	4	0
2	55	1	0	4	0	0	0	0	0	0
2	55	2	3	110	7	4	1	0	1	0
2	55	3	0	7	0	0	0	0	1	0
2	56	1	0	3	0	0	0	0	0	0
