	Skrzyzowanie Lubicz - Rakowicka, S68-04.INT									

1	Lubicz Pawia									

2	Rakowicka									

3	Lubicz									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	13	4	0	0	0	0	0
1	55	2	5	85	16	1	0	0	0	0
1	55	3	0	1	0	0	0	0	0	0
1	56	1	0	17	3	0	0	0	0	0
1	56	2	8	70	2	0	0	0	0	0
1	56	3	0	2	0	0	0	0	0	0
1	57	1	2	16	2	0	0	0	0	0
1	57	2	3	77	4	0	0	0	0	0
1	57	3	0	5	1	0	0	0	0	0
1	58	1	0	18	4	0	0	0	0	0
1	58	2	8	87	5	0	0	0	2	0
1	58	3	0	7	1	0	0	0	0	0
1	59	1	0	12	2	0	0	0	0	0
1	59	2	8	92	3	1	0	0	2	0
1	59	3	0	11	1	0	0	0	0	0
1	60	1	0	22	9	0	0	0	1	0
1	60	2	4	92	6	1	0	0	0	0
1	60	3	0	7	0	0	0	0	0	0
1	61	1	0	22	3	0	0	0	0	0
1	61	2	7	100	8	0	0	0	0	0
1	61	3	0	8	0	0	0	0	0	0
1	62	1	0	21	2	0	0	0	1	0
1	62	2	8	118	3	1	0	1	0	0
1	62	3	0	5	2	0	0	0	0	0
1	63	1	0	17	7	0	0	1	2	0
1	63	2	5	105	7	0	0	1	0	0
1	63	3	0	17	9	0	0	0	1	0
1	64	1	8	79	6	0	0	1	0	0
1	64	2	0	2	1	0	0	0	0	0
1	64	3	0	9	3	0	0	0	0	0
1	65	1	6	84	4	0	0	0	0	0
1	65	2	0	2	0	0	0	0	0	0
1	65	3	0	13	4	0	0	1	0	0
1	66	1	4	98	6	0	0	0	0	0
1	66	2	0	2	1	0	0	0	0	0
2	55	1	0	8	0	0	0	0	0	0
2	55	2	0	5	0	0	0	0	0	0
2	55	3	0	81	13	0	0	0	0	0
2	56	1	0	12	1	0	0	0	0	0
2	56	2	0	7	2	1	0	0	0	0
2	56	3	0	61	7	0	0	0	0	0
2	57	1	0	19	0	0	0	0	0	0
2	57	2	0	6	1	0	0	0	0	0
2	57	3	0	70	7	1	0	0	0	0
2	58	1	0	11	0	0	0	0	0	0
2	58	2	0	6	3	0	0	0	0	0
2	58	3	0	60	7	0	0	0	0	0
2	59	1	0	6	0	0	0	0	0	0
2	59	2	0	3	0	0	1	0	0	0
2	59	3	0	54	4	0	0	0	1	0
2	60	1	0	5	0	0	0	0	0	0
2	60	2	0	1	0	0	0	0	0	0
2	60	3	0	42	7	0	0	0	0	0
2	61	1	0	2	0	0	0	0	0	0
2	61	2	0	5	3	0	0	0	0	0
2	61	3	1	62	6	0	0	1	1	0
2	62	1	0	8	1	0	0	0	0	0
2	62	2	0	5	2	0	0	0	0	0
2	62	3	0	68	7	0	0	0	0	0
2	63	1	0	8	2	0	0	0	0	0
2	63	2	0	13	3	0	0	0	0	0
2	63	3	0	65	3	0	0	0	0	0
2	64	1	0	6	1	0	0	0	0	0
2	64	2	0	5	3	0	0	0	0	0
2	64	3	0	51	4	0	0	0	1	0
2	65	1	0	7	2	0	0	0	0	0
2	65	2	0	5	1	0	0	0	0	0
2	65	3	0	49	7	1	0	1	0	0
2	66	1	0	9	3	0	0	0	0	0
2	66	2	0	8	1	0	0	0	0	0
2	66	3	0	57	9	0	0	0	2	0
3	55	2	8	116	15	0	0	0	1	0
3	55	3	0	9	3	0	0	0	0	0
3	56	1	0	1	0	0	0	0	0	0
3	56	2	15	110	11	0	0	0	1	0
3	56	3	0	5	0	0	0	0	0	0
3	57	2	16	110	15	0	0	0	1	0
3	57	3	1	4	4	0	0	0	0	0
3	58	2	18	131	5	1	0	0	0	0
3	58	3	0	12	2	0	0	0	0	0
3	59	2	18	92	11	2	0	0	2	0
3	59	3	0	5	1	0	0	0	0	0
3	60	2	14	125	8	0	0	0	0	0
3	60	3	0	9	1	0	0	0	0	0
3	61	2	13	120	10	0	0	0	1	0
3	61	3	0	12	1	0	0	0	0	0
3	62	1	0	1	0	0	0	0	0	0
3	62	2	13	102	13	0	0	0	2	0
3	62	3	0	7	0	0	0	0	0	0
3	63	2	13	93	7	1	0	0	1	0
3	63	3	0	5	1	0	0	0	0	0
3	64	1	0	1	0	0	0	0	0	0
3	64	2	12	17	5	0	0	0	0	0
3	64	3	0	6	0	0	0	0	0	0
3	65	2	12	102	11	1	0	0	0	0
3	65	3	0	3	0	0	0	0	0	0
3	66	2	11	135	9	0	0	0	1	0
3	66	3	0	3	0	0	0	0	0	0
