	Skrzyzowanie Nowohucka - Koszykarska									

0	Koszykarska									

1	Nowohucka Stoczniowcow									

3	Nowohucka Centralna									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	17	4	0	0	0	0	0
0	55	2	0	18	2	1	0	0	0	0
0	56	1	0	21	0	0	0	0	0	0
0	56	2	0	6	0	0	1	0	0	0
0	57	1	0	16	1	0	0	0	0	0
0	57	2	0	15	2	1	0	0	0	0
0	58	1	0	8	2	1	0	0	0	0
0	58	2	0	8	1	1	0	0	0	0
0	59	1	0	20	0	0	0	0	0	0
0	59	2	0	15	1	0	0	0	0	0
0	60	1	0	16	0	0	0	1	0	0
0	60	2	1	10	1	0	0	0	0	0
0	61	1	0	18	3	2	0	0	0	0
0	61	2	0	17	1	0	0	0	0	0
0	62	1	0	12	1	1	0	1	0	0
0	62	2	0	9	0	0	0	0	0	0
0	63	1	0	19	1	1	0	1	3	0
0	63	2	1	14	0	1	0	0	0	0
0	64	1	0	9	1	1	0	1	0	0
0	64	2	1	15	0	1	0	0	0	0
0	65	1	0	13	3	0	0	0	0	0
0	65	2	0	12	0	0	0	0	0	0
0	66	1	0	13	0	0	0	0	0	0
0	66	2	0	8	0	0	0	0	0	0
1	55	1	6	129	26	18	12	0	0	0
1	55	2	0	13	4	0	0	0	0	0
1	56	1	4	149	46	18	10	0	0	0
1	56	2	0	15	2	0	0	0	0	0
1	57	1	4	124	43	19	9	2	0	0
1	57	2	0	18	0	0	0	0	0	0
1	58	1	3	153	36	14	9	0	0	0
1	58	2	0	14	2	0	0	0	0	0
1	59	1	2	138	32	12	10	1	4	0
1	59	2	0	21	1	0	0	0	0	0
1	60	1	4	114	34	9	14	1	0	0
1	60	2	2	14	1	0	0	0	0	0
1	61	1	6	158	35	9	10	2	0	0
1	61	2	0	12	1	0	0	3	0	0
1	62	1	3	169	25	8	1	7	0	1
1	62	2	0	14	0	0	0	0	0	0
1	63	1	1	149	41	14	5	2	0	0
1	63	2	0	20	2	1	0	0	0	0
1	64	1	6	140	29	7	15	0	0	0
1	64	2	0	13	0	1	0	0	0	0
1	65	1	5	151	24	14	5	0	0	0
1	65	2	0	10	2	0	0	0	0	0
1	66	1	2	159	11	5	5	1	1	0
1	66	2	0	9	0	0	0	0	0	0
3	55	1	0	10	0	0	0	0	0	0
3	55	2	1	204	30	11	1	1	0	0
3	56	1	0	8	5	0	0	0	0	0
3	56	2	2	236	34	7	1	0	0	0
3	57	1	0	13	4	0	0	1	0	0
3	57	2	2	231	52	4	0	0	0	0
3	58	1	0	14	0	0	0	0	0	0
3	58	2	2	239	32	8	3	0	1	0
3	59	1	0	11	0	0	0	0	0	0
3	59	2	5	193	17	19	12	1	1	0
3	60	1	0	14	6	0	0	0	0	0
3	60	2	2	249	20	7	5	0	0	0
3	61	1	0	7	2	0	0	0	0	0
3	61	2	2	253	19	12	1	0	0	0
3	62	1	0	4	0	0	0	0	0	0
3	62	2	6	218	17	5	3	0	0	0
3	63	1	0	8	0	0	0	0	0	0
3	63	2	1	182	14	2	1	2	0	0
3	64	1	0	8	0	0	0	0	0	0
3	64	2	4	223	13	5	2	0	0	0
3	65	1	0	6	0	0	0	0	0	0
3	65	2	5	160	18	4	0	0	0	0
3	66	1	0	7	0	0	0	0	0	0
3	66	2	0	184	16	2	1	0	0	0
