	Skrzyzowanie Poroninska - Zakopianska, P57-04.INT

1	Poroninska

2	Taklinskiego

3	Zakopianska

4	Zakopianska Kapielowa

order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	2	0	1	0	0	0	0	1	0
1	55	3	1	12	0	0	0	0	0	0
1	56	1	0	1	0	0	0	0	0	0
1	56	2	0	3	0	0	0	0	0	0
1	56	3	0	8	3	2	0	0	1	0
1	57	1	0	1	1	0	0	0	0	0
1	57	2	0	4	0	0	0	0	0	0
1	57	3	0	10	2	0	0	0	0	0
1	58	1	0	2	1	0	0	0	0	0
1	58	2	0	3	0	0	0	0	0	0
1	58	3	2	6	0	0	0	0	0	0
1	59	1	0	1	0	0	0	0	0	0
1	59	2	0	3	0	0	0	0	0	0
1	59	3	0	9	0	2	0	0	0	0
1	60	2	0	1	0	0	0	0	0	0
1	60	3	1	8	1	0	0	0	0	0
1	61	1	0	4	0	0	0	0	0	0
1	61	2	0	4	0	0	0	0	0	0
1	61	3	1	11	1	0	0	0	0	0
1	62	1	0	1	1	0	0	0	0	0
1	62	2	0	4	0	0	0	0	0	0
1	62	3	1	12	0	0	0	0	0	0
1	63	1	1	4	0	0	0	0	0	0
1	63	2	0	4	0	0	0	0	0	0
1	63	3	0	17	0	1	0	0	0	0
1	64	1	0	1	0	0	0	0	0	0
1	64	2	0	5	0	0	0	0	0	0
1	64	3	1	12	0	0	0	0	0	0
1	65	2	0	3	0	0	0	0	0	0
1	65	3	1	6	0	0	0	0	0	0
1	66	1	0	1	1	0	0	0	0	0
1	66	2	0	3	0	0	0	0	0	0
1	66	3	0	4	3	0	0	0	0	0
2	55	1	0	16	3	0	0	0	1	0
2	55	2	0	2	1	0	0	0	0	0
2	55	3	1	3	0	0	0	0	0	0
2	56	1	0	16	0	0	0	0	0	0
2	56	2	0	4	0	0	0	0	0	0
2	56	3	0	6	1	0	0	0	0	0
2	57	1	0	16	2	0	0	0	0	0
2	57	2	0	8	0	0	0	0	0	0
2	57	3	1	11	1	0	0	1	0	0
2	58	1	0	4	2	0	0	0	0	0
2	58	2	0	1	0	0	0	0	0	0
2	58	3	0	4	1	0	0	0	0	0
2	59	1	0	15	0	0	0	0	0	0
2	59	2	0	4	0	0	0	0	0	0
2	59	3	0	4	0	0	0	0	0	0
2	60	1	0	13	2	1	0	0	0	0
2	60	2	0	3	0	0	0	0	0	0
2	60	3	1	2	1	0	0	0	0	0
2	61	1	0	14	4	0	0	0	0	0
2	61	2	0	4	1	0	0	0	0	0
2	61	3	0	2	1	0	0	0	0	0
2	62	1	0	13	3	0	0	0	0	0
2	62	2	0	2	0	0	0	0	1	0
2	62	3	1	3	0	0	0	0	0	0
2	63	1	0	16	5	3	0	0	0	0
2	63	2	0	2	1	0	0	0	0	0
2	63	3	0	5	1	0	0	0	0	0
2	64	1	0	15	0	0	0	0	0	0
2	64	2	0	3	0	0	0	0	0	0
2	64	3	1	5	0	0	0	0	0	0
2	65	1	0	14	8	0	0	0	0	0
2	65	2	0	1	0	0	0	0	0	0
2	65	3	0	2	1	0	0	0	0	0
2	66	1	0	10	3	0	0	0	1	0
2	66	2	0	2	0	0	0	0	0	0
2	66	3	1	1	2	1	0	0	0	0
3	55	1	1	2	1	0	2	0	0	0
3	55	2	4	200	55	11	8	1	0	0
3	55	3	0	1	0	0	0	0	0	0
3	56	1	2	4	1	1	0	1	0	0
3	56	2	5	220	62	20	15	0	0	0
3	56	3	0	1	1	0	0	0	0	0
3	57	1	0	2	0	0	0	0	0	0
3	57	2	2	196	62	6	10	1	0	0
3	57	3	0	1	0	0	0	0	0	0
3	58	1	1	0	1	0	0	0	0	0
3	58	2	6	220	67	15	8	0	0	0
3	58	3	0	3	1	0	0	0	0	0
3	59	1	1	2	2	1	0	0	0	0
3	59	2	9	209	39	5	8	0	0	0
