	Skrzyzowanie Szwedzka - Monte Cassino, P42-04.INT

1	Szwedzka Dworska

2	Szwedzka

3	Monte Cassino Kapelanka

4	Monte Cassino Konopnickiej

order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	3	0	8	3	0	0	0	1	0
1	56	3	0	5	0	0	0	0	1	0
1	57	3	0	6	0	0	0	0	0	0
1	58	3	0	10	0	0	0	0	0	0
1	59	3	0	4	1	0	0	0	0	0
1	60	3	0	6	0	0	0	0	0	0
1	61	3	0	8	1	0	0	0	0	0
1	62	3	0	3	0	0	0	0	0	0
1	63	3	0	5	0	0	0	0	0	0
1	64	3	0	2	0	0	0	0	0	0
1	65	3	0	7	0	0	0	0	0	0
1	66	3	0	3	2	0	0	0	3	0
2	55	3	0	25	1	0	0	1	0	0
2	56	3	1	38	1	0	0	0	0	0
2	57	3	1	27	0	1	0	0	2	0
2	58	3	1	30	3	0	0	1	2	0
2	59	3	0	35	4	0	0	0	0	0
2	60	3	1	50	3	0	0	1	0	0
2	61	3	2	41	3	1	0	0	0	0
2	62	3	1	40	4	0	0	0	0	0
2	63	3	2	52	4	0	0	0	1	0
2	64	3	0	50	1	0	0	1	1	0
2	65	3	2	25	3	1	0	0	0	0
2	66	3	1	32	3	0	0	0	0	0
3	55	2	5	224	7	0	0	0	0	0
3	55	3	0	12	2	0	0	0	0	0
3	56	2	6	218	7	0	0	0	0	0
3	56	3	0	10	2	0	0	0	0	0
3	57	2	6	220	13	5	0	1	0	0
3	57	3	0	3	1	1	0	0	0	0
3	58	2	8	209	18	1	1	2	0	0
3	58	3	0	15	3	1	0	0	0	0
3	59	2	6	254	20	5	0	0	0	0
3	59	3	0	11	0	0	0	0	0	0
3	60	2	9	224	18	9	0	0	0	0
3	60	3	0	18	0	0	0	0	0	0
3	61	2	9	240	11	2	0	0	0	0
3	61	3	0	15	1	0	0	0	0	0
3	62	2	7	245	11	5	0	0	0	0
3	62	3	0	16	0	0	0	0	0	0
3	63	2	10	241	16	4	0	1	0	0
3	63	3	0	24	1	0	0	0	0	0
3	64	2	3	248	13	4	0	4	1	0
3	64	3	0	20	0	0	0	0	0	0
3	65	2	10	262	16	8	0	0	0	0
3	65	3	0	15	0	0	0	0	0	0
3	66	2	6	208	25	4	0	0	0	0
3	66	3	0	11	0	0	0	0	0	0
4	55	2	3	194	19	2	1	1	1	0
4	55	3	0	2	1	0	0	0	0	0
4	56	2	6	226	17	3	1	0	0	0
4	56	3	0	2	0	0	0	0	0	0
4	57	2	3	240	22	6	0	3	0	0
4	57	3	0	1	0	0	0	0	0	0
4	58	2	4	244	25	8	0	2	1	0
4	58	3	0	3	0	0	0	0	0	0
4	59	2	6	260	20	6	1	0	2	0
4	59	3	0	5	0	0	0	0	0	0
4	60	2	9	237	19	4	0	0	0	0
4	60	3	0	2	0	0	0	0	0	0
4	61	2	5	266	16	3	1	0	1	0
4	61	3	0	2	0	0	0	0	0	0
4	62	2	6	323	21	6	3	0	0	0
4	62	3	0	2	1	0	0	0	0	0
4	63	2	9	352	33	4	0	0	1	0
4	63	3	0	4	0	0	0	0	0	0
4	64	2	6	270	14	4	0	0	1	0
4	64	3	0	2	0	0	0	0	0	0
4	65	2	6	297	19	2	1	0	0	0
4	65	3	0	2	1	0	0	0	0	0
4	66	2	9	238	25	4	0	0	1	0
4	66	3	0	2	0	0	0	0	0	0
