	Skrzyzowanie al. Solidarnosci - al. Przyjazni, H28-04.INT									

0	Gajocha									

1	Solidarnosci Centralny									

2	Przyjazni									

3	Solidarnosci Struga									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	4	1	0	0	0	1	0
0	55	2	0	36	7	0	0	0	3	0
0	55	3	0	13	0	0	0	0	0	0
0	56	1	0	2	0	0	0	0	0	0
0	56	2	0	37	4	0	0	0	2	0
0	56	3	0	6	0	0	0	0	0	0
0	57	1	0	8	1	0	0	0	0	0
0	57	2	0	36	1	0	0	0	1	0
0	57	3	0	6	0	0	0	0	0	0
0	58	1	0	8	0	0	0	0	0	0
0	58	2	0	41	8	0	0	0	0	0
0	58	3	0	3	1	0	0	0	0	0
0	59	1	0	4	1	0	0	0	0	0
0	59	2	0	37	1	0	0	0	1	0
0	59	3	0	7	0	0	0	0	0	0
0	60	1	0	9	0	0	0	0	0	0
0	60	2	0	60	2	0	0	0	1	0
0	60	3	0	8	1	0	0	0	0	0
0	61	1	0	7	0	0	0	0	0	0
0	61	2	0	57	4	0	0	0	0	0
0	61	3	0	10	0	0	0	0	0	0
0	62	1	0	10	1	0	0	0	0	0
0	62	2	0	47	4	0	0	0	3	0
0	62	3	0	9	0	0	0	0	0	0
0	63	1	0	11	0	0	0	0	0	0
0	63	2	0	43	2	0	0	0	0	0
0	63	3	0	4	1	0	0	0	0	0
0	64	1	0	7	0	0	0	0	0	0
0	64	2	0	34	4	0	0	0	0	0
0	64	3	0	11	1	0	0	0	0	0
0	65	1	0	9	0	0	0	0	0	0
0	65	2	0	37	4	0	0	0	0	0
0	65	3	0	4	1	0	0	0	0	0
0	66	1	0	7	0	0	0	0	0	0
0	66	2	0	37	3	0	0	0	0	0
0	66	3	0	5	1	0	0	0	0	0
1	55	1	0	8	1	0	0	0	0	0
1	55	2	2	35	11	2	1	0	0	0
1	55	3	0	7	1	0	0	0	0	0
1	56	1	0	10	2	0	0	0	0	0
1	56	2	0	29	10	0	0	0	1	0
1	56	3	0	7	2	0	0	0	0	0
1	57	1	0	12	3	0	0	0	0	0
1	57	2	3	37	11	1	0	0	1	0
1	57	3	0	11	0	0	0	0	0	0
1	58	1	0	7	2	0	0	0	0	0
1	58	2	2	28	10	0	0	0	0	0
1	58	3	0	9	1	0	0	0	0	0
1	59	1	0	10	2	0	0	0	0	0
1	59	2	2	29	17	0	0	0	1	0
