	Slowackiego - Pradnicka Junction, 50 K-10, 50 K-10a - 36									

0	Dluga - 36046, 46036									

1	Slowackiego Krowoderska - 36037, 37036									

2	Pradnicka - 36035, 35036									

3	Slowackiego Kamienna - 36118, 118036									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	7	0	0	0	0	0	0
0	56	1	0	9	0	0	0	0	0	0
0	57	1	0	10	0	0	0	0	0	0
0	58	1	0	8	0	0	0	0	0	0
0	59	1	0	7	0	0	0	0	0	0
0	60	1	0	11	0	0	0	0	0	0
0	61	1	0	7	0	0	0	0	0	0
0	62	1	0	12	0	0	0	0	0	0
0	63	1	0	9	0	0	0	0	0	0
0	64	1	0	10	0	0	0	0	0	0
0	65	1	0	9	0	0	0	0	0	0
0	66	1	0	13	0	0	0	0	0	0
0	55	2	0	62	1	0	0	0	0	0
0	56	2	1	83	0	0	0	0	0	0
0	57	2	0	89	2	0	0	1	1	0
0	58	2	0	68	1	0	0	0	1	0
0	59	2	0	66	0	0	0	0	1	0
0	60	2	0	95	1	0	0	0	0	0
0	61	2	0	66	0	0	0	0	0	0
0	62	2	0	111	3	0	0	0	1	0
0	63	2	0	84	0	0	0	0	3	0
0	64	2	0	93	0	0	0	0	1	0
0	65	2	0	81	2	0	0	0	2	0
0	66	2	0	114	1	0	0	0	0	0
0	55	3	0	18	0	0	0	0	0	0
0	56	3	0	32	0	0	0	0	0	0
0	57	3	0	45	0	0	0	0	0	0
0	58	3	0	23	0	0	0	0	0	0
0	59	3	0	33	0	0	0	0	0	0
0	60	3	0	35	1	0	0	0	0	0
0	61	3	0	35	0	0	0	0	0	0
0	62	3	0	30	0	0	0	0	0	0
0	63	3	0	25	0	0	0	0	0	0
0	64	3	0	23	0	0	0	0	0	0
0	65	3	0	25	0	0	0	0	0	0
0	66	3	0	38	0	0	0	0	0	0
1	55	1	2	40	6	0	0	1	0	0
1	56	1	1	27	3	0	0	0	0	0
1	57	1	1	42	1	0	0	0	0	0
1	58	1	0	36	5	0	0	0	0	0
1	59	1	1	32	4	0	0	0	0	0
1	60	1	2	26	2	0	0	0	0	0
1	61	1	2	34	2	0	0	0	0	0
1	62	1	0	22	2	0	0	0	0	0
1	63	1	1	41	6	1	0	0	0	0
1	64	1	3	32	3	0	0	0	0	0
1	65	1	1	32	2	0	0	0	0	0
1	66	1	2	32	1	0	0	0	0	0
1	55	2	10	205	18	3	0	0	0	0
1	56	2	15	204	11	5	0	0	0	0
1	57	2	16	227	27	1	0	0	0	0
1	58	2	15	221	26	2	0	2	0	0
1	59	2	12	231	18	2	0	0	0	0
1	60	2	17	238	14	4	0	1	0	0
1	61	2	21	233	15	2	0	0	0	0
1	62	2	14	217	17	3	0	1	0	0
1	63	2	25	212	14	2	1	0	2	0
1	64	2	21	246	17	4	0	0	0	0
1	65	2	18	224	9	2	0	0	0	0
1	66	2	21	222	9	3	1	0	0	0
1	55	3	0	4	1	1	0	0	0	0
1	56	3	0	3	0	0	0	0	0	0
1	57	3	0	5	0	0	0	0	0	0
1	58	3	0	7	0	0	0	0	0	0
1	59	3	0	6	0	0	0	0	0	0
1	60	3	0	2	0	0	0	0	0	0
1	61	3	0	4	0	0	0	0	0	0
1	62	3	0	1	0	0	0	0	1	0
1	63	3	0	1	0	0	0	0	1	0
1	64	3	0	1	1	0	0	0	0	0
1	65	3	0	1	0	0	0	0	0	0
1	66	3	0	1	0	0	0	0	0	0
2	55	1	8	55	8	0	0	0	0	0
2	56	1	6	60	3	1	0	0	0	0
2	57	1	5	30	9	2	0	0	0	0
2	58	1	7	36	5	0	0	0	0	0
2	59	1	4	30	6	1	1	0	0	0
2	60	1	5	33	5	0	0	0	0	0
2	61	1	5	37	5	1	0	0	0	0
2	62	1	5	34	5	0	0	0	1	0
2	63	1	7	30	4	0	1	0	0	0
2	64	1	4	45	4	1	0	0	0	0
2	65	1	5	40	3	1	0	0	0	0
2	66	1	9	59	2	0	0	0	0	0
2	55	2	2	70	16	2	0	0	0	0
2	56	2	2	70	5	0	0	0	0	0
2	57	2	1	58	9	0	0	0	0	0
2	58	2	6	75	5	0	0	0	0	0
2	59	2	1	68	2	0	0	0	0	0
2	60	2	0	67	2	0	0	0	0	0
2	61	2	1	90	2	0	0	0	0	0
2	62	2	1	50	3	0	0	0	1	0
2	63	2	1	47	4	0	0	0	1	0
2	64	2	2	69	6	0	0	0	1	0
2	65	2	0	72	2	0	0	0	0	0
2	66	2	0	66	1	0	0	0	0	0
2	55	3	0	20	2	0	0	0	0	0
2	56	3	2	38	3	0	0	0	0	0
2	57	3	2	57	4	0	0	0	0	0
2	58	3	0	32	4	0	0	0	0	0
2	59	3	1	42	5	0	0	0	0	0
2	60	3	2	21	4	0	0	0	0	0
2	61	3	2	46	5	0	0	0	0	0
2	62	3	1	27	3	0	0	0	0	0
2	63	3	1	34	5	0	0	0	0	0
2	64	3	1	25	5	0	0	0	0	0
2	65	3	1	27	4	0	0	0	0	0
2	66	3	1	30	5	0	0	0	0	0
3	55	1	1	33	3	1	0	0	0	0
3	56	1	1	33	2	0	0	0	0	0
3	57	1	1	38	2	0	0	0	0	0
3	58	1	2	32	2	1	0	0	0	0
3	59	1	1	28	3	0	0	0	0	0
3	60	1	2	33	3	0	0	0	0	0
3	61	1	2	34	3	1	0	0	0	0
3	62	1	2	32	3	0	0	0	0	0
3	63	1	2	35	2	0	0	0	0	0
3	64	1	2	32	3	1	0	0	0	0
3	65	1	2	32	3	1	0	0	0	0
3	66	1	2	30	2	0	0	0	0	0
3	55	2	9	296	24	5	0	0	0	0
3	56	2	13	299	20	1	2	0	0	0
3	57	2	13	344	21	4	1	1	0	0
3	58	2	15	284	21	5	0	0	0	0
3	59	2	13	252	28	4	3	1	0	0
3	60	2	15	295	30	4	1	0	0	0
3	61	2	14	304	31	5	1	0	0	0
3	62	2	18	284	25	4	3	0	0	0
3	63	2	14	313	21	3	2	0	0	0
3	64	2	15	287	25	5	2	0	0	0
3	65	2	18	288	23	5	3	1	0	0
3	66	2	15	271	20	3	2	2	0	0
3	55	3	5	57	13	2	0	0	0	0
3	56	3	7	87	3	1	0	0	0	0
3	57	3	9	68	9	0	0	0	0	0
3	58	3	7	45	15	2	0	0	0	0
3	59	3	6	59	6	3	0	0	0	0
3	60	3	6	75	11	2	0	0	0	0
3	61	3	4	65	5	1	0	0	0	0
3	62	3	8	65	12	2	0	0	0	0
3	63	3	5	53	0	0	0	0	0	0
3	64	3	7	61	6	0	0	0	0	0
3	65	3	4	63	10	3	0	0	0	0
3	66	3	7	50	6	0	0	0	0	0
