	Solidarnosci - Bulwarowa Junction, H31-04.INT - 171

0	Bulwarowa Jana Pawla II - 171170, 170171

1	Solidarnosci Struga - 171169, 169171

2	Bulwarowa Kocmyrzowska - 171175, 175171

3	Solidarnosci - 171180, 180171


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	13	2	0	0	0	0	0
0	55	2	0	55	6	0	0	0	0	0
0	55	3	0	29	4	0	0	0	2	0
0	56	1	0	12	4	0	0	0	0	0
0	56	2	0	35	3	0	0	0	0	0
0	56	3	1	11	6	1	0	0	0	0
0	57	1	0	15	0	0	0	0	0	0
0	57	2	0	43	8	0	0	0	0	0
0	57	3	2	11	3	0	0	1	0	0
0	58	1	0	15	0	1	0	0	0	0
0	58	2	0	66	6	1	0	0	5	0
0	58	3	2	20	4	0	0	0	0	0
0	59	1	1	6	0	1	0	0	0	0
0	59	2	0	41	7	0	0	0	0	0
0	59	3	4	11	4	0	0	0	0	0
0	60	1	0	7	0	1	0	0	0	0
0	60	2	0	46	7	2	0	0	0	0
0	60	3	3	17	0	0	0	0	0	0
0	61	1	0	9	3	0	0	0	0	0
0	61	2	0	50	5	0	0	0	0	0
0	61	3	4	10	1	0	0	0	0	0
0	62	1	0	11	1	0	0	0	0	0
0	62	2	0	60	12	0	0	0	0	0
0	62	3	0	12	2	0	0	0	0	0
0	63	1	0	7	1	0	0	0	0	0
0	63	2	0	38	10	1	0	0	0	0
0	63	3	2	10	1	0	0	0	0	0
0	64	1	0	10	1	0	0	0	0	0
0	64	2	0	35	6	1	0	0	0	0
0	64	3	1	7	0	0	0	0	0	0
0	65	1	0	5	0	0	0	0	0	0
0	65	2	0	31	11	1	0	0	0	0
0	65	3	1	5	0	0	0	0	0	0
0	66	1	0	11	2	0	0	0	0	0
0	66	2	0	21	5	0	0	0	0	0
0	66	3	1	6	0	0	0	0	0	0
1	55	1	0	7	0	0	0	0	0	0
1	55	2	8	75	8	4	0	0	2	0
1	55	3	2	18	1	0	0	0	0	0
1	56	1	0	3	0	0	0	0	0	0
1	56	2	6	47	4	0	0	0	0	0
1	56	3	2	15	0	2	0	0	0	0
1	57	1	0	4	1	0	0	0	0	0
1	57	2	6	35	5	0	0	0	1	0
1	57	3	1	9	0	0	0	0	0	0
1	58	1	0	3	0	0	0	0	0	0
1	58	2	7	68	9	0	0	0	0	0
1	58	3	1	23	6	1	0	0	0	0
1	59	1	0	5	1	0	0	0	0	0
1	59	2	7	44	6	1	0	0	0	0
1	59	3	2	15	4	1	0	0	0	0
1	60	1	0	3	0	0	0	0	0	0
1	60	2	7	55	10	0	1	0	0	0
1	60	3	1	16	2	0	0	0	1	0
1	61	1	0	3	1	0	0	0	0	0
1	61	2	5	48	4	1	0	0	0	0
1	61	3	1	11	0	0	0	0	0	0
1	62	1	0	5	0	0	0	0	0	0
1	62	2	4	52	7	4	0	0	0	0
1	62	3	1	20	1	0	0	0	0	0
1	63	1	0	4	1	0	0	0	0	0
1	63	2	7	46	5	0	0	0	0	0
1	63	3	2	18	2	0	0	0	0	0
1	64	1	0	3	0	0	0	0	0	0
1	64	2	7	30	3	0	0	0	0	0
1	64	3	1	17	4	0	0	0	0	0
1	65	1	0	2	0	0	0	0	0	0
1	65	2	8	45	1	2	0	0	0	0
1	65	3	1	15	0	0	0	0	1	0
