	Turowicza - Witosa Junction, 71 P-68 - 90									

0	Herberta - 90084, 84090									

1	Do Sanktuarium - 90091, 91090									

2	Turowicza - 90099, 99090									

3	Witosa Beskidzka - 90088, 88090									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	3	0	0	0	0	0	0
0	55	2	0	94	17	1	2	0	0	0
0	55	3	0	35	10	0	0	0	0	0
0	56	1	1	5	0	0	0	0	0	0
0	56	2	0	47	27	5	2	0	0	0
0	56	3	0	36	8	0	2	0	0	0
0	57	1	0	11	3	1	0	0	0	0
0	57	2	0	94	26	1	1	0	0	0
0	57	3	0	39	13	1	0	0	0	0
0	58	1	4	12	1	1	0	0	0	0
0	58	2	0	98	25	4	2	2	0	0
0	58	3	0	29	8	1	1	0	0	0
0	59	1	1	11	2	1	0	0	0	0
0	59	2	2	108	22	2	0	0	0	0
0	59	3	0	0	46	8	0	0	0	0
0	60	1	3	13	3	0	0	0	0	0
0	60	2	0	106	22	4	13	1	0	0
0	60	3	0	55	7	2	0	0	0	0
0	61	1	1	7	0	0	0	0	0	0
0	61	2	0	100	27	3	1	0	0	0
0	61	3	0	49	3	0	2	0	0	0
0	62	1	1	6	0	0	0	0	0	0
0	62	2	0	92	18	1	5	1	0	0
0	62	3	0	65	4	0	0	0	0	0
0	63	1	1	16	0	1	0	0	0	0
0	63	2	1	96	21	5	7	1	0	0
0	63	3	0	56	10	2	0	0	0	0
0	64	1	0	13	0	0	0	0	0	0
0	64	2	0	70	14	3	2	0	0	0
0	64	3	0	67	5	2	0	0	0	0
0	65	1	0	13	1	0	0	0	0	0
0	65	2	0	95	1	1	1	0	0	0
0	65	3	0	60	9	0	0	0	0	0
0	66	1	2	9	1	0	0	0	0	0
0	66	2	3	87	16	6	3	0	0	0
0	66	3	0	60	6	0	0	0	0	0
1	55	1	1	1	0	0	0	0	0	0
1	55	2	1	10	1	0	0	0	0	0
1	55	3	0	6	1	0	0	0	0	0
1	56	1	1	0	0	0	0	0	0	0
1	56	2	0	13	2	0	0	0	0	0
1	56	3	0	15	4	0	0	1	0	0
1	57	1	1	1	0	0	0	0	0	0
1	57	2	0	9	1	0	0	0	0	0
1	57	3	0	9	1	0	0	0	0	0
1	58	1	0	3	0	0	0	0	0	0
1	58	2	0	13	1	0	0	0	0	0
1	58	3	3	13	0	0	0	0	0	0
1	59	1	1	1	0	0	0	0	0	0
1	59	2	0	17	0	0	0	0	0	0
1	59	3	1	7	3	1	0	0	0	0
1	60	1	1	2	0	0	0	0	0	0
1	60	2	0	13	1	0	0	0	0	0
1	60	3	0	16	5	0	0	0	0	0
1	61	1	1	1	0	0	0	0	0	0
1	61	2	0	21	0	0	0	0	3	0
1	61	3	0	21	3	0	0	0	0	0
1	62	1	1	0	0	0	0	0	0	0
1	62	2	0	12	3	0	0	0	0	0
1	62	3	0	11	0	0	0	0	0	0
1	63	1	0	4	0	0	0	0	0	0
1	63	2	0	15	2	0	0	0	0	0
1	63	3	0	14	2	0	0	0	1	0
1	64	1	2	0	0	0	0	0	0	0
1	64	2	0	25	5	0	0	0	0	0
1	64	3	4	19	2	1	0	1	0	0
1	65	1	1	1	0	0	0	0	0	0
1	65	2	0	19	4	0	0	0	2	0
1	65	3	0	10	2	0	0	0	0	0
1	66	1	2	0	0	0	0	0	0	0
1	66	2	0	24	4	0	0	0	1	0
1	66	3	2	13	3	0	0	0	0	0
2	55	1	2	31	3	2	0	0	0	0
2	55	2	1	125	15	10	6	1	1	0
2	55	3	0	1	0	1	0	0	0	0
2	56	1	1	44	2	2	2	0	0	0
2	56	2	0	130	20	12	9	1	1	0
2	56	3	0	3	0	0	0	0	0	0
2	57	1	1	41	4	1	0	1	1	0
2	57	2	1	123	12	20	7	1	0	0
2	57	3	0	6	0	0	0	0	0	0
2	58	1	2	49	3	1	2	0	0	0
2	58	2	0	151	28	5	9	1	0	0
2	58	3	1	6	0	0	0	0	0	0
2	59	1	1	25	7	3	0	0	0	0
2	59	2	0	162	11	8	2	0	0	0
2	59	3	3	2	0	0	0	0	0	0
2	60	1	0	41	1	1	2	0	0	0
2	60	2	0	187	6	13	2	1	2	0
2	60	3	0	2	0	0	0	0	0	0
2	61	1	1	62	3	1	0	0	0	0
2	61	2	0	197	20	10	4	0	2	0
2	61	3	0	1	0	0	0	0	0	0
2	62	1	1	60	4	1	1	0	0	0
2	62	2	0	193	27	10	8	0	0	0
2	62	3	0	1	0	0	0	0	0	0
2	63	1	1	55	5	1	0	0	0	0
2	63	2	0	183	20	1	7	0	1	0
2	63	3	0	1	0	0	0	0	0	0
2	64	1	1	82	10	1	2	0	1	0
2	64	2	1	225	30	15	11	1	0	0
2	64	3	0	4	0	0	0	0	0	0
2	65	1	1	57	8	0	1	1	0	0
2	65	2	0	226	28	7	10	0	0	0
2	65	3	2	1	0	0	0	0	0	0
2	66	1	2	48	6	0	1	0	0	0
2	66	2	0	229	9	1	3	1	1	0
2	66	3	2	3	0	0	0	0	0	0
3	55	1	0	53	3	2	0	0	0	0
3	55	2	0	9	1	0	0	0	0	0
3	55	3	0	32	2	0	0	0	1	0
3	56	1	0	57	2	0	0	1	0	0
3	56	2	0	7	0	0	0	0	0	0
3	56	3	2	27	1	1	0	0	0	0
3	57	1	1	49	2	2	0	0	0	0
3	57	2	0	6	1	0	0	0	0	0
3	57	3	2	34	3	1	0	0	0	0
3	58	1	0	77	4	2	0	0	0	0
3	58	2	0	9	0	0	0	0	0	0
3	58	3	0	28	4	0	0	0	0	0
3	59	1	0	61	8	2	0	0	0	0
3	59	2	0	9	0	0	0	0	0	0
3	59	3	1	36	3	0	0	0	0	0
3	60	1	1	63	7	0	0	0	0	0
3	60	2	1	11	1	0	0	0	0	0
3	60	3	2	28	2	0	0	0	0	0
3	61	1	0	66	9	2	0	0	0	0
3	61	2	0	6	0	0	0	0	3	0
3	61	3	1	32	2	0	0	0	0	0
3	62	1	0	64	4	1	0	1	0	0
3	62	2	0	6	0	0	0	0	0	0
3	62	3	1	25	3	0	0	0	0	0
3	63	1	0	55	6	0	0	0	0	0
3	63	2	0	10	0	0	0	0	0	0
3	63	3	1	24	0	0	0	1	0	0
3	64	1	0	69	2	0	1	0	0	0
3	64	2	0	10	0	1	0	0	0	0
3	64	3	2	10	1	0	0	0	1	0
3	65	1	0	64	0	0	0	0	0	0
3	65	2	0	5	1	0	0	0	0	0
3	65	3	1	30	3	0	0	0	1	0
3	66	1	0	63	3	3	0	0	0	0
3	66	2	0	7	1	0	0	0	0	0
3	66	3	1	26	2	0	0	0	0	0
