	Wielicka - Kamienskiego Junction, 68 P-17 - 96

0	Wielicka Teligi - 96095, 95096

1	Kamienskiego - 96097, 97096

2	Wielicka Dworcowa - 96103, 103096


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	9	178	19	4	1	1	0	0
0	55	2	4	137	20	11	0	0	0	0
0	56	1	5	157	20	5	1	1	0	0
0	56	2	5	143	14	5	0	1	0	0
0	57	1	5	166	15	1	1	0	0	0
0	57	2	5	113	18	3	1	1	0	0
0	58	1	10	163	12	3	2	0	0	0
0	58	2	4	115	20	5	0	1	1	0
0	59	1	7	165	19	3	0	1	0	0
0	59	2	5	108	16	12	0	0	1	0
0	60	1	3	160	12	1	3	0	0	0
0	60	2	7	103	20	5	0	2	1	0
0	61	1	10	204	20	1	4	1	1	0
0	61	2	4	154	27	11	1	1	1	0
0	62	1	3	180	17	3	1	1	0	0
0	62	2	6	155	17	8	0	1	0	0
0	63	1	9	166	20	2	1	0	0	0
0	63	2	4	128	15	10	0	0	0	0
0	64	1	2	183	11	2	1	0	0	0
0	64	2	6	112	17	5	1	2	0	0
0	65	1	12	187	18	5	2	0	0	0
0	65	2	4	106	12	4	0	0	0	0
0	66	1	8	160	7	2	2	1	0	0
0	66	2	7	109	18	5	0	1	0	0
1	55	3	10	147	20	2	2	0	0	0
1	56	3	8	139	19	5	0	2	0	0
1	57	3	6	160	19	2	2	1	0	0
1	58	3	8	180	9	5	2	0	0	0
1	59	3	6	177	19	2	0	0	0	0
1	60	3	8	146	17	2	3	0	0	0
1	61	3	5	234	12	5	2	0	0	0
1	62	3	7	203	29	3	3	1	0	0
1	63	3	14	165	19	3	2	0	0	0
1	64	3	7	198	18	4	1	0	0	0
1	65	3	11	192	18	1	2	1	0	0
1	66	3	6	205	14	1	2	0	0	0
2	55	2	9	170	33	7	1	1	0	0
2	56	2	7	223	33	4	0	0	0	0
2	57	2	5	209	32	5	0	0	1	0
2	58	2	11	238	23	5	1	0	1	0
2	59	2	10	233	29	6	0	2	0	0
2	60	2	10	235	21	8	1	1	1	0
2	61	2	14	278	30	7	0	1	0	0
2	62	2	12	262	28	6	2	0	0	0
2	63	2	11	293	27	9	0	1	0	0
2	64	2	8	257	25	6	1	0	0	0
2	65	2	9	328	23	9	0	1	0	0
2	66	2	7	253	28	4	0	0	0	0
