	Wielicka - Nowosadecka Junction, 68 P-69 - 95									

0	Wielicka Teligi - 95094, 94095									

1	Nowosadecka - 95088, 88095									

2	Wielicka - 95096, 96095									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	3	8	0	0	0	0	0	0
0	55	2	5	309	11	2	0	0	0	0
0	56	1	4	11	0	0	0	0	0	0
0	56	2	5	272	13	4	0	1	0	0
0	57	1	4	21	2	0	1	0	0	0
0	57	2	25	294	34	4	1	0	0	0
0	58	1	2	25	4	1	0	0	0	0
0	58	2	20	244	36	2	5	0	0	0
0	59	1	2	20	3	0	0	1	0	0
0	59	2	16	256	30	4	4	0	0	0
0	60	1	3	27	4	0	0	0	0	0
0	60	2	23	356	39	4	2	0	0	0
0	61	1	5	32	5	0	0	0	0	0
0	61	2	26	301	41	5	2	0	0	0
0	62	1	3	53	4	1	0	0	0	0
0	62	2	22	225	38	6	1	0	0	0
0	63	1	3	30	5	1	0	0	0	0
0	63	2	28	272	29	6	2	0	0	0
0	64	1	4	28	4	1	0	0	0	0
0	64	2	23	297	24	6	0	0	0	0
0	65	1	4	22	4	1	0	0	0	0
0	65	2	25	251	25	6	1	0	0	0
0	66	1	2	18	2	0	0	2	0	0
0	66	2	14	197	17	2	1	0	0	0
1	55	1	1	22	2	0	0	1	0	0
1	55	3	1	15	4	0	0	0	0	0
1	56	1	0	32	3	0	1	0	0	0
1	56	3	1	13	2	0	2	0	0	0
1	57	1	1	39	10	0	0	0	0	0
1	57	3	1	14	2	0	0	0	0	0
1	58	1	3	27	5	1	0	1	0	0
1	58	3	2	11	0	1	1	0	0	0
1	59	1	1	34	5	0	0	0	0	0
1	59	3	1	22	5	2	0	0	0	0
1	60	1	1	32	3	2	0	0	1	0
1	60	3	1	20	1	0	0	1	0	0
1	61	1	1	44	3	0	0	0	0	0
1	61	3	1	24	5	0	0	0	0	0
1	62	1	1	35	4	0	0	0	0	0
1	62	3	0	13	4	0	0	0	0	0
1	63	1	1	39	5	0	0	0	1	0
1	63	3	2	20	3	0	0	0	0	0
1	64	1	1	40	4	1	0	0	0	0
1	64	3	1	13	4	0	0	0	0	0
1	65	1	1	50	5	0	0	0	0	0
1	65	3	3	17	5	0	1	0	0	0
1	66	1	1	39	7	1	0	0	0	0
1	66	3	1	15	2	0	0	0	0	0
2	55	2	16	384	28	4	4	0	1	0
2	55	3	1	59	5	1	0	0	1	0
2	56	2	14	368	45	1	3	0	0	0
2	56	3	3	50	10	1	1	0	0	0
2	57	2	8	360	26	3	4	0	1	0
2	57	3	0	61	4	0	0	0	1	0
2	58	2	35	283	47	5	10	0	0	0
2	58	3	3	80	21	3	2	0	3	0
2	59	2	22	384	60	18	15	0	3	0
2	59	3	2	85	5	1	0	1	2	0
2	60	2	16	355	19	6	2	1	3	0
2	60	3	1	47	2	0	0	0	2	0
2	61	2	27	387	16	4	2	0	0	0
2	61	3	2	87	5	1	0	0	0	0
2	62	2	22	425	21	5	2	0	0	0
2	62	3	3	84	6	0	0	0	0	0
2	63	2	11	456	27	2	2	0	0	0
2	63	3	2	47	6	1	0	0	1	0
2	64	2	17	379	43	3	0	0	2	0
2	64	3	0	51	7	0	0	0	2	0
2	65	2	0	405	0	0	0	0	0	0
2	65	3	2	69	9	1	0	0	1	0
2	66	2	0	418	0	0	0	0	0	0
2	66	3	2	93	9	0	0	0	2	0
