	Wielicka - Teligi Junction, P20-04.INT - 94

0	Kostaneckiego - 94083, 83094

1	Wielicka Prosta - 94095, 95094

2	Teligi - 94093, 93094

3	Wielicka Kosocicka - 94092, 92094


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	61	1	0	0	0	0	0
0	55	2	0	27	2	0	0	0	0	0
0	55	3	0	35	2	0	0	0	0	0
0	56	1	2	65	5	1	0	0	0	0
0	56	2	0	15	2	0	0	0	0	0
0	56	3	0	26	3	1	0	0	0	0
0	57	1	2	52	4	0	0	0	0	0
0	57	2	0	24	3	0	0	0	0	0
0	57	3	0	28	2	0	0	0	0	0
0	58	1	1	55	3	0	0	0	0	0
0	58	2	0	15	0	0	0	0	0	0
0	58	3	0	24	2	0	0	0	0	0
0	59	1	1	67	5	1	0	0	0	0
0	59	2	0	19	1	0	0	0	0	0
0	59	3	0	43	0	1	0	0	0	0
0	60	1	2	63	3	0	0	0	0	0
0	60	2	0	21	1	0	0	0	0	0
0	60	3	0	21	3	0	0	0	0	0
0	61	1	2	57	3	2	0	0	0	0
0	61	2	0	38	0	0	0	0	0	0
0	61	3	1	34	1	0	0	0	0	0
0	62	1	1	49	0	1	0	1	0	0
0	62	2	2	21	1	0	0	0	0	0
0	62	3	0	28	1	0	0	1	0	0
0	63	1	1	41	0	2	1	0	0	0
0	63	2	0	19	0	0	0	0	0	0
0	63	3	0	23	0	1	0	0	0	0
0	64	1	2	40	3	0	0	0	0	0
0	64	2	0	36	3	0	0	0	0	0
0	64	3	1	30	1	1	0	0	0	0
0	65	1	1	37	1	1	1	0	0	0
0	65	2	0	21	0	0	0	0	0	0
0	65	3	0	30	3	0	0	0	0	0
0	66	1	1	26	1	0	0	0	0	0
0	66	2	1	18	0	0	0	0	0	0
0	66	3	0	26	3	0	0	0	0	0
1	55	1	5	60	5	1	0	2	0	0
1	55	2	10	177	33	4	2	1	2	0
1	55	3	0	19	4	1	0	0	0	0
1	56	1	3	88	13	1	1	0	0	0
1	56	2	10	132	30	12	4	1	1	0
1	56	3	2	15	1	1	0	0	0	0
1	57	1	0	105	8	0	1	0	0	0
1	57	2	14	159	24	7	4	2	1	0
1	57	3	0	7	1	0	0	0	0	0
1	58	1	4	78	5	1	0	0	0	0
1	58	2	8	179	30	1	5	0	0	0
1	58	3	1	11	3	1	0	0	0	0
1	59	1	4	87	7	0	0	0	0	0
1	59	2	10	182	38	7	7	0	0	0
1	59	3	1	15	2	0	0	0	0	0
1	60	1	4	119	9	3	0	4	0	0
1	60	2	24	163	32	7	5	4	0	0
1	60	3	1	16	1	1	0	0	0	0
1	61	1	3	113	15	0	0	2	0	0
1	61	2	16	196	26	4	7	0	0	0
