	"Zakopianska - Brozka Junction, 53 P-29 - 79"									

0	"Zakopianska - 79076, 76079"									

1	"Brozka - 79058, 58079"									

2	"Wadowicka - 79080, 80079"									

3	"Tischnera - 79099, 99079"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	72	1	1	0	0	0	0
0	55	2	4	74	15	2	0	0	0	0
0	55	3	0	51	3	0	5	0	0	0
0	56	1	0	79	5	1	0	0	0	0
0	56	2	6	141	23	0	1	1	0	0
0	56	3	1	62	12	7	6	0	0	0
0	57	1	1	76	5	1	1	0	0	0
0	57	2	6	180	23	1	0	0	0	0
0	57	3	0	68	13	4	4	0	0	0
0	58	1	1	80	3	1	0	0	0	0
0	58	2	2	159	20	1	0	0	0	0
0	58	3	0	70	9	4	1	0	0	0
0	59	1	0	82	4	0	0	0	0	0
0	59	2	5	165	14	2	0	0	0	0
0	59	3	1	62	17	6	4	0	0	0
0	60	1	0	78	5	0	0	0	0	0
0	60	2	6	134	5	1	0	0	0	0
0	60	3	1	47	15	3	1	0	0	0
0	61	1	0	84	7	0	0	0	0	0
0	61	2	8	186	22	6	2	0	0	0
0	61	3	1	84	8	6	2	0	0	0
0	62	1	0	80	2	0	0	0	0	0
0	62	2	10	149	11	0	0	1	0	0
0	62	3	0	76	9	6	3	0	0	0
0	63	1	0	79	3	1	0	0	0	0
0	63	2	6	202	18	0	1	0	0	0
0	63	3	1	59	7	6	4	0	0	0
0	64	1	0	83	3	0	0	0	0	0
0	64	2	7	165	9	1	1	0	0	0
0	64	3	0	52	6	9	2	0	0	0
0	65	1	0	80	2	0	0	0	0	0
0	65	2	8	147	10	1	0	0	0	0
0	65	3	0	63	8	4	4	0	0	0
0	66	1	0	79	4	0	0	0	0	0
0	66	2	6	155	15	1	0	0	0	0
0	66	3	0	63	10	5	3	0	0	0
1	55	1	0	24	7	0	0	0	0	0
1	55	2	0	49	8	0	0	0	0	0
1	55	3	0	46	6	0	0	0	0	0
1	56	1	1	49	5	0	0	0	0	0
1	56	2	1	83	32	4	0	0	0	0
1	56	3	1	69	4	0	0	0	0	0
1	57	1	0	42	11	0	0	0	0	0
1	57	2	0	109	15	2	3	0	0	0
1	57	3	1	71	11	0	0	0	0	0
1	58	1	0	32	3	0	0	0	0	0
1	58	2	0	98	23	7	2	0	0	0
1	58	3	0	61	13	0	0	0	0	0
1	59	1	0	52	5	0	0	0	0	0
1	59	2	1	112	24	2	3	0	0	0
1	59	3	0	77	6	1	0	0	0	0
1	60	1	0	26	9	2	0	0	0	0
1	60	2	0	129	20	1	0	0	1	0
1	60	3	0	76	12	0	0	0	0	0
1	61	1	0	23	8	0	0	0	0	0
1	61	2	0	132	18	3	0	0	0	0
1	61	3	0	78	8	2	1	1	0	0
1	62	1	0	34	8	1	0	0	0	0
1	62	2	0	98	15	7	2	0	0	0
1	62	3	1	71	4	2	0	0	0	0
1	63	1	0	43	2	1	0	0	0	0
1	63	2	0	141	23	3	1	0	0	0
1	63	3	0	103	2	0	0	0	0	0
1	64	1	0	42	3	1	0	0	0	0
1	64	2	1	142	16	2	1	0	0	0
1	64	3	0	75	5	1	1	0	0	0
1	65	1	0	34	5	0	0	0	0	0
1	65	2	0	113	12	4	2	0	0	0
1	65	3	1	71	9	0	0	0	0	0
1	66	1	0	36	6	0	0	0	0	0
1	66	2	0	110	19	3	1	0	0	0
1	66	3	0	73	7	1	0	0	0	0
2	55	1	1	17	2	0	0	0	0	0
2	55	2	10	139	17	1	2	0	0	0
2	55	3	2	26	3	1	0	0	0	0
2	56	1	1	14	3	0	0	0	0	0
2	56	2	6	97	19	5	1	0	1	0
2	56	3	1	21	5	0	1	0	0	0
2	57	1	1	21	2	1	3	0	0	0
2	57	2	6	127	19	2	2	0	0	0
2	57	3	1	24	2	1	0	0	0	0
2	58	1	3	13	3	2	1	0	0	0
2	58	2	6	160	25	1	2	0	0	0
2	58	3	3	29	0	0	0	0	0	0
2	59	1	5	10	3	0	0	0	0	0
2	59	2	10	140	15	5	1	1	0	0
2	59	3	2	23	1	1	0	0	0	0
2	60	1	2	17	0	1	0	0	0	0
2	60	2	8	91	18	2	1	0	0	0
2	60	3	1	22	3	0	0	0	0	0
2	61	1	4	13	2	0	0	0	0	0
2	61	2	3	167	21	2	0	0	0	0
2	61	3	0	19	4	1	0	0	0	0
2	62	1	5	12	2	1	0	0	0	0
2	62	2	7	159	12	0	0	0	0	0
2	62	3	3	26	2	2	0	0	0	0
2	63	1	5	23	3	3	0	0	0	0
2	63	2	6	184	20	2	0	0	0	0
2	63	3	2	30	0	0	0	0	0	0
