	Zakopianska - Zbrojarzy Junction, P31-04.INT - 76									

0	Zakopianska Jugowicka - 76075, 75076									

1	Zbrojarzy - 76078, 78076									

2	Zakopianska Wadowicka - 76079, 79076									

3	Zbrojarzy CARREFOUR - 76077, 77076									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	9	0	0	0	0	0	0
0	55	2	4	209	40	6	2	0	0	0
0	55	3	0	0	1	1	1	1	0	0
0	56	1	0	9	3	1	0	0	0	0
0	56	2	6	203	47	6	2	0	0	0
0	56	3	0	3	0	0	2	0	0	0
0	57	1	0	8	2	0	0	0	0	0
0	57	2	5	196	57	13	5	0	0	0
0	57	3	0	2	6	0	1	0	0	0
0	58	1	0	5	0	0	0	0	0	0
0	58	2	3	170	29	8	2	0	0	0
0	58	3	0	4	1	1	0	0	0	0
0	59	1	0	6	1	0	2	3	0	0
0	59	2	6	152	36	8	1	0	0	0
0	59	3	0	4	0	1	0	0	0	0
0	60	1	0	8	1	0	0	0	0	0
0	60	2	6	192	36	5	3	0	0	0
0	60	3	0	2	0	0	0	0	0	0
0	61	1	0	12	0	0	0	0	0	0
0	61	2	3	221	30	12	7	0	0	0
0	61	3	0	4	0	0	0	0	0	0
0	62	1	0	11	2	0	0	0	0	0
0	62	2	3	178	37	8	7	0	0	0
0	62	3	0	2	3	1	0	0	0	0
0	63	1	0	12	2	0	0	0	0	0
0	63	2	9	304	38	11	5	2	0	0
0	63	3	0	4	1	0	0	0	0	0
0	64	1	0	10	0	0	0	0	0	0
0	64	2	7	183	29	15	4	1	0	0
0	64	3	0	4	0	0	0	0	0	0
0	65	1	0	13	2	0	1	0	0	0
0	65	2	8	165	40	5	1	0	0	0
0	65	3	0	2	0	0	0	0	0	0
0	66	1	0	10	0	0	0	0	0	0
0	66	2	8	196	24	8	5	0	0	0
0	66	3	0	3	0	0	0	0	0	0
1	55	1	0	24	4	1	0	0	0	0
1	55	2	0	13	0	0	0	0	0	0
1	55	3	0	5	1	0	0	0	0	0
1	56	1	0	20	1	0	0	0	0	0
1	56	2	0	19	2	0	0	0	0	0
