	Zielinskiego - Praska Junction, 15 P-73 - 50									

0	Zielinskiego Bogdana - 50054, 54050									

1	Praska Tyniecka - 50052, 52050									

2	Zwierzyniecki Most - 50182, 182050									

3	Praska Szwedzka - 50051, 51050									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	11	2	0	0	0	0	0
0	55	2	0	39	6	1	0	0	0	0
0	55	3	0	5	0	0	0	0	0	0
0	56	1	0	20	5	0	0	0	0	0
0	56	2	4	85	20	5	1	0	0	0
0	56	3	0	1	0	0	0	0	0	0
0	57	1	0	15	3	0	1	0	1	0
0	57	2	1	93	23	5	1	0	2	0
0	57	3	0	2	1	0	0	0	1	0
0	58	1	0	20	1	0	0	0	0	0
0	58	2	0	90	14	1	2	0	1	0
0	58	3	0	0	1	0	0	0	0	0
0	59	1	0	23	7	2	0	0	0	0
0	59	2	0	94	30	5	0	0	0	0
0	59	3	0	1	1	0	0	0	1	0
0	60	1	0	21	4	0	0	0	0	0
0	60	2	2	100	16	1	1	0	1	0
0	60	3	0	2	1	0	0	0	1	0
0	61	1	0	29	3	1	0	0	0	0
0	61	2	1	137	17	1	2	0	9	0
0	61	3	0	1	1	0	0	0	1	0
0	62	1	0	36	3	0	0	0	0	0
0	62	2	1	126	20	2	2	1	3	0
0	62	3	0	0	1	0	0	0	1	0
0	63	1	0	39	6	1	0	0	0	0
0	63	2	3	138	16	1	2	0	4	0
0	63	3	0	1	1	0	0	0	1	0
0	64	1	0	24	4	0	0	0	0	0
0	64	2	2	132	14	1	0	2	0	0
0	64	3	0	1	0	0	0	0	0	0
0	65	1	0	30	3	1	0	0	0	0
0	65	2	0	123	19	4	0	2	0	0
0	65	3	0	1	1	0	0	0	1	0
0	66	1	0	22	5	0	0	0	0	0
0	66	2	1	119	19	4	0	1	0	0
0	66	3	0	1	1	0	0	0	1	0
1	55	1	0	4	2	1	0	0	0	0
1	55	2	1	6	1	0	0	0	0	0
1	55	3	0	22	1	2	0	0	0	0
1	56	1	0	1	1	1	0	0	0	0
1	56	2	1	16	1	0	0	0	1	0
1	56	3	0	23	1	1	0	0	0	0
1	57	1	0	6	2	1	0	0	0	0
1	57	2	1	10	1	0	0	0	1	0
1	57	3	0	16	2	2	0	0	0	0
1	58	1	0	9	2	1	0	0	0	0
1	58	2	1	1	1	0	0	0	1	0
1	58	3	0	22	1	1	0	0	0	0
1	59	1	0	23	3	1	0	0	0	0
1	59	2	1	6	1	0	0	0	1	0
1	59	3	0	6	2	2	0	0	0	0
1	60	1	0	50	1	1	0	0	0	0
1	60	2	2	15	1	0	0	0	1	0
1	60	3	0	25	1	4	0	0	0	0
1	61	1	0	35	4	1	0	0	0	0
1	61	2	1	14	2	0	0	0	0	0
1	61	3	0	28	4	1	0	0	0	0
1	62	1	0	43	2	0	0	0	0	0
1	62	2	1	21	3	0	0	0	1	0
1	62	3	0	30	1	0	0	0	0	0
1	63	1	0	44	3	0	0	0	0	0
1	63	2	1	19	0	0	0	0	1	0
1	63	3	0	24	3	1	0	0	0	0
1	64	1	0	37	3	0	0	0	0	0
1	64	2	2	14	1	0	0	0	2	0
1	64	3	0	22	1	3	0	0	0	0
1	65	1	0	33	2	0	0	0	0	0
1	65	2	2	15	2	0	0	0	0	0
1	65	3	0	18	5	0	0	0	0	0
1	66	1	0	40	4	0	0	0	0	0
1	66	2	0	13	0	0	0	0	0	0
1	66	3	0	16	1	0	0	0	0	0
2	55	1	0	6	1	0	0	1	0	0
2	55	2	1	80	6	2	1	1	0	0
2	55	3	0	29	3	1	0	0	0	0
2	56	1	0	2	2	0	0	1	0	0
2	56	2	1	2	2	2	1	1	0	0
2	56	3	0	22	2	1	0	0	0	0
2	57	1	0	6	1	0	0	1	0	0
2	57	2	1	11	10	1	1	1	0	0
2	57	3	0	20	2	1	0	0	0	0
2	58	1	0	7	1	0	0	0	0	0
2	58	2	1	51	4	1	1	1	0	0
2	58	3	0	22	4	1	0	0	0	0
2	59	1	0	3	1	0	0	0	0	0
2	59	2	0	66	4	2	0	0	0	0
2	59	3	0	19	0	1	0	0	0	0
2	60	1	0	2	2	0	0	0	0	0
2	60	2	0	75	13	1	1	0	0	0
2	60	3	0	22	4	0	0	0	0	0
2	61	1	0	8	0	0	0	0	0	0
2	61	2	0	110	10	1	1	0	0	0
2	61	3	0	54	6	0	0	0	0	0
2	62	1	0	11	4	0	0	0	0	0
2	62	2	1	102	9	5	0	1	0	0
2	62	3	0	45	4	0	0	0	0	0
2	63	1	0	20	3	0	0	1	0	0
2	63	2	1	114	14	1	0	0	0	0
2	63	3	0	50	13	1	0	0	0	0
2	64	1	0	6	0	0	0	0	0	0
2	64	2	0	104	20	4	0	1	0	0
2	64	3	0	45	5	0	0	0	0	0
2	65	1	0	8	1	0	0	0	0	0
2	65	2	1	87	26	5	0	0	0	0
2	65	3	0	57	5	0	0	0	0	0
2	66	1	0	5	0	0	0	0	0	0
2	66	2	1	120	16	1	1	1	0	0
