from;to;count;avg.;duration;<-std;dev.;avg.;velocity;<-[kph]
A15;A20;1218;15,1;5,4;1,26;34,0
A15;A16;654;20,9;4,6;1,48;40,0
A18;A17;430;29,0;13,5;0,72;19,5
A61;A60;570;42,8;6,6;1,57;42,3
A17;A18;425;17,0;5,6;1,24;33,4
A25;A24;1660;104,0;47,4;0,64;17,4
A17;A19;636;21,1;11,5;0,62;16,6
A21;A22;1269;17,0;1,1;1,77;47,7
A60;A61;575;43,8;7,1;1,53;41,3
A22;A23;1269;18,5;6,0;1,24;33,6
A22;A21;1432;58,8;33,1;0,51;13,8
A19;A17;623;22,7;12,1;0,57;15,4
A19;A16;651;21,3;4,7;1,45;39,2
A24;A25;1604;258,5;239,5;0,26;7,0
A24;A23;1537;35,4;12,3;1,27;34,3
A60;A18;23;43,6;3,4;1,42;38,4
A18;A60;29;45,8;5,6;1,35;36,6
A25;A98;1350;81,6;21,5;1,26;34,1
A98;A25;1421;216,2;175,0;0,48;12,9
A21;A14;1351;49,1;18,3;1,08;29,2
A23;A22;1432;13,2;1,1;1,74;47,0
A16;A19;634;28,1;10,3;1,10;29,7
A20;A14;1163;37,8;20,2;0,58;15,7
A16;A15;657;28,0;9,7;1,11;29,9
A20;A15;1209;18,6;8,9;1,02;27,6
A23;A24;1469;101,8;55,4;0,44;11,9
A14;A21;1147;78,6;33,9;0,67;18,2
A14;A20;1199;16,7;5,0;1,32;35,7
