avg_velocity,
0,0
1,591603
1,5849463
1,5147793
1,4811394
1,469502
1,4462323
1,4152155
1,3721868
1,3453525
1,3220782
1,2957067
1,269558
1,2502128
1,2380127
1,2219253
1,2080313
1,1923628
1,1787935
1,1714476
1,1563199
1,1502036
1,1387533
1,1355507
1,125596
1,1192814
1,1141812
1,1072521
1,1024032
1,0984974
1,0919268
1,0898389
1,0824386
1,0786762
1,0739415
1,069832
1,0644044
1,0600516
1,0524362
1,049866
1,044069
1,0401373
1,036698
1,0312587
1,0262985
1,0234054
1,0168567
1,0128435
1,0100688
1,0028535
1,0001655
0,9958194
0,9922491
0,98947626
0,98560923
0,98170346
0,9789082
0,9768865
0,9736887
0,9698009
0,96882266
0,96435785
0,96119744
0,9588991
0,9531491
0,9489484
0,942907
0,93808126
0,9349905
0,92986864
0,92739254
0,92262846
0,9181545
0,9139367
0,91112185
0,9076161
0,90407676
0,9006214
0,89756894
0,8934151
0,8890557
0,8854942
0,8827157
0,8814477
0,8756469
0,8732632
0,8693457
0,8643513
0,8622765
0,857392
0,8510186
0,84893197
0,8444142
0,8410324
0,83696294
0,83116126
0,82576245
0,8223825
0,817592
0,8154488
0,8117932
0,8065486
0,8024739
0,7982816
0,79584384
0,79239136
0,7888353
0,78614926
0,78419954
0,7798068
0,7772904
0,77501315
0,76904553
0,764872
0,7623986
0,758777
0,75261056
0,749513
0,7459541
0,7420175
0,737819
0,73402447
0,7311777
0,7250381
0,7219116
0,71656317
0,7114805
0,7049447
0,7007024
0,695702
0,6908312
0,6867465
0,6795847
0,67587095
0,670122
0,66543156
0,6603457
0,6554081
0,6505872
0,6458361
0,63998044
0,63514656
0,63129854
0,62732357
0,6246675
0,6224938
0,6208161
0,61908835
0,6167836
0,6154827
0,61432093
0,6141287
