	29 Listopada - Wilenska Junction, S58-04.INT - 135									

0	29 Listopada Prandoty - 135118, 118135									

1	Wilenska - 135185, 185135									

2	29 Listopada Opolska - 135136, 136135									

3	Wilenska - 135186, 186135									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	5	0	0	0	0	0	0
0	55	2	5	287	46	3	3	0	0	0
0	55	3	3	38	3	0	0	0	0	0
0	56	1	0	6	0	0	0	0	0	0
0	56	2	6	333	38	8	1	0	1	0
0	56	3	3	48	0	0	0	1	1	0
0	57	1	0	7	0	0	0	0	0	0
0	57	2	8	294	37	17	1	0	1	0
0	57	3	3	58	3	0	0	0	0	0
0	58	1	0	10	0	0	0	0	0	0
0	58	2	4	325	28	5	1	0	1	0
0	58	3	2	43	2	0	0	0	0	0
0	59	1	0	3	0	0	0	0	0	0
0	59	2	10	276	38	12	3	2	0	0
0	59	3	3	38	5	0	0	0	0	0
0	60	1	0	7	0	0	0	0	0	0
0	60	2	7	299	33	3	5	2	0	0
0	60	3	4	44	4	1	0	0	0	0
0	61	1	0	4	0	0	0	0	0	0
0	61	2	10	438	22	1	4	0	0	0
0	61	3	2	35	3	0	0	0	0	0
0	62	1	0	11	0	0	0	0	0	0
0	62	2	5	375	27	5	3	0	1	0
0	62	3	3	39	3	0	0	0	0	0
0	63	1	0	3	0	0	0	0	0	0
0	63	2	11	261	23	6	2	0	1	0
0	63	3	2	41	0	0	0	0	1	0
0	64	1	0	9	0	0	0	0	0	0
0	64	2	8	279	30	6	3	0	0	0
0	64	3	3	48	3	0	0	0	0	0
0	65	1	0	6	0	0	0	0	0	0
0	65	2	8	336	22	7	1	0	1	0
0	65	3	2	54	2	0	0	0	0	0
0	66	1	0	4	0	0	0	0	0	0
0	66	2	7	204	30	6	3	0	1	0
0	66	3	3	48	1	0	0	1	0	0
1	55	1	0	8	0	0	0	0	0	0
1	55	2	0	4	0	0	0	0	0	0
1	55	3	0	3	0	0	0	0	0	0
1	56	1	0	15	2	0	0	0	0	0
1	56	2	0	7	0	0	0	0	0	0
1	56	3	0	12	2	0	0	0	0	0
1	57	1	0	5	0	0	0	0	0	0
1	57	2	0	2	0	0	0	0	1	0
1	57	3	0	2	0	0	0	0	0	0
1	58	1	0	6	1	0	0	0	0	0
1	58	2	0	3	0	0	0	0	0	0
1	58	3	0	4	1	0	0	0	0	0
1	59	1	0	6	0	0	0	0	0	0
1	59	2	0	2	0	0	0	0	0	0
1	59	3	0	7	0	0	0	0	0	0
1	60	1	0	9	1	0	0	0	0	0
1	60	2	0	4	0	0	0	0	0	0
1	60	3	0	10	0	0	0	0	0	0
1	61	1	0	8	1	1	0	0	0	0
1	61	2	0	2	0	0	0	0	0	0
1	61	3	0	10	1	0	0	0	0	0
1	62	1	0	14	1	0	0	0	0	0
1	62	2	0	1	0	0	0	0	0	0
1	62	3	0	20	0	0	0	0	1	0
1	63	1	0	6	1	0	0	1	0	0
1	63	2	0	3	0	0	0	0	0	0
1	63	3	0	7	0	0	0	0	0	0
1	64	1	0	5	0	0	0	0	0	0
1	64	2	0	2	1	0	0	0	0	0
1	64	3	0	6	0	0	0	0	0	0
1	65	1	0	5	1	0	0	0	0	0
1	65	2	0	4	0	0	0	0	1	0
1	65	3	0	3	1	0	0	0	1	0
1	66	1	0	4	0	0	0	0	0	0
1	66	2	0	3	0	0	0	0	0	0
1	66	3	0	6	0	0	0	0	0	0
2	55	1	0	27	2	0	0	0	0	0
2	55	2	10	166	20	8	2	0	0	0
2	55	3	0	8	0	0	0	0	0	0
2	56	1	0	12	4	0	0	0	0	0
2	56	2	7	221	21	6	0	0	0	0
2	56	3	0	6	2	0	0	0	0	0
2	57	1	0	18	1	0	0	0	0	0
2	57	2	8	151	25	7	2	0	3	0
2	57	3	0	4	1	0	0	0	0	0
2	58	1	0	14	2	0	0	0	0	0
2	58	2	9	225	21	3	1	1	0	0
2	58	3	0	11	1	0	0	0	0	0
2	59	1	0	15	7	0	0	0	0	0
2	59	2	6	192	18	5	1	0	0	0
2	59	3	0	7	0	1	0	0	0	0
2	60	1	0	20	0	0	0	0	0	0
2	60	2	7	227	16	3	1	0	0	0
2	60	3	0	6	0	0	0	0	0	0
2	61	1	0	10	2	0	0	0	0	0
2	61	2	9	300	18	3	1	0	1	0
2	61	3	0	11	0	0	0	0	0	0
2	62	1	0	16	1	0	0	0	0	0
2	62	2	7	163	25	7	2	2	0	0
2	62	3	0	7	1	0	0	1	0	0
2	63	1	0	13	0	0	0	0	0	0
2	63	2	6	200	8	4	2	1	0	0
2	63	3	0	4	0	0	0	0	0	0
2	64	1	1	10	4	1	0	0	0	0
2	64	2	6	247	24	4	2	0	0	0
2	64	3	0	8	0	0	0	0	0	0
2	65	1	4	19	1	0	0	0	0	0
2	65	2	7	238	19	0	1	1	0	0
2	65	3	0	1	0	0	0	0	0	0
2	66	1	0	20	5	0	0	0	0	0
2	66	2	6	135	16	5	2	0	0	0
2	66	3	0	4	0	0	0	0	0	0
3	55	1	3	38	7	0	0	0	0	0
3	55	2	0	1	0	0	0	0	0	0
3	55	3	0	27	5	0	0	0	0	0
3	56	1	1	27	3	1	0	0	1	0
3	56	2	0	1	0	0	0	0	0	0
3	56	3	0	36	2	0	0	0	0	0
3	57	1	0	3	24	3	1	0	1	0
3	57	2	0	2	0	0	0	0	0	0
3	57	3	0	24	1	0	0	0	0	0
3	58	1	3	35	1	0	0	0	0	0
3	58	2	0	1	0	0	0	0	0	0
3	58	3	0	32	2	1	0	0	0	0
3	59	1	3	51	3	0	0	0	0	0
3	59	2	0	2	0	0	0	0	0	0
3	59	3	0	33	2	0	0	0	0	0
3	60	1	3	42	4	0	0	0	0	0
