	"Andersa - Braci Schindlerow Junction, H43-04.INT - 163"									

0	"Braci Schindlerow - 163165, 165163"									

1	"Andersa Okulickiego - 163160, 160163"									

2	"Dunikowskiego - 163164, 164163"									

3	"Andersa - 163166, 166163"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	22	6	0	0	0	0	0
0	55	2	0	17	0	0	0	0	0	0
0	55	3	0	13	2	0	0	0	0	0
0	56	1	0	23	3	0	0	0	0	0
0	56	2	0	26	3	0	0	0	0	0
0	56	3	0	14	3	0	0	0	0	0
0	57	1	0	20	0	0	0	0	0	0
0	57	2	0	10	1	0	0	0	2	0
0	57	3	0	8	0	0	0	0	0	0
0	58	1	0	21	5	0	0	0	0	0
0	58	2	0	25	0	0	0	0	0	0
0	58	3	0	9	1	0	0	0	0	0
0	59	1	0	29	1	0	0	0	0	0
0	59	2	0	26	2	0	0	0	0	0
0	59	3	0	14	1	0	0	0	0	0
0	60	1	0	18	0	0	0	0	0	0
0	60	2	0	19	1	0	0	0	0	0
0	60	3	0	12	3	0	0	0	0	0
0	61	1	0	29	2	0	0	2	0	0
0	61	2	0	18	1	0	0	0	0	0
0	61	3	0	12	2	0	0	0	0	0
0	62	1	0	35	2	0	0	0	0	0
0	62	2	0	34	2	0	0	1	0	0
0	62	3	0	11	1	0	0	0	0	0
0	63	1	0	39	3	0	0	0	0	0
0	63	2	0	27	3	0	0	0	0	0
0	63	3	0	13	1	0	0	0	0	0
0	64	1	0	27	2	0	0	1	0	0
0	64	2	0	23	1	0	0	0	0	0
0	64	3	0	12	0	0	0	0	0	0
0	65	1	0	33	3	0	0	0	0	0
0	65	2	0	31	2	0	0	0	0	0
0	65	3	0	12	0	0	0	0	0	0
0	66	1	0	35	0	0	0	0	0	0
0	66	2	0	18	0	0	0	0	0	0
0	66	3	0	7	2	0	0	0	0	0
1	55	1	2	37	5	0	0	0	0	0
1	55	2	9	159	18	1	0	0	0	0
1	55	3	0	26	2	0	0	0	0	0
1	56	1	1	33	2	0	0	0	0	0
1	56	2	4	192	18	4	0	0	0	0
1	56	3	0	15	2	0	0	0	0	0
1	57	1	0	25	3	0	0	0	0	0
1	57	2	6	111	15	6	0	0	2	0
1	57	3	0	29	0	0	0	0	0	0
1	58	1	2	37	7	0	0	0	0	0
1	58	2	6	153	21	2	0	1	0	0
1	58	3	0	30	0	0	0	0	0	0
1	59	1	1	28	6	0	0	0	0	0
1	59	2	9	159	23	3	0	1	0	0
1	59	3	0	25	5	0	0	0	0	0
1	60	1	1	27	10	0	0	0	0	0
1	60	2	8	177	28	2	0	0	0	0
1	60	3	0	25	4	0	0	1	0	0
1	61	1	1	31	7	1	0	0	0	0
1	61	2	7	181	21	0	0	2	0	0
1	61	3	0	33	0	0	0	2	0	0
1	62	1	1	42	2	1	0	0	0	0
1	62	2	6	191	28	3	0	0	3	0
1	62	3	0	38	2	0	0	1	0	0
1	63	1	1	41	7	0	0	0	0	0
1	63	2	6	211	27	7	0	0	0	0
1	63	3	0	37	1	0	0	0	0	0
1	64	1	1	29	5	1	0	0	0	0
1	64	2	7	234	22	1	0	0	2	0
1	64	3	0	31	5	0	0	0	0	0
1	65	1	2	26	12	0	0	0	0	0
1	65	2	10	210	14	4	0	0	1	0
1	65	3	0	34	0	0	0	0	0	0
