	Armii Krajowej - Bronowicka Junction, 2 K-31, 2 K-31a, 2 K-31b, 2 K-31c - 6

0	Armii Krajowej Zarzecze - 6008, 8006

1	Balicka - 6007, 7006

2	Armii Krajowej Conrada - 6005, 5006

3	Bronowicka - 6010, 10006


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	2	0	0	0	0	0	0
0	55	2	2	74	10	2	0	1	0	0
0	55	3	0	11	2	0	0	0	0	0
0	56	1	3	1	1	0	0	0	0	0
0	56	2	9	155	23	5	0	0	0	0
0	56	3	0	12	2	0	0	0	0	0
0	57	1	2	2	0	0	0	0	0	0
0	57	2	8	113	24	8	1	0	0	0
0	57	3	0	5	1	3	0	0	0	0
0	58	1	2	2	2	0	0	0	0	0
0	58	2	7	123	20	4	1	0	0	0
0	58	3	0	12	2	0	0	0	0	0
0	59	1	7	6	1	0	0	0	0	0
0	59	2	8	157	24	2	0	0	1	0
0	59	3	1	11	3	1	0	0	0	0
0	60	1	1	5	0	0	0	0	0	0
0	60	2	9	171	24	3	0	0	0	0
0	60	3	0	14	1	0	0	0	0	0
0	61	1	3	3	0	0	0	0	0	0
0	61	2	4	193	18	5	0	0	0	0
0	61	3	0	12	4	0	1	0	0	0
0	62	1	3	3	0	0	0	0	0	0
0	62	2	8	190	24	3	2	0	0	0
0	62	3	0	8	1	0	0	0	0	0
0	63	1	4	4	1	1	0	0	0	0
0	63	2	10	205	30	0	0	2	0	0
0	63	3	0	16	0	0	0	0	0	0
0	64	1	2	3	1	0	0	0	0	0
0	64	2	7	150	28	1	1	2	0	0
0	64	3	0	16	1	0	0	0	0	0
0	65	1	3	5	1	0	0	0	0	0
0	65	2	7	175	25	1	0	0	0	0
0	65	3	0	15	3	0	0	0	0	0
0	66	1	1	2	0	0	0	0	0	0
0	66	2	4	165	16	2	0	1	0	0
0	66	3	0	10	1	0	0	0	0	0
1	55	1	4	33	3	0	0	0	0	0
1	55	2	6	70	8	0	0	0	0	0
1	55	3	2	3	3	0	0	0	0	0
1	56	1	4	30	5	3	0	0	0	0
1	56	2	1	80	11	4	1	0	0	0
1	56	3	1	5	2	0	0	0	0	0
1	57	1	2	47	6	1	0	0	0	0
1	57	2	1	100	11	4	0	0	1	0
1	57	3	3	6	0	0	0	0	0	0
1	58	1	3	44	6	0	0	0	0	0
1	58	2	4	80	14	1	0	0	1	0
1	58	3	2	4	0	1	0	0	0	0
1	59	1	5	50	5	0	0	0	0	0
1	59	2	6	100	9	2	0	0	0	0
1	59	3	5	4	1	0	0	0	0	0
1	60	1	5	40	2	1	0	0	0	0
1	60	2	6	110	14	0	0	2	1	0
1	60	3	2	3	0	0	0	0	0	0
1	61	1	3	50	3	3	0	0	0	0
1	61	2	3	90	8	5	0	1	1	0
1	61	3	3	3	0	1	0	0	0	0
1	62	1	4	40	4	0	0	0	0	0
1	62	2	5	80	8	0	0	0	1	0
1	62	3	2	2	1	1	0	0	0	0
