	Rondo Barei, 25 S-62, 25 S-62a - 139

0	Lublanska Mlynska - 139138, 138139

1	Dobrego Pasterza 29 Listopada - 139142, 142139

2	Strzelcow Powstancow - 139141, 141139

3	Dobrego Pasterza - 139140, 140139


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	5	31	5	0	0	0	0	0
0	56	1	4	33	6	1	0	0	0	0
0	57	1	4	41	6	0	0	0	0	0
0	58	1	4	36	4	1	0	0	0	0
0	59	1	4	34	6	1	0	0	0	0																		
0	60	1	6	45	4	0	0	0	0	0																		
0	61	1	4	44	7	0	0	0	0	0																		
0	62	1	4	39	4	1	0	0	0	0																		
0	63	1	4	34	5	0	0	0	0	0																		
0	64	1	6	43	6	1	0	0	0	0																		
0	65	1	3	37	5	0	0	0	0	0																		
0	66	1	2	30	6	0	0	0	0	0																		
0	55	2	1	35	5	1	0	0	0	0																		
0	56	2	1	36	11	1	1	0	1	0																		
0	57	2	1	49	6	1	0	0	0	0																		
0	58	2	2	45	7	0	0	0	0	0																		
0	59	2	1	54	11	1	0	0	1	0																		
0	60	2	2	40	4	0	0	0	0	0																		
0	61	2	1	44	6	2	0	0	1	0																		
0	62	2	1	54	6	1	0	0	0	0																		
0	63	2	1	56	7	1	0	0	0	0																		
0	64	2	1	61	4	0	0	0	1	0																		
0	65	2	2	67	7	1	0	0	1	0																		
0	66	2	1	38	4	0	0	0	1	0																		
0	55	3	10	149	18	1	0	1	0	0																		
0	56	3	10	118	16	2	0	0	0	0																		
0	57	3	12	159	12	0	0	0	0	0																		
0	58	3	15	169	23	2	2	0	0	0																		
0	59	3	13	190	22	0	0	0	0	0																		
0	60	3	10	158	6	0	0	0	0	0																		
0	61	3	10	134	15	0	0	1	0	0																		
0	62	3	13	147	11	0	0	0	0	0																		
0	63	3	16	179	16	0	0	0	0	0																		
0	64	3	15	188	25	1	0	0	2	0																		
0	65	3	15	148	20	0	0	0	0	0																		
0	66	3	12	133	16	2	0	0	0	0																		
1	55	1	1	23	3	0	0	0	0	0																		
1	56	1	1	24	8	0	0	0	0	0																		
1	57	1	0	33	4	0	0	0	0	0																		
1	58	1	2	30	5	0	0	0	0	0																		
1	59	1	1	36	7	0	0	0	0	0																		
1	60	1	2	27	2	0	0	0	0	0																		
1	61	1	1	29	4	1	0	0	0	0																		
1	62	1	1	36	4	0	0	0	0	0																		
1	63	1	1	37	5	0	0	0	0	0																		
1	64	1	1	40	2	0	0	0	0	0																		
1	65	1	2	44	4	0	0	0	0	0																		
1	66	1	1	25	2	0	0	0	1	0																		
1	55	2	7	68	9	2	0	1	0	0																		
1	56	2	6	39	6	1	1	0	0	0																		
1	57	2	4	44	12	1	0	0	0	0																		
1	58	2	9	48	6	1	1	0	0	0																		
1	59	2	5	44	13	1	0	0	0	0																		
