	Central Square Junction, 41 H-1, 41 H-1a, 41 H-1b, 41 H-1b - 169

0	Jana Pawla II Pokoju - 169153, 153169

1	Andersa - 169168, 168169

2	Solidarnosci - 169171, 171169

3	Jana Pawla II Centralny - 169170, 170169


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	18	2	0	0	0	0	0
0	55	2	1	41	5	0	0	0	1	0
0	55	3	1	170	25	6	3	0	0	0
0	56	1	1	19	2	0	0	0	0	0
0	56	2	1	43	5	1	0	1	0	0
0	56	3	4	148	18	2	11	1	0	0
0	57	1	2	24	1	0	0	0	0	0
0	57	2	4	55	3	1	0	0	0	0
0	57	3	3	185	27	10	5	2	0	0
0	58	1	0	17	2	1	0	0	0	0
0	58	2	1	39	4	1	0	0	0	0
0	58	3	3	136	20	6	2	0	2	0
0	59	1	1	14	1	0	0	0	0	0
0	59	2	2	34	3	0	1	0	0	0
0	59	3	4	170	24	2	3	0	0	0
0	60	1	2	18	1	0	0	0	0	0
0	60	2	4	43	3	0	0	0	0	0
0	60	3	2	181	21	7	5	0	1	0
0	61	1	1	22	1	0	0	0	0	0
0	61	2	2	52	2	1	0	0	0	0
0	61	3	6	190	26	4	2	1	1	0
0	62	1	1	18	1	0	0	0	0	0
0	62	2	3	42	3	0	0	0	0	0
0	62	3	5	188	29	6	5	1	1	0
0	63	1	1	23	2	1	0	0	0	0
0	63	2	2	53	4	1	0	0	0	0
0	63	3	3	192	16	9	4	1	0	0
0	64	1	1	22	2	1	0	0	0	0
0	64	2	3	50	4	2	0	0	0	0
0	64	3	5	199	16	2	5	1	0	0
0	65	1	2	17	6	0	0	1	0	0
0	65	2	4	41	15	0	0	1	0	0
0	65	3	3	220	32	4	5	0	2	0
0	66	1	1	26	2	0	0	0	0	0
0	66	2	3	60	4	1	1	1	1	0
0	66	3	1	205	16	7	4	0	0	0
1	55	1	1	83	7	0	1	0	0	0
1	55	2	1	41	4	0	0	0	0	0
1	55	3	1	18	2	0	0	0	0	0
1	56	1	2	70	3	0	2	0	0	0
1	56	2	1	42	6	1	1	0	0	0
1	56	3	0	18	2	0	0	0	0	0
1	57	1	2	54	14	3	0	1	0	0
