	"Dabrowskiej - Medweckiego Junction, H6-04.INT - 154"									

0	"Dabrowskiej Jana Pawla II - 154152, 152154"									

1	"Medweckiego - 154151, 151154"									

2	"Dabrowskiej - 154166, 166154"									

3	"Medweckiego Bienczycka - 154155, 155154"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	6	2	0	0	0	0	0
0	55	2	0	33	5	0	0	0	0	0
0	55	3	2	6	0	1	0	0	0	0
0	56	1	0	12	1	0	0	0	0	0
0	56	2	0	29	4	0	0	0	0	0
0	56	3	0	2	1	0	0	0	0	0
0	57	1	0	6	0	0	0	0	0	0
0	57	2	0	37	4	2	0	0	1	0
0	57	3	0	3	1	0	0	0	0	0
0	58	1	0	15	0	0	0	0	0	0
0	58	2	0	61	4	2	0	0	0	0
0	58	3	1	2	0	0	0	0	0	0
0	59	1	0	16	2	1	0	0	0	0
0	59	2	0	75	8	1	0	0	1	0
0	59	3	0	3	4	0	0	0	2	0
0	60	1	0	18	0	0	0	0	0	0
0	60	2	0	60	2	0	0	0	0	0
0	60	3	0	8	0	0	0	0	0	0
0	61	1	0	18	0	0	0	0	0	0
0	61	2	1	75	2	1	0	0	1	0
0	61	3	0	8	4	0	0	0	0	0
0	62	1	0	23	4	0	2	0	0	0
0	62	2	0	101	13	3	0	0	0	0
0	62	3	2	15	4	0	0	0	0	0
0	63	1	0	9	3	0	0	0	0	0
0	63	2	0	36	2	0	0	0	0	0
0	63	3	0	4	0	0	0	0	0	0
0	64	1	0	7	3	0	0	0	0	0
0	64	2	0	38	3	4	0	0	0	0
0	64	3	0	4	1	0	0	0	0	0
0	65	1	0	9	1	0	0	0	0	0
0	65	2	0	43	2	0	0	0	0	0
0	65	3	0	6	2	0	0	0	0	0
0	66	1	0	9	1	0	1	0	0	0
0	66	2	0	46	6	0	0	0	2	0
0	66	3	0	6	0	0	0	0	0	0
1	55	1	1	41	1	0	0	0	0	0
1	55	2	1	14	0	0	0	0	0	0
1	55	3	0	7	0	0	0	0	0	0
1	56	1	2	31	1	0	0	0	1	0
1	56	2	1	24	0	0	0	1	0	0
1	56	3	0	4	0	0	0	0	0	0
1	57	1	1	32	0	0	0	0	0	0
1	57	2	1	13	1	1	0	0	0	0
1	57	3	0	4	0	0	0	0	0	0
1	58	1	1	37	1	1	0	0	0	0
1	58	2	2	15	0	0	0	0	0	0
1	58	3	0	4	0	0	0	0	0	0
1	59	1	1	29	0	0	0	0	0	0
1	59	2	1	18	0	0	0	0	0	0
1	59	3	0	3	0	0	0	0	0	0
1	60	1	2	26	0	0	0	0	0	0
