	"Dietla - Krakowska Junction, 65 S-39 - 107"									

0	"Krakowska - 107104, 104107"									

1	"Dietla - 107081, 81107"									

2	"Stradomska - 107108, 108107"									

3	"Dietla Starowislna - 107109, 109107"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	27	5	2	0	1	0	0
0	55	2	0	26	4	0	0	1	0	0
0	55	3	0	7	2	0	0	0	0	0
0	56	1	0	28	3	3	0	1	0	0
0	56	2	1	30	6	1	0	1	1	0
0	56	3	0	8	1	2	0	0	0	0
0	57	1	2	32	2	2	0	0	0	0
0	57	2	0	28	2	2	0	0	0	0
0	57	3	0	10	2	2	0	0	0	0
0	58	1	0	31	2	0	0	0	0	0
0	58	2	0	13	3	0	0	0	0	0
0	58	3	0	17	5	0	0	1	0	0
0	59	1	0	32	5	0	0	0	0	0
0	59	2	0	22	3	0	0	0	0	0
0	59	3	0	11	3	0	0	0	0	0
0	60	1	0	28	10	0	0	0	0	0
0	60	2	0	18	5	0	0	2	0	0
0	60	3	0	16	1	0	0	0	0	0
0	61	1	2	22	5	0	0	0	0	0
0	61	2	0	20	7	0	0	0	0	0
0	61	3	0	20	3	0	0	0	0	0
0	62	1	0	27	7	0	0	0	0	0
0	62	2	2	20	5	0	0	0	0	0
0	62	3	0	20	7	0	0	0	0	0
0	63	1	0	23	3	0	0	0	0	0
0	63	2	0	20	7	0	0	0	0	0
0	63	3	0	25	3	0	0	0	0	0
0	64	1	2	27	4	0	0	0	0	0
0	64	2	0	22	5	0	0	0	0	0
0	64	3	0	18	2	0	0	0	0	0
0	65	1	2	16	0	0	0	0	0	0
0	65	2	0	20	0	3	0	0	0	0
0	65	3	0	7	3	0	0	0	0	0
0	66	1	2	18	0	0	0	0	0	0
0	66	2	0	27	7	0	0	0	0	0
0	66	3	0	14	3	0	0	0	0	0
1	55	1	1	4	0	0	0	0	0	0
1	55	2	13	271	36	3	0	0	0	0
1	55	3	0	72	16	1	0	1	0	0
1	56	1	1	9	1	0	0	0	0	0
1	56	2	6	209	28	1	0	1	1	0
1	56	3	0	70	3	1	0	1	0	0
1	57	1	5	9	0	0	0	0	0	0
1	57	2	6	224	25	4	0	1	0	0
1	57	3	0	57	6	0	0	0	0	0
1	58	1	1	4	1	0	0	0	0	0
1	58	2	7	225	26	3	1	1	1	0
1	58	3	1	53	4	0	0	0	0	0
1	59	1	3	3	0	0	0	0	0	0
1	59	2	8	213	27	2	0	0	0	0
1	59	3	0	67	17	1	0	0	1	0
1	60	1	4	4	2	0	0	0	0	0
1	60	2	14	223	14	1	0	0	2	0
1	60	3	0	84	9	1	0	1	0	0
1	61	1	1	8	2	0	0	0	0	0
1	61	2	9	204	15	1	0	0	1	0
1	61	3	0	71	6	1	0	1	0	0
1	62	1	1	7	0	0	0	0	0	0
1	62	2	13	207	18	1	1	0	0	0
1	62	3	0	72	6	0	0	1	0	0
1	63	1	1	6	1	0	0	0	0	0
1	63	2	8	234	19	1	0	1	0	0
1	63	3	0	82	12	0	0	0	0	0
1	64	1	3	8	1	0	0	1	0	0
1	64	2	9	242	15	2	1	2	0	0
1	64	3	1	70	4	0	0	0	0	0
1	65	1	1	8	2	0	0	0	0	0
1	65	2	10	233	10	1	1	0	0	0
1	65	3	0	76	9	1	0	0	0	0
1	66	1	2	9	0	0	0	0	0	0
1	66	2	6	247	14	5	1	0	0	0
1	66	3	0	61	5	1	0	0	0	0
2	55	1	0	2	0	0	0	0	0	0
2	55	2	0	20	2	0	0	0	0	0
2	55	3	0	5	1	0	0	0	0	0
