	Grota Roweckiego - Rostworowskiego Junction, P86-04.INT - 60									

0	Rostworowskiego Kobierzynska - 60061, 61060									

1	Grota Roweckiego Bobrzynskiego - 60066, 66060									

2	Rostworowskiego - 60062, 62060									

3	Grota Roweckiego - 60059, 59060									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	5	0	0	0	0	0	0
0	55	2	0	16	3	0	0	0	1	0
0	55	3	0	9	1	0	0	0	1	0
0	56	1	0	3	0	0	0	0	0	0
0	56	2	0	8	5	0	0	1	1	0
0	56	3	0	6	0	0	0	0	0	0
0	57	1	0	5	1	0	0	0	0	0
0	57	2	0	18	2	0	0	0	0	0
0	57	3	0	7	1	1	0	0	0	0
0	58	1	0	9	1	0	0	0	0	0
0	58	2	0	19	2	0	0	0	1	0
0	58	3	0	3	2	0	0	0	0	0
0	59	1	0	6	0	0	0	0	0	0
0	59	2	0	20	2	0	0	0	0	0
0	59	3	0	10	1	0	0	0	0	0
0	60	1	0	12	1	0	0	0	0	0
0	60	2	0	18	3	0	0	0	0	0
0	60	3	0	15	0	0	0	0	0	0
0	61	1	0	2	0	0	0	0	0	0
0	61	2	0	19	1	1	0	0	0	0
0	61	3	0	15	1	0	0	0	0	0
0	62	1	0	4	0	0	0	0	0	0
0	62	2	0	19	3	0	0	0	2	0
0	62	3	0	9	0	0	0	0	1	0
0	63	1	0	3	0	0	0	0	0	0
0	63	2	0	16	4	0	0	0	2	0
0	63	3	0	9	0	0	0	1	1	0
0	64	1	0	2	1	0	0	0	0	0
0	64	2	0	9	3	1	0	0	1	0
0	64	3	0	10	1	0	0	0	3	0
0	65	1	0	3	1	0	0	0	0	0
0	65	2	0	19	3	0	0	0	3	0
0	65	3	0	8	3	0	0	0	2	0
0	66	1	0	2	0	0	0	0	0	0
0	66	2	0	12	1	0	0	0	0	0
0	66	3	0	4	2	0	0	0	0	0
1	55	1	0	11	1	0	0	0	0	0
1	55	2	4	68	10	2	1	0	0	0
1	55	3	0	7	1	0	0	0	0	0
1	56	1	0	9	0	0	0	0	1	0
1	56	2	4	52	8	4	1	0	0	0
1	56	3	0	8	1	0	0	0	0	0
1	57	1	0	3	1	0	0	0	0	0
1	57	2	4	60	13	3	5	0	2	0
1	57	3	0	3	0	0	0	0	0	0
1	58	1	0	10	1	0	0	0	1	0
1	58	2	4	77	11	2	0	0	0	0
1	58	3	0	3	0	0	0	0	0	0
1	59	1	0	13	0	0	0	0	0	0
1	59	2	4	64	12	1	1	0	0	0
1	59	3	0	5	2	1	0	0	0	0
1	60	1	0	10	0	0	0	0	2	0
1	60	2	4	60	8	5	0	0	0	0
1	60	3	0	5	3	0	0	0	0	0
1	61	1	0	11	2	0	0	0	0	0
1	61	2	4	55	12	0	1	0	0	0
1	61	3	0	6	1	0	0	0	0	0
1	62	1	0	9	1	0	0	0	0	0
1	62	2	4	90	13	2	1	3	0	0
1	62	3	0	9	2	0	0	0	0	0
1	63	1	0	15	0	0	0	0	0	0
1	63	2	4	66	10	4	1	0	0	0
1	63	3	0	9	0	0	0	0	0	0
1	64	1	0	18	0	0	0	0	0	0
1	64	2	4	64	7	0	0	0	0	0
1	64	3	0	12	0	0	0	0	0	0
1	65	1	0	9	1	0	0	0	0	0
1	65	2	5	77	11	2	1	0	0	0
1	65	3	0	9	0	0	0	0	0	0
1	66	1	0	17	1	0	0	0	0	0
1	66	2	5	82	6	3	1	0	0	0
1	66	3	0	10	0	0	0	0	0	0
2	55	1	0	12	2	0	0	0	2	0
2	55	2	0	29	4	1	0	0	2	0
2	55	3	0	15	3	0	0	0	2	0
2	56	1	0	14	2	1	0	0	0	0
2	56	2	0	20	1	0	0	0	1	0
2	56	3	0	8	0	0	0	0	1	0
2	57	1	0	7	1	0	0	0	1	0
2	57	2	0	10	4	1	0	0	1	0
2	57	3	0	11	5	0	0	0	1	0
2	58	1	0	10	3	0	0	0	4	0
2	58	2	0	27	5	0	0	0	3	0
2	58	3	0	20	1	0	0	0	1	0
2	59	1	0	6	2	1	0	0	0	0
2	59	2	0	18	3	0	0	0	5	0
2	59	3	0	8	1	0	0	0	1	0
2	60	1	0	10	3	0	0	0	2	0
2	60	2	0	17	2	0	0	0	1	0
2	60	3	0	8	5	1	0	0	0	0
2	61	1	0	20	2	0	0	0	1	0
2	61	2	0	21	9	2	0	0	0	0
2	61	3	0	13	3	0	0	0	3	0
2	62	1	0	16	2	1	0	1	4	0
2	62	2	0	32	2	0	0	0	4	0
2	62	3	0	21	2	1	0	0	2	0
2	63	1	0	15	0	0	0	0	3	0
2	63	2	0	34	2	1	0	0	1	0
2	63	3	0	16	2	0	0	0	0	0
2	64	1	0	13	1	0	0	0	3	0
2	64	2	0	40	4	1	0	0	1	0
2	64	3	0	24	1	0	0	0	2	0
2	65	1	0	13	4	2	0	0	2	0
2	65	2	0	60	7	2	0	0	4	0
2	65	3	0	16	6	0	0	0	5	0
2	66	1	0	11	2	0	0	0	1	0
2	66	2	0	39	5	0	0	2	6	0
2	66	3	0	21	5	0	0	0	3	0
3	55	1	0	10	0	0	0	0	0	0
3	55	2	4	68	15	3	1	0	0	0
3	55	3	0	8	1	0	0	0	0	0
3	56	1	0	6	0	0	0	0	0	0
3	56	2	3	70	13	4	2	0	0	0
3	56	3	0	7	1	0	0	0	0	0
3	57	1	0	9	1	0	0	0	0	0
3	57	2	3	78	7	4	1	0	0	0
3	57	3	0	11	1	0	0	0	0	0
3	58	1	0	14	0	0	0	0	0	0
3	58	2	5	65	16	5	3	0	0	0
3	58	3	0	8	0	0	0	0	0	0
3	59	1	0	8	1	0	0	0	0	0
3	59	2	7	71	4	0	2	0	0	0
3	59	3	0	7	2	0	0	0	0	0
3	60	1	0	7	0	0	0	0	0	0
3	60	2	6	83	7	3	1	0	0	0
3	60	3	0	8	0	0	0	0	0	0
3	61	1	0	10	0	0	0	0	0	0
3	61	2	3	79	10	1	0	0	0	0
3	61	3	0	7	0	0	0	0	0	0
3	62	1	0	16	0	0	0	0	0	0
3	62	2	0	3	83	4	3	0	0	0
3	62	3	0	7	1	1	0	0	0	0
3	63	1	0	13	1	0	0	0	0	0
3	63	2	6	70	9	2	1	0	0	0
3	63	3	0	6	0	0	0	0	0	0
3	64	1	0	11	0	0	0	0	0	0
3	64	2	2	51	5	2	0	0	0	0
3	64	3	0	10	0	0	0	0	0	0
3	65	1	0	9	0	0	0	0	0	0
3	65	2	5	85	4	2	0	1	0	0
3	65	3	0	9	2	0	0	0	2	0
3	66	1	0	8	2	0	0	0	0	0
3	66	2	0	88	6	3	1	0	0	0
3	66	3	0	6	1	1	0	0	0	0
