	Grzegorzecka - Daszynskiego Junction, 60 S-77 - 115

0	Daszynskiego - 115112, 112115

1	Grzegorzecka Dietla - 115109, 109115

2	Lazarza - 115111, 111115

3	Grzegorzecka Pokoju - 115114, 114115


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	20	7	0	0	0	0	0
0	55	2	0	10	2	0	0	0	0	0
0	55	3	0	8	2	0	0	0	0	0
0	56	1	1	21	1	0	0	0	0	0
0	56	2	0	24	2	0	0	0	0	0
0	56	3	0	13	0	0	0	0	0	0
0	57	1	0	34	6	0	0	0	0	0
0	57	2	0	8	3	0	0	0	0	0
0	57	3	0	5	1	0	0	0	0	0
0	58	1	0	22	1	1	0	1	1	0
0	58	2	0	14	0	0	0	0	1	0
0	58	3	0	6	0	0	0	0	0	0
0	59	1	0	30	1	0	0	0	0	0
0	59	2	0	10	2	1	0	0	0	0
0	59	3	0	29	1	0	0	0	0	0
0	60	1	0	29	1	0	0	0	0	0
0	60	2	0	12	3	0	0	0	0	0
0	60	3	0	6	0	0	0	0	0	0
0	61	1	0	22	0	0	0	0	0	0
0	61	2	0	10	1	0	0	0	0	0
0	61	3	0	9	1	0	0	1	0	0
0	62	1	1	55	2	0	0	1	0	0
0	62	2	0	16	2	0	0	0	0	0
0	62	3	0	11	0	0	0	0	0	0
0	63	1	0	38	4	0	0	0	1	0
0	63	2	0	11	2	0	0	0	0	0
0	63	3	0	8	1	0	0	0	0	0
0	64	1	0	39	0	0	0	0	0	0
0	64	2	0	4	2	0	0	0	0	0
0	64	3	0	7	0	0	0	0	0	0
0	65	1	0	52	2	0	0	1	0	0
0	65	2	0	17	1	0	0	0	0	0
0	65	3	0	8	0	0	0	0	0	0
0	66	1	0	23	2	0	0	0	0	0
0	66	2	0	4	4	0	0	0	2	0
0	66	3	0	9	4	0	0	0	0	0
1	55	2	2	181	21	1	0	1	3	0
1	55	3	0	40	3	0	0	0	0	0
1	56	2	2	155	17	1	0	2	1	0
1	56	3	0	29	4	1	0	0	0	0
1	57	2	5	169	7	4	0	2	0	0
1	57	3	0	43	3	0	0	0	0	0
1	58	2	2	151	13	3	0	0	1	0
1	58	3	0	59	1	0	0	0	0	0
1	59	2	4	179	15	2	0	0	0	0
1	59	3	0	40	4	0	0	0	0	0
1	60	2	7	171	14	0	1	1	2	0
1	60	3	1	52	5	1	0	1	0	0
1	61	2	3	165	13	3	1	0	0	0
1	61	3	0	36	1	0	0	0	0	0
1	62	2	2	215	16	1	0	1	4	0
1	62	3	1	44	3	0	0	0	0	0
1	63	2	3	191	12	0	1	1	1	0
1	63	3	0	35	3	0	0	1	0	0
1	64	2	4	185	6	1	0	0	1	0
1	64	3	0	40	3	0	0	1	0	0
1	65	2	2	170	10	0	0	0	0	0
1	65	3	0	28	1	0	0	0	0	0
1	66	2	1	181	8	0	0	1	3	0
1	66	3	0	32	1	1	0	0	0	0
2	55	1	0	14	2	0	0	0	0	0
2	55	2	0	9	0	0	0	0	0	0
2	55	3	0	16	0	0	0	0	0	0
2	56	1	0	18	1	1	0	0	0	0
2	56	2	0	11	0	0	0	0	0	0
2	56	3	0	16	3	0	0	0	0	0
2	57	1	0	15	3	0	0	0	0	0
2	57	2	0	10	2	0	0	0	0	0
2	57	3	0	17	0	0	0	0	0	0
2	58	1	0	20	1	0	0	0	0	0
2	58	2	0	29	2	0	0	1	0	0
2	58	3	0	12	1	0	0	0	0	0
2	59	1	0	15	1	0	0	0	0	0
2	59	2	0	7	1	0	0	0	0	0
2	59	3	0	4	1	0	0	0	0	0
2	60	1	0	14	2	0	0	0	0	0
2	60	2	0	18	0	0	0	0	0	0
2	60	3	0	14	0	0	0	1	0	0
2	61	1	0	14	1	0	0	0	0	0
2	61	2	0	7	0	0	0	0	0	0
2	61	3	0	9	0	0	0	0	0	0
2	62	1	0	23	2	0	0	0	0	0
2	62	2	0	18	3	0	0	0	0	0
2	62	3	0	17	2	0	0	0	0	0
2	63	1	0	23	2	0	0	0	0	0
2	63	2	0	12	2	0	0	0	0	0
2	63	3	0	9	2	0	0	1	1	0
2	64	1	0	29	0	0	0	0	0	0
2	64	2	0	18	0	0	0	0	0	0
2	64	3	0	9	0	0	0	0	0	0
2	65	1	0	8	0	0	0	0	0	0
2	65	2	0	17	0	0	0	0	0	0
2	65	3	0	8	0	0	0	0	0	0
2	66	1	0	9	2	0	0	0	0	0
2	66	2	0	10	1	0	0	0	0	0
2	66	3	0	6	1	0	0	0	0	0
3	55	2	8	282	20	3	0	1	2	0
3	55	3	0	13	1	0	0	0	0	0
3	56	2	1	250	9	1	0	0	2	0
3	56	3	0	15	4	0	0	0	0	0
3	57	2	4	143	18	1	0	0	0	0
3	57	3	0	17	0	0	0	0	0	0
3	58	2	3	240	16	3	0	3	1	0
3	58	3	0	12	3	0	0	0	0	0
3	59	2	1	255	15	2	0	1	1	0
3	59	3	0	8	1	0	0	0	0	0
3	60	2	2	232	21	0	0	2	0	0
3	60	3	0	13	2	0	0	0	0	0
3	61	2	1	237	13	3	0	0	2	0
3	61	3	0	15	2	0	0	0	0	0
3	62	2	4	243	25	1	0	0	2	0
3	62	3	0	13	0	0	0	0	0	0
3	63	2	4	230	17	5	0	1	1	0
3	63	3	0	10	0	0	0	0	0	0
3	64	2	2	250	15	2	0	0	3	0
3	64	3	0	10	1	1	0	0	0	0
3	65	2	5	233	10	3	0	0	0	0
3	65	3	0	6	0	0	0	0	0	0
3	66	2	3	235	10	1	0	0	0	0
3	66	3	0	6	5	0	0	0	0	0
