	"Jana Pawla - Bulwarowa Junction, 42 H-40 - 170"									

0	"Klasztorna - 170132, 132170"									

1	"Jana Pawla II Centralny - 170169, 169170"									

2	"Bulwarowa - 170171, 171170"									

3	"Jana Pawla II - 170179, 179170"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	27	5	1	0	0	0	0
0	55	2	0	44	9	1	0	0	0	0
0	55	3	0	11	1	0	0	0	0	0
0	56	1	0	13	5	0	0	0	0	0
0	56	2	0	58	14	0	0	0	0	0
0	56	3	0	8	0	0	0	0	0	0
0	57	1	0	23	5	1	0	0	0	0
0	57	2	1	61	17	1	0	0	0	0
0	57	3	0	8	4	0	0	0	0	0
0	58	1	1	21	2	0	0	0	0	0
0	58	2	0	54	11	1	0	0	0	0
0	58	3	1	8	0	0	0	0	0	0
0	59	1	0	40	5	1	0	0	0	0
0	59	2	0	41	20	0	0	1	0	0
0	59	3	0	13	0	1	0	0	0	0
0	60	1	0	33	3	1	0	0	0	0
0	60	2	0	54	9	0	0	0	0	0
0	60	3	0	5	0	0	0	0	0	0
0	61	1	1	15	8	1	0	0	0	0
0	61	2	0	69	11	1	0	1	1	0
0	61	3	0	5	0	0	0	0	0	0
0	62	1	0	21	3	0	0	0	0	0
0	62	2	0	72	19	0	0	0	1	0
0	62	3	0	13	0	0	0	0	0	0
0	63	1	0	34	6	0	0	0	0	0
0	63	2	0	60	11	0	0	0	0	0
0	63	3	0	3	0	1	0	0	0	0
0	64	1	0	24	3	0	0	0	0	0
0	64	2	0	60	11	0	0	0	0	0
0	64	3	0	5	2	0	0	0	0	0
0	65	1	0	31	3	0	0	0	0	0
0	65	2	0	86	16	1	0	0	0	0
0	65	3	0	6	2	1	0	0	0	0
0	66	1	0	27	0	0	0	0	0	0
0	66	2	0	67	15	0	0	0	0	0
0	66	3	0	4	0	0	0	0	0	0
1	55	1	4	15	0	0	0	0	0	0
1	55	2	4	66	14	6	0	0	0	0
1	55	3	0	22	4	0	0	0	0	0
1	56	1	2	13	1	0	1	0	0	0
1	56	2	2	82	10	3	6	0	0	0
1	56	3	0	38	8	0	0	0	0	0
1	57	1	3	7	0	0	0	0	0	0
1	57	2	1	72	4	4	5	0	0	0
1	57	3	1	28	4	1	0	0	0	0
1	58	1	0	4	11	4	0	7	0	0
1	58	2	1	72	3	0	1	0	0	0
1	58	3	1	31	2	1	1	0	0	0
1	59	1	4	5	0	0	0	0	0	0
1	59	2	1	80	9	5	6	0	0	0
1	59	3	0	33	4	1	0	0	0	0
1	60	1	5	12	0	0	0	0	0	0
1	60	2	3	88	8	5	4	0	0	0
1	60	3	0	24	7	0	0	0	0	0
1	61	1	5	13	1	0	0	0	0	0
1	61	2	2	85	6	2	5	0	0	0
1	61	3	0	38	4	0	0	0	0	0
1	62	1	3	20	1	1	1	0	0	0
1	62	2	3	95	10	3	4	0	0	0
1	62	3	0	31	6	1	0	0	0	0
1	63	1	4	13	0	0	0	0	0	0
1	63	2	1	75	12	2	2	0	0	0
1	63	3	0	30	0	1	0	0	0	0
1	64	1	3	11	0	0	0	0	0	0
1	64	2	3	81	9	4	1	0	0	0
1	64	3	0	36	4	0	0	1	1	0
1	65	1	4	12	1	0	0	0	0	0
1	65	2	2	93	6	2	5	0	1	0
1	65	3	0	44	4	0	0	0	0	0
1	66	1	3	11	0	0	0	0	0	0
1	66	2	1	90	8	3	4	0	0	0
1	66	3	0	28	1	1	0	0	0	0
