	Kalwaryjska - Legionow Junction, 64 P-2 - 101

0	Kalwaryjska Konopnickiej - 101080, 80101

1	Legionow Jozefa Pilsudskiego - 101104, 104101

2	Kalwaryjska - 101102, 102101


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	50	5	0	0	1	1	0
0	55	2	0	92	13	0	0	0	0	0
0	56	1	0	30	6	0	0	0	2	0
0	56	2	1	53	10	0	0	0	1	0
0	57	1	0	42	2	0	0	0	1	0
0	57	2	0	84	11	0	0	0	0	0
0	58	1	0	42	2	0	0	0	0	0
0	58	2	0	80	15	0	0	0	1	0
0	59	1	0	38	4	0	0	0	0	0
0	59	2	0	66	9	0	0	0	0	0
0	60	1	0	41	3	0	0	0	0	0
0	60	2	0	78	8	0	0	1	0	0
0	61	1	0	41	4	0	0	0	1	0
0	61	2	0	95	16	0	0	0	1	0
0	62	1	0	39	2	0	0	0	0	0
0	62	2	0	84	7	0	0	1	0	0
0	63	1	0	41	2	0	0	0	0	0
0	63	2	0	81	8	0	0	2	0	0
0	64	1	0	30	1	0	0	0	2	0
0	64	2	0	82	5	0	0	0	1	0
0	65	1	0	38	3	0	0	0	0	0
0	65	2	0	83	9	1	0	0	1	0
0	66	1	0	39	5	0	0	0	0	0
0	66	2	0	74	10	0	0	2	3	0
1	55	1	1	52	7	0	0	0	0	0
1	55	3	0	46	8	2	0	0	0	0
1	56	1	1	54	8	0	0	0	0	0
1	56	3	0	50	12	1	0	0	0	0
1	57	1	1	64	11	0	0	0	1	0
1	57	3	0	61	11	1	0	0	0	0
1	58	1	1	68	3	0	0	0	1	0
1	58	3	0	52	3	0	0	0	1	0
1	59	1	1	45	7	0	0	0	0	0
1	59	3	0	57	2	0	0	0	1	0
1	60	1	1	73	9	0	0	0	0	0
1	60	3	0	57	7	0	0	0	0	0
1	61	1	1	53	3	0	0	0	0	0
1	61	3	0	60	9	0	0	0	1	0
1	62	1	1	79	10	0	0	0	2	0
1	62	3	0	64	9	1	0	0	0	0
1	63	1	1	51	8	0	0	0	1	0
1	63	3	0	47	10	0	0	0	0	0
1	64	1	1	81	13	0	0	0	1	0
1	64	3	0	65	4	0	0	0	0	0
1	65	1	1	30	11	1	0	0	0	0
1	65	3	0	57	6	0	0	0	0	0
1	66	1	1	63	8	0	0	0	0	0
1	66	3	0	47	4	0	0	0	0	0
2	55	2	2	97	10	1	0	0	0	0
2	55	3	1	13	1	1	0	0	0	0
2	56	2	0	71	16	2	0	0	0	0
2	56	3	1	10	7	0	0	0	0	0
2	57	2	0	78	14	0	0	1	0	0
2	57	3	1	10	3	0	0	0	0	0
2	58	2	0	83	16	1	0	1	1	0
2	58	3	1	20	2	0	0	0	0	0
2	59	2	0	92	10	0	0	0	0	0
2	59	3	2	17	3	0	0	0	0	0
2	60	2	1	93	15	1	0	0	1	0
2	60	3	1	18	0	0	0	0	0	0
2	61	2	0	76	13	0	0	0	1	0
2	61	3	1	8	1	0	0	0	0	0
2	62	2	0	97	7	0	0	1	0	0
2	62	3	1	14	2	0	0	0	0	0
2	63	2	0	97	9	0	0	1	0	0
2	63	3	2	18	1	0	0	0	0	0
2	64	2	0	97	9	1	0	1	0	0
2	64	3	1	13	1	0	0	0	0	0
2	65	2	0	98	11	0	0	2	0	0
2	65	3	1	10	0	0	0	0	0	0
2	66	2	0	100	9	0	0	0	0	0
2	66	3	1	11	1	0	0	0	0	0
