	Kamienskiego - Powstancow Slaskich Junction, 54 P-23 - 100

0	Tischnera - 100099, 99100

1	Kamienskiego Kalwaryjska - 100080, 80100

2	Powstancow Slaskich - 100103, 103100

3	Kamienskiego Slawka - 100097, 97100


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	2	2	175	35	18	1	0	0	0
0	55	3	1	21	7	4	0	0	0	0
0	56	2	0   164	41	10	3	0	0	0
0	56	3	0	32	9	1	1	0	0	0
0	57	2	1	84	31	18	8	1	0	0
0	57	3	0	49	10	0	1	0	0	0
0	58	2	4	130	18	4	2	1	0	0
0	58	3	0	23	5	1	1	0	0	0
0	59	2	2	190	31	16	7	0	0	0
0	59	3	1	48	11	0	0	0	0	0
0	60	2	3	134	22	12	9	0	0	0
0	60	3	0	32	10	0	3	0	0	0
0	61	2	3	162	31	7	8	0	1	0
0	61	3	0	40	8	3	2	1	0	0
0	62	2	1	169	21	5	11	0	0	0
0	62	3	2	36	6	2	1	0	0	0
0	63	2	1	181	23	8	7	0	1	0
0	63	3	0	48	8	0	2	1	1	0
0	64	2	2	198	37	13	5	1	0	0
0	64	3	1	41	9	4	1	0	0	0
0	65	2	1	207	32	17	3	1	0	0
0	65	3	0	41	8	1	0	0	0	0
0	66	2	2	123	22	3	3	1	0	0
0	66	3	0	32	3	0	0	0	0	0
1	55	1	0	50	10	7	0	0	0	0
1	55	2	5	208	6	10	1	0	1	0
1	55	3	0	30	3	2	0	0	0	0
1	56	1	0	40	9	1	0	0	0	0
1	56	2	11	178	19	3	0	2	1	0
1	56	3	1	42	1	0	0	0	0	0
1	57	1	0	53	12	2	0	0	0	0
1	57	2	8	199	18	0	0	0	0	0
1	57	3	0	42	6	0	0	1	0	0
1	58	1	2	50	6	2	0	0	0	0
1	58	2	19	182	9	7	2	2	0	0
1	58	3	3	52	6	0	0	0	0	0
1	59	1	1	45	8	5	4	1	0	0
1	59	2	11	219	19	1	0	1	0	0
1	59	3	1	43	1	1	0	0	0	0
1	60	1	1	46	9	4	0	0	0	0
1	60	2	12	228	10	1	1	2	1	0
1	60	3	1	46	1	1	0	0	0	0
1	61	1	0	45	13	4	0	0	0	0
1	61	2	11	197	6	4	0	1	1	0
1	61	3	0	45	7	1	0	1	1	0
1	62	1	0	51	22	1	0	0	0	0
1	62	2	8	249	9	1	1	0	0	0
1	62	3	1	50	2	0	0	0	0	0
1	63	1	0	50	10	4	0	0	0	0
1	63	2	7	208	12	4	1	1	0	0
1	63	3	1	54	2	1	0	0	0	0
1	64	1	0	59	11	6	5	0	1	0
1	64	2	13	226	15	11	1	1	0	0
1	64	3	0	56	1	1	0	0	0	0
1	65	1	0	53	9	4	1	0	0	0
1	65	2	10	217	30	10	1	1	2	0
1	65	3	0	45	4	0	0	0	0	0
1	66	1	0	35	10	3	1	0	0	0
1	66	2	13	209	21	12	7	0	1	0
1	66	3	0	46	3	0	0	0	0	0
2	55	1	1	35	7	0	0	0	0	0
2	55	2	8	251	45	14	0	0	0	0
2	55	3	0	53	0	3	1	0	0	0
2	56	1	0	28	8	1	0	0	0	0
2	56	2	3	263	29	16	0	0	0	0
2	56	3	1	59	3	1	4	0	0	0
2	57	1	0	32	3	2	0	0	0	0
2	57	2	5	259	24	16	0	0	0	0
2	57	3	0	42	1	1	4	0	0	0
2	58	1	0	30	7	0	0	0	0	0
2	58	2	0	314	26	18	0	0	0	0
2	58	3	1	72	0	0	2	1	1	0
2	59	1	0	30	1	1	0	0	0	0
2	59	2	5	298	31	15	4	1	0	0
2	59	3	0	65	0	2	2	0	0	0
2	60	1	0	32	1	0	0	0	0	0
2	60	2	4	356	28	12	1	3	1	0
2	60	3	0	37	5	1	1	0	0	0
2	61	1	0	33	3	2	0	0	0	0
2	61	2	1	361	25	13	3	0	0	0
2	61	3	0	60	1	8	1	0	0	0
2	62	1	0	39	4	1	1	0	0	0
2	62	2	2	269	30	11	2	0	0	0
2	62	3	1	55	2	1	0	0	0	0
2	63	1	1	32	1	1	0	0	0	0
2	63	2	2	336	28	19	1	3	1	0
2	63	3	0	46	0	1	0	0	1	0
2	64	1	0	44	2	0	1	0	0	0
2	64	2	2	256	28	11	1	1	0	0
2	64	3	0	29	0	2	0	0	0	0
2	65	1	0	36	5	1	0	0	0	0
2	65	2	2	272	29	14	3	1	0	0
2	65	3	0	67	3	5	7	0	0	0
2	66	1	0	22	1	1	0	0	0	0
2	66	2	1	205	17	13	1	0	1	0
2	66	3	0	38	5	2	1	0	0	0
3	55	1	5	37	20	0	1	0	0	0
3	55	2	18	212	16	2	0	1	1	0
3	55	3	0	35	13	0	0	0	0	0
3	56	1	2	21	6	2	0	0	0	0
3	56	2	12	191	21	7	0	1	0	0
3	56	3	1	31	7	2	1	0	0	0
3	57	1	3	19	5	1	0	0	1	0
3	57	2	9	203	16	5	1	3	0	0
3	57	3	0	30	2	1	0	0	0	0
3	58	1	0	25	1	0	0	0	0	0
3	58	2	19	203	15	7	1	3	2	0
3	58	3	0	32	4	1	0	0	0	0
3	59	1	4	28	1	1	0	0	0	0
3	59	2	11	199	9	6	0	1	0	0
3	59	3	0	24	4	1	0	0	0	0
3	60	1	2	38	6	1	0	0	0	0
3	60	2	12	213	7	8	0	1	0	0
3	60	3	1	24	5	2	0	0	0	0
3	61	1	0	33	4	1	0	0	0	0
3	61	2	13	194	8	7	0	2	1	0
3	61	3	0	24	6	1	0	1	0	0
3	62	1	2	21	5	1	2	0	1	0
3	62	2	7	149	10	4	0	1	2	1
3	62	3	0	17	4	0	1	0	0	0
3	63	1	0	26	3	0	0	1	0	0
3	63	2	15	189	12	3	2	1	2	0
3	63	3	0	35	1	0	0	0	0	0
3	64	1	1	32	2	1	2	0	0	0
3	64	2	12	153	15	3	0	1	1	0
3	64	3	0	29	3	0	0	0	0	0
3	65	1	0	31	5	1	5	0	0	0
3	65	2	15	145	17	6	2	2	3	0
3	65	3	0	30	5	0	0	0	0	0
3	66	1	0	35	6	0	1	0	0	0
3	66	2	13	137	12	7	0	3	2	0
3	66	3	0	36	6	0	0	0	0	0
