	Kapelanka - Brozka Junction, 18 P-53 - 58

1	Grota Roweckiego - 58059, 59058

2	Kapelanka - 58055, 55058

3	Brozka - 58079, 79058


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	5	14	0	0	0	0	0	0
1	55	2	2	56	19	1	0	1	0	0
1	56	1	6	8	0	1	0	0	0	0
1	56	2	1	76	10	2	1	1	0	0
1	57	1	4	9	1	0	0	0	0	0
1	57	2	1	49	8	4	4	0	0	0
1	58	1	3	9	1	0	0	0	0	0
1	58	2	2	66	4	3	8	0	2	0
1	59	1	4	6	1	0	0	0	0	0
1	59	2	3	76	11	5	0	1	0	0
1	60	1	4	10	0	0	0	0	0	0
1	60	2	1	72	11	4	5	0	0	0
1	61	1	3	4	0	0	0	0	0	0
1	61	2	4	82	2	4	4	1	2	0
1	62	1	3	14	1	0	0	0	0	0
1	62	2	1	104	7	2	2	0	0	0
1	63	1	5	8	1	0	0	0	0	0
1	63	2	3	57	11	3	2	1	1	0
1	64	1	7	2	1	0	0	0	0	0
1	64	2	2	96	14	15	1	0	0	0
1	65	1	4	15	1	0	0	0	0	0
1	65	2	1	90	6	4	1	0	0	0
1	66	1	4	11	1	0	0	0	0	0
1	66	2	4	70	7	1	1	1	0	0
2	55	1	0	145	30	1	0	1	1	0
2	55	3	7	28	5	0	0	0	0	0
2	56	1	1	115	25	6	1	1	0	0
2	56	3	5	40	6	0	0	0	0	0
2	57	1	0	155	24	1	1	0	0	0
2	57	3	5	35	5	0	0	0	0	0
2	58	1	0	105	10	2	1	1	0	0
2	58	3	2	25	2	0	0	0	0	0
2	59	1	1	105	24	2	0	2	1	0
2	59	3	4	25	5	1	0	0	0	0
2	60	1	0	165	29	1	2	0	0	0
2	60	3	6	20	2	0	0	0	0	0
2	61	1	0	143	16	3	2	1	0	0
2	61	3	3	30	2	0	1	0	0	0
2	62	1	0	158	21	2	1	0	0	0
2	62	3	4	23	2	0	1	0	0	0
2	63	1	0	135	25	1	0	0	0	0
2	63	3	3	33	2	0	0	1	1	0
2	64	1	1	170	15	1	0	1	0	0
2	64	3	3	35	2	0	0	0	0	0
2	65	1	2	160	10	5	1	0	0	0
2	65	3	4	33	4	0	1	0	0	0
2	66	1	0	180	24	3	0	1	0	0
2	66	3	5	40	4	0	0	0	0	0
3	55	2	5	70	2	4	1	0	0	0
3	55	3	0	87	9	4	0	1	0	0
3	56	2	1	63	6	5	1	0	0	0
3	56	3	0	97	8	2	0	0	1	0
3	57	2	3	76	12	4	2	0	0	0
3	57	3	0	120	8	2	3	1	0	0
3	58	2	3	63	13	4	0	0	0	0
3	58	3	0	103	8	3	1	1	0	0
3	59	2	3	104	9	5	1	0	0	0
3	59	3	0	120	11	2	1	2	0	0
3	60	2	3	72	5	2	0	1	0	0
3	60	3	0	91	16	0	2	1	1	0
3	61	2	1	94	9	2	1	0	0	0
3	61	3	0	117	14	2	2	1	1	0
3	62	2	3	87	5	2	2	2	0	0
3	62	3	0	123	11	1	1	1	0	0
3	63	2	3	77	5	1	3	0	0	0
3	63	3	0	118	8	2	1	0	0	0
3	64	2	2	83	3	3	1	0	0	0
3	64	3	1	99	11	4	0	0	0	0
3	65	2	2	111	9	2	1	0	0	0
3	65	3	0	123	14	3	0	0	0	0
3	66	2	3	81	13	2	0	0	0	0
3	66	3	0	110	6	4	2	1	1	0
