	Kapelanka - Kobierzynska Junction, 17 P-34 - 55

0	Kapelanka Brozka - 55058, 58055

1	Kobierzynska Rostworowskiego - 55057, 57055

2	Kapelanka Slomiana - 55054, 54055

3	Kobierzynska - 55056, 56055


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	11	3	3	0	0	0	0
0	55	2	4	53	6	3	0	0	0	0
0	55	3	0	0	1	0	0	0	0	0
0	56	1	0	22	4	1	0	0	0	0
0	56	2	4	80	15	0	0	2	0	0
0	56	3	0	5	0	0	0	0	0	0
0	57	1	1	22	4	0	0	0	0	0
0	57	2	4	97	8	1	0	0	0	0
0	57	3	0	8	0	0	0	0	0	0
0	58	1	0	23	3	0	0	0	0	0
0	58	2	5	116	12	3	1	0	0	0
0	58	3	0	1	0	0	0	0	0	0
0	59	1	0	21	0	0	0	0	0	0
0	59	2	5	106	14	2	0	0	0	0
0	59	3	0	4	0	0	0	0	0	0
0	60	1	0	22	0	0	0	0	0	0
0	60	2	5	72	5	2	0	0	0	0
0	60	3	0	0	1	0	0	0	0	0
0	61	1	0	31	0	2	0	0	0	0
0	61	2	4	91	13	0	1	0	0	0
0	61	3	0	3	0	0	0	0	0	0
0	62	1	0	22	2	2	0	0	0	0
0	62	2	6	91	11	2	1	0	0	0
0	62	3	0	2	0	0	0	0	0	0
0	63	1	0	27	4	1	0	0	0	0
0	63	2	5	77	10	0	2	0	0	0
0	63	3	0	3	1	0	0	0	0	0
0	64	1	0	32	2	0	0	0	0	0
0	64	2	6	99	9	1	1	1	0	0
0	64	3	0	0	1	0	0	0	0	0
0	65	1	0	37	1	2	0	0	0	0
0	65	2	6	102	8	2	0	0	0	0
0	65	3	0	4	1	0	0	0	0	0
0	66	1	1	32	2	1	1	0	0	0
0	66	2	7	112	11	5	0	1	0	0
0	66	3	0	1	0	0	0	0	0	0
1	55	1	5	146	10	2	0	0	0	0
1	55	2	0	29	1	0	0	0	1	0
1	55	3	0	8	2	1	0	0	0	0
1	56	1	6	130	15	0	0	1	1	0
1	56	2	0	23	1	0	0	1	0	0
1	56	3	0	11	3	0	0	0	0	0
1	57	1	3	104	19	2	1	0	0	0
