	Krasinskiego - Focha Junction, 11 K-3 - 40									

0	Krasinskiego - 40041, 41040									

1	Focha - 40018, 18040									

2	Mickiewicza - 40039, 39040									

3	Pilsudskiego - 40043, 43040									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	2	0	0	0	0	0	0
0	56	1	0	1	0	0	0	0	0	0
0	57	1	0	3	1	0	0	0	0	0
0	58	1	0	1	0	0	0	1	0	0
0	59	1	0	1	0	0	0	0	0	0		
0	60	1	0	1	0	0	0	0	0	0		
0	61	1	0	1	0	0	0	0	0	0		
0	62	1	0	2	0	0	0	0	0	0		
0	63	1	0	1	0	0	0	0	0	0		
0	64	1	0	1	0	0	0	0	0	0		
0	65	1	1	1	0	0	0	0	0	0		
0	66	1	0	1	0	0	0	0	0	0		
0	55	2	21	316	47	13	0	0	0	0		
0	56	2	23	303	44	12	2	4	0	0		
0	57	2	14	471	72	7	2	1	1	0		
0	58	2	18	358	58	3	0	8	2	0		
0	59	2	18	335	47	2	2	3	0	0		
0	60	2	18	415	47	9	1	3	2	0		
0	61	2	21	361	50	7	1	1	0	0		
0	62	2	29	354	63	13	0	2	2	0		
0	63	2	22	401	46	6	1	2	1	0		
0	64	2	30	422	53	5	0	2	0	0		
0	65	2	26	363	64	7	3	2	0	0		
0	66	2	25	373	53	6	1	1	0	0		
0	55	3	3	18	0	1	0	0	1	0		
0	56	3	2	10	1	0	0	0	1	0		
0	57	3	2	25	5	1	0	0	0	0		
0	58	3	0	5	4	0	0	5	0	0		
0	59	3	2	6	4	0	0	1	0	0		
0	60	3	4	10	3	1	0	1	0	0		
0	61	3	3	12	2	0	0	0	1	0		
0	62	3	0	15	3	0	0	0	2	0		
0	63	3	2	7	2	0	0	0	1	0		
0	64	3	3	5	3	0	0	0	0	0		
0	65	3	5	11	3	0	0	1	1	0		
0	66	3	4	10	2	0	0	1	1	0		
1	55	1	0	3	1	0	0	0	0	0		
1	56	1	0	2	1	0	0	0	0	0		
1	57	1	0	2	1	0	0	0	0	0		
1	58	1	0	2	0	0	0	0	0	0		
1	59	1	0	2	1	0	0	0	0	0		
1	60	1	0	2	1	0	0	0	0	0		
1	61	1	0	2	1	0	0	0	0	0		
1	62	1	1	3	1	0	0	0	0	0		
1	63	1	0	2	0	0	0	0	0	0		
1	64	1	0	2	1	0	0	0	0	0		
1	65	1	0	2	0	0	0	0	0	0		
1	66	1	0	2	0	0	0	0	0	0		
1	55	2	2	88	5	3	0	0	0	0		
1	56	2	1	58	3	0	1	0	0	0		
1	57	2	1	40	6	1	1	0	0	0		
1	58	2	1	63	5	0	0	0	0	0		
1	59	2	1	88	8	2	1	1	1	0
1	60	2	2	67	6	1	0	0	0	0
1	61	2	2	98	5	0	0	2	3	0
1	62	2	1	65	1	1	0	0	2	0
1	63	2	2	74	3	1	0	1	2	0
1	64	2	2	80	6	0	0	0	0	0
1	65	2	1	77	3	0	0	0	0	0
1	66	2	1	84	5	2	0	0	0	0
1	55	3	2	23	7	1	0	0	0	0
1	56	3	3	20	5	2	0	0	0	0
1	57	3	2	22	5	1	1	0	0	0
1	58	3	0	18	3	1	0	0	1	0
1	59	3	2	18	5	1	0	1	0	0
1	60	3	0	15	6	3	1	0	0	0
1	61	3	3	21	5	0	0	0	0	0
1	62	3	5	26	7	0	0	0	0	0
1	63	3	3	19	3	1	2	1	0	0
1	64	3	3	18	5	2	1	0	0	0
1	65	3	1	20	3	1	1	0	0	0
1	66	3	2	22	3	0	0	1	0	0
2	55	1	1	6	1	0	0	0	0	0
2	56	1	0	6	0	0	0	0	0	0
2	57	1	0	5	0	0	0	0	0	0
2	58	1	0	6	0	0	0	0	0	0
2	59	1	0	5	0	0	0	0	0	0
2	60	1	0	8	0	0	0	0	0	0
2	61	1	0	8	1	0	0	0	0	0
2	62	1	0	7	0	0	0	0	0	0
2	63	1	0	7	0	0	0	0	0	0
2	64	1	0	8	0	0	0	0	0	0
2	65	1	0	7	1	0	0	0	0	0
2	66	1	0	6	0	0	0	0	0	0
2	55	2	5	410	9	7	2	4	0	0
2	56	2	8	430	16	11	2	2	0	0
2	57	2	13	415	7	7	2	0	0	0
2	58	2	15	380	20	6	3	10	1	0
2	59	2	15	379	12	9	0	1	0	0
2	60	2	12	420	16	4	0	3	0	0
2	61	2	15	400	20	9	0	5	1	0
2	62	2	11	459	12	8	2	1	0	0
2	63	2	10	365	11	4	1	2	0	0
2	64	2	13	370	9	5	2	4	0	0
2	65	2	13	350	8	4	2	1	0	0
2	66	2	10	370	1	0	0	0	0	0
2	55	3	5	54	5	1	0	0	0	0
2	56	3	3	54	2	0	0	1	0	0
2	57	3	2	45	1	0	0	0	0	0
2	58	3	1	54	0	0	0	0	0	0
2	59	3	2	45	3	0	1	0	0	0
2	60	3	0	72	3	0	0	0	0	0
2	61	3	2	72	7	1	1	0	0	0
2	62	3	1	63	3	2	0	1	0	0
2	63	3	1	63	0	0	0	0	0	0
2	64	3	0	72	3	0	0	0	0	0
2	65	3	0	63	5	2	0	0	0	0
2	66	3	0	57	2	0	0	0	0	0
3	55	1	1	7	1	0	0	0	0	0
3	56	1	2	7	2	0	0	0	0	0
3	57	1	1	6	1	0	0	0	0	0
3	58	1	1	7	2	0	0	0	0	0
3	59	1	0	5	2	0	0	0	0	0
3	60	1	1	6	1	0	0	0	0	0
3	61	1	1	6	2	0	0	0	1	0
3	62	1	1	6	1	0	0	0	0	0
3	63	1	0	8	2	0	0	0	0	0
3	64	1	1	7	2	0	0	0	0	0
3	65	1	1	6	2	0	0	0	0	0
3	66	1	1	6	1	0	0	0	0	0
3	55	2	5	128	12	0	0	0	2	0
3	56	2	3	132	9	0	0	0	0	0
3	57	2	5	114	4	0	0	0	0	0
3	58	2	10	147	10	0	0	0	0	0
3	59	2	8	138	18	0	0	1	2	0
3	60	2	13	127	13	0	0	0	0	0
3	61	2	8	148	13	0	0	0	0	0
3	62	2	7	142	10	0	0	0	0	0
3	63	2	8	141	12	0	0	0	0	0
3	64	2	7	149	17	0	0	0	0	0
3	65	2	10	115	13	0	0	6	0	0
3	66	2	8	123	18	0	0	0	0	0
3	55	3	11	63	12	0	0	0	3	0
3	56	3	14	63	15	0	0	0	0	0
3	57	3	9	58	12	0	0	0	3	0
3	58	3	7	66	15	0	0	0	0	0
3	59	3	3	48	14	1	0	0	0	0
3	60	3	7	57	11	2	0	1	3	0
3	61	3	8	51	14	0	0	0	5	0
3	62	3	9	55	11	0	0	0	0	0
3	63	3	3	68	14	0	0	0	0	0
3	64	3	6	62	15	0	0	0	0	0
3	65	3	6	58	15	0	0	0	2	0
3	66	3	11	57	12	0	0	0	3	0
